Column1;Column10;RU 
GBC_NPC_GHOULSAWYERGREETING_394_F;;
GBC_NPC_GHOULSAWYERGREETING_030_M;Do not snarl or sniff.[w:0.3] I beg you.;Не рычи и не обнюхивай меня.[w:0.3] Умоляю.
GBC_NPC_GHOULSAWYERGREETING_030_F;;
GBC_NPC_GHOULSAWYERGREETING_180_M;If you wish to battle,[w:0.3] please,[w:0.3] let us get it over with!;Если хочешь сразиться,[w:0.3] то, пожалуйста,[w:0.3] давай по-быстрому!
GBC_NPC_GHOULSAWYERGREETING_180_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_M;[t:2]Oh no.[w:0.5] You are back.;[t:2]О нет.[w:0.5] Ты вернулся.
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_F;[t:2]Oh no.[w:0.5] You are back.;[t:2]О нет.[w:0.5] Ты вернулась.
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_M;Please.[w:0.3] Let this be swift.;Прошу.[w:0.3] Не затягивай с этим.
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_M;[t:2]Oh no.[w:0.5] You are back...[w:0.5] again.;[t:2]О нет.[w:0.5] Ты вернулся...[w:0.5] опять.
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_F;[t:2]Oh no.[w:0.5] You are back...[w:0.5] again.;[t:2]О нет.[w:0.5] Ты вернулась...[w:0.5] опять.
GBC_NPC_GHOULSAWYERGAINPIECE_782_M;I am called Sawyer.[w:0.3] The middle stone marks my grave.;Меня зовут Сойер.[w:0.3] Моя могила в центре.
GBC_NPC_GHOULSAWYERGAINPIECE_782_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_656_M;Please,[w:0.3] do not go digging up my bones!;Прошу тебя,[w:0.3] не выкапывай мои кости!
GBC_NPC_GHOULSAWYERGAINPIECE_656_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_M;Do not sniff or snarl!;Не рычи и не обнюхивай меня!
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_M;Please,[w:0.3] do not bark or beg!;Умоляю,[w:0.3] не надо лаять и огрызаться!
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_M;The middle stone marks my grave.;Моя могила в центре.
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_F;;
GBC_NPC_GHOULSAWYERVICTORY_750_M;It is over.[w:0.3] You chewed me out.;Всё кончено.[w:0.3] Ты меня обглодал.
GBC_NPC_GHOULSAWYERVICTORY_750_F;It is over.[w:0.3] You chewed me out.;Всё кончено.[w:0.3] Ты меня обглодала.
GBC_NPC_GHOULSAWYERVICTORY_015_M;Now,[w:0.3] please,[w:0.3] look away!;А теперь,[w:0.3] пожалуйста,[w:0.3] отвернись!
GBC_NPC_GHOULSAWYERVICTORY_015_F;;
GBC_NPC_GHOULSAWYERVICTORY_331_M;Turn your eyes to this card pack instead.;Лучше взгляни на этот набор.
GBC_NPC_GHOULSAWYERVICTORY_331_F;;
GBC_NPC_GHOULSAWYERDEFEAT_291_M;Oh dear.[w:0.3] Does this mean you will try again?;Ох, проклятье.[w:0.3] Ты хочешь сыграть ещё?
GBC_NPC_GHOULSAWYERDEFEAT_291_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_M;Agony![w:0.3] Please leave me be.;Агония![w:0.3] Прошу, оставь меня.
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_M;No...[w:0.3] Not again...;Нет...[w:0.3] Только не это...
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_M;Avert your eyes!;Не смотри на меня!
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_F;;
GBC_NPC_GBCTRADERINTRO_881_M;You wish to trade?;Хочешь что-то купить?
GBC_NPC_GBCTRADERINTRO_881_F;;
GBC_NPC_GRIMORATEMPLEINTRO_820_M;!DELETED!;
GBC_NPC_GRIMORATEMPLEINTRO_820_F;;
GBC_NPC_GRIMORATEMPLEINTRO_811_M;!DELETED!;
GBC_NPC_GRIMORATEMPLEINTRO_811_F;;
GBC_NPC_GRIMORATEMPLEINTRO_409_M;[t:3]If you wish to test your skills against me,[w:0.5][t:0][e:Anger] you must first prove your wits.[w:0.2].[w:0.2].[w:0.2];[t:3]Если желаешь бросить мне вызов,[w:0.5][t:0][e:Anger] то сперва прояви смекалку.[w:0.2].[w:0.2].[w:0.2]
GBC_NPC_GRIMORATEMPLEINTRO_409_F;;
GBC_NPC_GRIMORATEMPLEINTRO_081_M;[t:3]You must discern which tomb marks the final resting places of[w:0.2] my[w:0.2][shake:0.5][t:20] lovely[w:0.2][t:2] Ghouls.;[t:3]Ты должен понять, где находятся надгробия[w:0.2] моих[w:0.2][shake:0.5][t:20] любимых[w:0.2][t:2] гулей.
GBC_NPC_GRIMORATEMPLEINTRO_081_F;[t:3]You must discern which tomb marks the final resting places of[w:0.2] my[w:0.2][shake:0.5][t:20] lovely[w:0.2][t:2] Ghouls.;[t:3]Ты должна понять, где находятся надгробия[w:0.2] моих[w:0.2][shake:0.5][t:20] любимых[w:0.2][t:2] гулей.
GBC_NPC_GRIMORAPUZZLESOLVED_429_M;[t:3]Marvelous![w:0.4] I believe you have proven your wits adequately.;[t:3]Чудесно![w:0.4] Думаю, у тебя достойная голова на плечах.
GBC_NPC_GRIMORAPUZZLESOLVED_429_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_676_M;Are you prepared?;Ты готов?
GBC_NPC_GRIMORAPUZZLESOLVED_676_F;Are you prepared?;Ты готова?
GBC_NPC_GRIMORAPUZZLESOLVED_157_M;[t:12][e:Anger]You will not defeat me.;[t:12][e:Anger]Тебе меня не одолеть.
GBC_NPC_GRIMORAPUZZLESOLVED_157_F;;
_OPPONENTSURRENDER_449_M;I see the way this is going.;Я понял, чем закончится этот раунд.
_OPPONENTSURRENDER_449_F;;
_OPPONENTSURRENDER_439_M;I concede.;Я признаю поражение.
_OPPONENTSURRENDER_439_F;;
_OPPONENTSURRENDER_031_M;You may accept my surrender...;Можешь принять моё поражение...
_OPPONENTSURRENDER_031_F;;
_OPPONENTSURRENDER_877_M;...or you may finish this match the slow way.;...или же завершить раунд самостоятельно.
_OPPONENTSURRENDER_877_F;;
_OPPONENTSURRENDER_REPEAT_#1_853_M;You have me here. I surrender.;Ты победил. Я сдаюсь.
_OPPONENTSURRENDER_REPEAT_#1_853_F;You have me here. I surrender.;Ты победила. Я сдаюсь.
_OPPONENTSURRENDER_REPEAT_#3_923_M;Yes. I think you've got me this time.;Да. На сей раз победа за тобой.
_OPPONENTSURRENDER_REPEAT_#3_923_F;;
_OPPONENTSURRENDER_REPEAT_#4_247_M;Scoop.;Сдаюсь.
_OPPONENTSURRENDER_REPEAT_#4_247_F;;
_OPPONENTSURRENDER_REPEAT_#5_710_M;I'll surrender.;Я сдаюсь.
_OPPONENTSURRENDER_REPEAT_#5_710_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_M;I- I think this could get messy.;Это... это будет неприятное зрелище.
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_087_M;[size:3]Look away.[size:];[size:3]Не смотри.[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_087_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_016_M;Y- you may want to...;Т-тебе лучше на это не...
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_016_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_862_M;[size:3]Avert your eyes.[size:];[size:3]Отвернись.[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_862_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_602_M;Y- you should...;М-мы посоветовали бы...
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_602_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_474_M;[size:3]You don't want to see this.[size:];[size:3]Тебе лучше этого не видеть.[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_474_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#3_490_M;This procedure... it is grisly?;Эта процедура... Она неприятная?
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#3_490_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_542_M;Th- the [c:bR][v:0][c:]... it is now one?;Это... [c:bR][v:0][c:], два в одном...
SPECIAL_NODES_DUPLICATEMERGERESULT_542_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#1_082_M;Y- you now have but one [c:bR][v:0][c:]... It is stronger?;Оно т-теперь едино... [c:bR][v:0][c:]... Оно стало сильнее?
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#1_082_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#2_701_M;Th- the operation. It is complete?;Оп-операция закончилась?
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#2_701_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#3_106_M;Wh- what have we done?;Что же мы с-сотворили?
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#3_106_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_015_M;O- oh dear... Y- you don't...;В-вот незадача... У тебя нет...
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_015_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_258_M;[size:3]You have no duplicate cards.[size:];[size:3]У тебя нет дубликатов.[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_258_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_842_M;T- take one of ours?;В-возьми одну из наших карт...
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_842_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_770_M;[size:3]We will use it next time.[size:];[size:3]При следующей встрече воспользуемся ею.[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_770_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_527_M;O- oh. Hm. Oh.;О... Хм. Ох.
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_527_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_456_M;[size:3]Your cards are all distinct. No pairs.[size:];[size:3]Все твои карты друг от друга отличаются. Одинаковых нет.[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_456_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_168_M;N- no pairs. C- can they take...;Одинаковых н-нет. Т-тогда можно взять...
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_168_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_555_M;[size:3]You will take one of our creatures.[size:];[size:3]Возьми одно из наших существ.[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_555_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_159_M;Hm. Oh. Hm.;Хм. Ох. Хм.
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_159_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_995_M;[size:3]You will take a creature from us.[size:];[size:3]Ты возьмёшь одно из наших существ.[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_995_F;;
GBC_NPC_WIZARDGREENGREETING_977_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] The pain is unbearable![w:0.3] M-[w:0.2] my organs are melting!;[c:R][shake:1]А-а-аргх![w:0.4][t:0][c:] Эта боль невыносима![w:0.3] М...[w:0.2] мои органы плавятся!
GBC_NPC_WIZARDGREENGREETING_977_F;;
GBC_NPC_WIZARDGREENGREETING_087_M;Do you see?[w:0.3] Magnificus turned me into... [c:R][shake:1]Rrrggh![w:0.4][t:0][c:] ...Goo[w:0.3] for my final exam.;Видишь?[w:0.3] Магнификус превратил меня в эту... [c:R][shake:1]Р-р-ргх![w:0.4][t:0][c:] ...слизь[w:0.3] для последнего экзамена.
GBC_NPC_WIZARDGREENGREETING_087_F;;
GBC_NPC_WIZARDGREENGREETING_940_M;I just need to defeat one more challenger.[w:0.3] Then...[w:0.5] then[w:0.2] I will earn my [shake:0.6]rightful[w:0.2][shake:0.6] place!;Мне нужно одолеть ещё одного Соискателя.[w:0.3] И тогда...[w:0.5] тогда[w:0.2] я заполучу своё [shake:0.6]законное[w:0.2][shake:0.6] место!
GBC_NPC_WIZARDGREENGREETING_940_F;;
GBC_NPC_WIZARDGREENGREETING_449_M;My rightful place in the deck of[w:0.2][shake:0.6] The Master![w:0.3] As one of his prized cards.;Законное место в колоде[w:0.2][shake:0.6] Хозяина![w:0.3] Я стану одним из его бесценных козырей.
GBC_NPC_WIZARDGREENGREETING_449_F;;
GBC_NPC_WIZARDGREENGREETING_562_M;[c:R][shake:1]Argh![w:0.4][t:0][c:] Nothing will stop me.;[c:R][shake:1]Аргх![w:0.4][t:0][c:] Ничто меня не остановит.
GBC_NPC_WIZARDGREENGREETING_562_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_830_M;Wh-[w:0.2] what are you doing?;Что...[w:0.2] что ты делаешь?
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_830_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_791_M;I passed my final exam.[w:0.3] We're-[w:0.2] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] We're done.;Я сдал свой экзамен.[w:0.3] Мы...[w:0.2] [c:R][shake:1]Ар-р-ргх![w:0.4][t:0][c:] Мы закончили.
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_791_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_508_M;Please.[w:0.3] Please not again!;Прошу тебя.[w:0.3] Только не снова!
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_508_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#2_285_M;Please.[w:0.3] Have mercy!;Прошу.[w:0.3] Сжалься надо мной!
GBC_NPC_WIZARDGREENGREETING_REPEAT_#2_285_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#3_401_M;No![w:0.3] Not another!;Нет![w:0.3] Только не это!
GBC_NPC_WIZARDGREENGREETING_REPEAT_#3_401_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#4_525_M;Please.[w:0.3] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Have mercy!;Умоляю.[w:0.3] [c:R][shake:1]Ар-р-ргх![w:0.4][t:0][c:] Пощади меня!
GBC_NPC_WIZARDGREENGREETING_REPEAT_#4_525_F;;
GBC_NPC_WIZARDGREENDEFEAT_832_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Yes.[w:0.4] It was all worth it.;[c:R][shake:1]Ар-р-ргх![w:0.4][t:0][c:] Да.[w:0.4] Это того стоило.
GBC_NPC_WIZARDGREENDEFEAT_832_F;;
GBC_NPC_WIZARDGREENDEFEAT_434_M;Please.[w:0.3] Report my victory to The Master.[w:0.3] Quickly if possible.;Пожалуйста.[w:0.3] Сообщи Хозяину о моей победе.[w:0.3] И побыстрее.
GBC_NPC_WIZARDGREENDEFEAT_434_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_197_M;Yes.[w:0.3] I passed again.;Да.[w:0.3] Я снова справился.
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_197_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_553_M;Please.[w:0.3] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Report my victory to Magnificus.[w:0.3];Прошу.[w:0.3] [c:R][shake:1]Ар-р-ргх![w:0.4][t:0][c:] Доложи Магнификусу о моей победе.[w:0.3]
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_553_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_758_M;It's almost over.;Уже почти всё.
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_758_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_744_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:];[c:R][shake:1]Ар-р-ргх![w:0.4][t:0][c:]
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_744_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_755_M;It's been a few times now.;Это уже не первая победа.
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_755_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_908_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Report my victory to Magnificus![w:0.3] I beg you.;[c:R][shake:1]Ар-р-ргх![w:0.4][t:0][c:] Доложи Магнификусу о моей победе![w:0.3] Умоляю тебя.
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_908_F;;
GBC_NPC_WIZARDGREENVICTORY_391_M;No...[w:0.3] Please.;Нет...[w:0.3] Прошу тебя.
GBC_NPC_WIZARDGREENVICTORY_391_F;;
GBC_NPC_WIZARDGREENVICTORY_914_M;Please.[w:0.3] Just tell The Master I passed![w:0.3] He won't know the difference.;Пожалуйста.[w:0.3] Скажи Хозяину, что я сдал экзамен![w:0.3] Он ничего не узнает.
GBC_NPC_WIZARDGREENVICTORY_914_F;;
GBC_NPC_WIZARDGREENVICTORY_000_M;Here,[w:0.3] take this pack!;Вот,[w:0.3] возьми этот набор!
GBC_NPC_WIZARDGREENVICTORY_000_F;;
GBC_NPC_WIZARDGREENOPENDOOR_954_M;Here, I can open the door for you.[w:0.4] [c:R][shake:1]Rrrggh![t:0];Вот, я могу открыть для тебя эту дверь.[w:0.4] [c:R][shake:1]Ар-ргх![t:0]
GBC_NPC_WIZARDGREENOPENDOOR_954_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_211_M;You may only draw a card at the beginning of your turn.;Ты можешь брать новую карту только в начале хода.
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_211_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#1_307_M;One card per turn. Don't be greedy.;Одна новая карта на один ход. Не жадничай.
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#1_307_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#2_212_M;You can draw a new card once per turn. You have already drawn one.;За ход берётся только одна карта. А ты её уже взял.
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#2_212_F;You can draw a new card once per turn. You have already drawn one.;За ход берётся только одна карта. А ты её уже взяла.
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#3_695_M;Do you understand? Only one.;Ты понимаешь правила? Только одну карту.
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#3_695_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#4_807_M;You have drawn a card this turn.;Ты уже брал карту в начале этого хода.
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#4_807_F;You have drawn a card this turn.;Ты уже брала карту в начале этого хода.
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_794_M;There are no cards of mine that you can cut. Not yet.;Ты не можешь разрезать ни одну из моих карт. Пока что.
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_794_F;;
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#1_310_M;Hold off. Wait until I have something to cut.;Отложи это. Дождись, когда у меня будет что-то, что можно порезать.
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#1_310_F;;
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#2_993_M;You may cut one of my cards with those... when I have any that are cuttable.;Ты можешь разрезать одну из моих карт... когда у меня появится подходящая.
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#2_993_F;;
SPECIAL_NODES_TRADERNOPELTS1_836_M;You have none.;У тебя нет шкурок.
SPECIAL_NODES_TRADERNOPELTS1_836_F;;
SPECIAL_NODES_TRADERNOPELTS1_421_M;Do you understand how disappointing that is?;Ты осознаешь, как это грустно?
SPECIAL_NODES_TRADERNOPELTS1_421_F;;
SPECIAL_NODES_TRADERNOPELTS1_867_M;I must give you this.;Я вынуждена дать тебе это.
SPECIAL_NODES_TRADERNOPELTS1_867_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_075_M;None?;Ничего?
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_075_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_550_M;You have no pelts at all?;Ты не принёс ни одной шкурки?
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_550_F;You have no pelts at all?;Ты не принесла ни одной шкурки?
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_018_M;I was under the impression that you were carrying pelts.;Я думала, ты принесёшь мне хоть что-то.
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_018_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_654_M;This...;Это...
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_654_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_852_M;This is profoundly disappointing.;Это крайне печально.
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_852_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#3_173_M;You didn't bring any?;Ты не принёс вообще ничего?
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#3_173_F;You didn't bring any?;Ты не принесла вообще ничего?
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_956_M;You must not be serious.;Ты шутишь?
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_956_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_347_M;To come to me empty-handed...;Прийти сюда с пустыми руками...
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_347_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_752_M;It is unbelievable.;Просто невероятно.
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_752_F;;
SPECIAL_NODES_TRADERNOPELTS2_544_M;Use that to buy some pelts.;Купи себе пушнину на это.
SPECIAL_NODES_TRADERNOPELTS2_544_F;;
SPECIAL_NODES_TRADERNOPELTS2_640_M;Do not return empty-handed again.;И только посмей вернуться с пустыми руками!
SPECIAL_NODES_TRADERNOPELTS2_640_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_028_M;Give these to m-;Передай это м...
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_028_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_673_M;Give these to [c:bR]The Trapper[c:].;Передай это [c:bR]Охотнику[c:].
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_673_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_802_M;Bring me pelts.;Принеси мне шкурки.
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_802_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#2_116_M;Use these on pelts.;Это надо для покупки пушнины.
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#2_116_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#2_360_M;Do not return until you do.;Пока не купишь, не возвращайся.
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#2_360_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#3_539_M;This is not in the spirit of charity.;Не думай, что это подарок.
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#3_539_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#3_405_M;Next time you will repay me in pelts.;В следующий раз отплатишь мне шкурками.
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#3_405_F;;
GBC_NPC_WIZARDORANGEGREETING_895_M;[c:gray]...just imagine you are an ice cube,[w:0.3] slowly melting on a hot pan...;[c:gray]...представь, что ты кубик льда,[w:0.3] медленно тающий на горячей сковородке...
GBC_NPC_WIZARDORANGEGREETING_895_F;;
GBC_NPC_WIZARDORANGEGREETING_754_M;[shake:1]Oh![w:0.4][t:0] I was only talking to myself.[w:0.3] The pain of being a head impaled on a spear is...;[shake:1]О![w:0.4][t:0] Я просто говорила сама с собой.[w:0.3] Когда ты просто голова на копье, то твоя боль...
GBC_NPC_WIZARDORANGEGREETING_754_F;;
GBC_NPC_WIZARDORANGEGREETING_716_M;Well it is worth it[w:0.3] of course.[w:0.3] Magnificus will award me the highest honor.;Ну, в общем, она того стоит,[w:0.3] разумеется.[w:0.3] Магнификус окажет мне высшую честь.
GBC_NPC_WIZARDORANGEGREETING_716_F;;
GBC_NPC_WIZARDORANGEGREETING_343_M;[t:3]I will be the [shake:0.5]centerpiece of his deck!;[t:3]Я стану [shake:0.5]жемчужиной его колоды!
GBC_NPC_WIZARDORANGEGREETING_343_F;;
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#1_755_M;[c:gray]...just imagine you are a cloud,[w:0.3] floating above a volcano...;[c:gray]...представь, что ты облачко,[w:0.3] парящее над вулканом...
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#1_755_F;;
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#1_721_M;[shake:1]Oh![w:0.4][t:0] You want a rematch?;[shake:1]О![w:0.4][t:0] Хочешь реванша?
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#1_721_F;;
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#2_507_M;[shake:1]Oh![w:0.4][t:0] Back again?;[shake:1]О![w:0.4][t:0] Снова ты?
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#2_507_F;;
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#3_640_M;You will never defeat me.;Тебе меня не одолеть.
GBC_NPC_WIZARDORANGEGREETING_REPEAT_#3_640_F;;
GBC_NPC_WIZARDORANGEOPENDOOR_345_M;Go.;Иди.
GBC_NPC_WIZARDORANGEOPENDOOR_345_F;;
GBC_NPC_WIZARDORANGEDEFEAT_767_M;Magnificus was watching...[w:0.3] right?;Магнификус всё это видел...[w:0.3] правда же?
GBC_NPC_WIZARDORANGEDEFEAT_767_F;;
GBC_NPC_WIZARDORANGEDEFEAT_433_M;Surely I am only to wait a bit longer.;Надо потерпеть совсем немного.
GBC_NPC_WIZARDORANGEDEFEAT_433_F;;
GBC_NPC_WIZARDORANGEDEFEAT_282_M;Back to my mantras...;Вернусь к своей мантре...
GBC_NPC_WIZARDORANGEDEFEAT_282_F;;
GBC_NPC_WIZARDORANGEDEFEAT_REPEAT_#1_437_M;That must have done it.;Думаю, этого достаточно.
GBC_NPC_WIZARDORANGEDEFEAT_REPEAT_#1_437_F;;
GBC_NPC_WIZARDORANGEDEFEAT_REPEAT_#1_904;Magnificus?[w:0.3] Are we done here?;Магнификус?[w:0.3] Я прошла?
