Column1;Column10;CH S 
GBC_NPC_GHOULROYALGAINPIECE_772_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_700_M;Like I said: Me name's Royal.[w:0.3] I's the far right tomb.;我说，我是罗亚尔。[w:0.3]就躺在最右手边那个坟包里头。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_700_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_170_M;Yar,[w:0.3] life didn't give me lemons...[w:0.3] So I died.;是啊，[w:0.3]生活不给我柠檬……[w:0.3]所以我死了。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_170_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_954_M;I were once the finest pirate on th' seas.;我也曾是这海上最优秀的海盗。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_954_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_327_M;Lookit me now...[w:0.3] Buried under the far right tomb...;再看看我现在的样子……[w:0.3]给埋在最右手边那个坟包里头……
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_327_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_174_M;They say when life gives ye lemons...[w:0.3] Ye make somethin' of it.;有人说，生活给了你柠檬……[w:0.3]就要好好利用。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_174_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_481_M;Life were not so kind to give me lemons...[w:0.3] It left me buried under the tomb on the right.;生活没有那么好心给我柠檬……[w:0.3]只让我被埋在右手边那个坟包里头。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_481_F;;
GBC_NPC_GHOULBRIARGREETING_361_M;B[w:0.2][shake:1]rrrr![w:0.4] Did someone leave the AC on?;呼[w:0.2][shake:1]啊啊啊啊！[w:0.4]是谁开了空调吗？
GBC_NPC_GHOULBRIARGREETING_361_F;;
GBC_NPC_GHOULBRIARGREETING_341_M;Oh, [w:0.1][t:0.5]come[w:0.25] on,[w:0.15][t:0] dude![w:0.3] It's[w:0.2][t:1] freezing[w:0.2][t:0] in here!;嗷，[w:0.1][t:0.5]拜[w:0.25]托，[w:0.15][t:0]老兄！[w:0.3]这儿也[w:0.2][t:1]太冷[w:0.2][t:0]了吧！
GBC_NPC_GHOULBRIARGREETING_341_F;;
GBC_NPC_GHOULBRIARGREETING_486_M;Maybe a[w:0.2] heated battle[w:0.2] will help. ;也许来场[w:0.2]激烈的战斗[w:0.2]会有帮助。 
GBC_NPC_GHOULBRIARGREETING_486_F;;
GBC_NPC_GHOULBRIARGREETING_REPEAT_#1_473_M;B[w:0.2][shake:1]rrrr!;呼[w:0.2][shake:1]啊啊啊啊！
GBC_NPC_GHOULBRIARGREETING_REPEAT_#1_473_F;;
GBC_NPC_GHOULBRIARGAINPIECE_322_M;You did beat me.[w:0.3] So I guess I've gotta fess up.;你确实打败了我。[w:0.3]必须得承认了。
GBC_NPC_GHOULBRIARGAINPIECE_322_F;;
GBC_NPC_GHOULBRIARGAINPIECE_616_M;The name's K- [w:0.2][shake:1]Kaycee.[w:0.4] Kaycee Hobbes.;我叫凯……[w:0.2][shake:1]凯茜，[w:0.4]凯茜·霍布斯。
GBC_NPC_GHOULBRIARGAINPIECE_616_F;;
GBC_NPC_GHOULBRIARGAINPIECE_921_M;I'm from the tombstone on the left.;我躺在左手边那个坟包里头。
GBC_NPC_GHOULBRIARGAINPIECE_921_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_208_M;K- [w:0.2][shake:1]Kaycee.[w:0.4] Kaycee Hobbes is the name.;凯……[w:0.2][shake:1]凯茜，[w:0.4]我叫凯茜·霍布斯。
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_208_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_230_M;Tombstone on the left.;在左手边那个坟包里头。
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_230_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#3_375_M;Is there a draft in here?[w:0.3] It's freezing!;是有穿堂风吗？[w:0.3]冻死人了！
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#3_375_F;;
GBC_NPC_GHOULBRIARVICTORY_690_M;You won,[w:0.3] but now I'm a bit less cold.;你赢了，[w:0.3]但现在我没那么冷了。
GBC_NPC_GHOULBRIARVICTORY_690_F;;
GBC_NPC_GHOULBRIARVICTORY_978_M;Take a pack.[w:0.3] On the house.;拿个卡包吧。[w:0.3]免费的。
GBC_NPC_GHOULBRIARVICTORY_978_F;;
GBC_NPC_GHOULBRIARDEFEAT_363_M;B[w:0.2][shake:1]rrrr![w:0.4] Nope.[w:0.3] I'm still cold.;呼[w:0.2][shake:1]啊啊啊啊！[w:0.4]不。[w:0.3]我还很冷。
GBC_NPC_GHOULBRIARDEFEAT_363_F;;
GBC_NPC_GHOULBRIARDEFEAT_REPEAT_#1_706_M;B[w:0.2][shake:1]rrrr![w:0.4] Come on.[w:0.3] Try a bit harder!;呼[w:0.2][shake:1]啊啊啊啊！[w:0.4]拜托。[w:0.3]再努把力啊！
GBC_NPC_GHOULBRIARDEFEAT_REPEAT_#1_706_F;;
GBC_NPC_GHOULSAWYERGREETING_394_M;[t:2]Oh no.[w:0.5] Oh no.[w:0.5][t:0] Do not look upon me.;[t:2]不，[w:0.5]不，[w:0.5][t:0]别看我。
GBC_NPC_GHOULSAWYERGREETING_394_F;;
GBC_NPC_GHOULSAWYERGREETING_030_M;Do not snarl or sniff.[w:0.3] I beg you.;别乱叫、别乱闻。[w:0.3]求你了。
GBC_NPC_GHOULSAWYERGREETING_030_F;;
GBC_NPC_GHOULSAWYERGREETING_180_M;If you wish to battle,[w:0.3] please,[w:0.3] let us get it over with!;如果你想战斗的话，[w:0.3]拜托了，[w:0.3]咱们速战速决行不行！
GBC_NPC_GHOULSAWYERGREETING_180_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_M;[t:2]Oh no.[w:0.5] You are back.;[t:2]噢不，[w:0.5]你咋回来了。
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_M;Please.[w:0.3] Let this be swift.;拜托，[w:0.3]动作快点。
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_M;[t:2]Oh no.[w:0.5] You are back...[w:0.5] again.;[t:2]不，[w:0.5]你又……[w:0.5]回来了。
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_782_M;I am called Sawyer.[w:0.3] The middle stone marks my grave.;我叫索耶。[w:0.3]中间这块石头是我的坟位。
GBC_NPC_GHOULSAWYERGAINPIECE_782_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_656_M;Please,[w:0.3] do not go digging up my bones!;拜托，[w:0.3]别去挖我的骨头！
GBC_NPC_GHOULSAWYERGAINPIECE_656_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_M;Do not sniff or snarl!;别瞎闻、别乱叫！
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_M;Please,[w:0.3] do not bark or beg!;拜托，[w:0.3]别乱吠，别讨食！
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_M;The middle stone marks my grave.;中间的石头是我的坟位。
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_F;;
GBC_NPC_GHOULSAWYERVICTORY_750_M;It is over.[w:0.3] You chewed me out.;结束了。[w:0.3]我被你生吞活剥了。
GBC_NPC_GHOULSAWYERVICTORY_750_F;;
GBC_NPC_GHOULSAWYERVICTORY_015_M;Now,[w:0.3] please,[w:0.3] look away!;好了，[w:0.3]拜托，[w:0.3]别盯着我看！
GBC_NPC_GHOULSAWYERVICTORY_015_F;;
GBC_NPC_GHOULSAWYERVICTORY_331_M;Turn your eyes to this card pack instead.;看看这个卡包吧。
GBC_NPC_GHOULSAWYERVICTORY_331_F;;
GBC_NPC_GHOULSAWYERDEFEAT_291_M;Oh dear.[w:0.3] Does this mean you will try again?;天哪。[w:0.3]意思是你还会再次尝试吗？
GBC_NPC_GHOULSAWYERDEFEAT_291_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_M;Agony![w:0.3] Please leave me be.;痛苦啊！[w:0.3]请放过我吧。
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_M;No...[w:0.3] Not again...;不……[w:0.3]别再来了……
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_M;Avert your eyes!;移开你的视线！
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_F;;
GBC_NPC_GBCTRADERINTRO_881_M;You wish to trade?;你想交易吗？
GBC_NPC_GBCTRADERINTRO_881_F;;
GBC_NPC_GRIMORATEMPLEINTRO_820_M;!DELETED!;[t:3]你终于[w:0.2]到这儿了！[w:0.3][t:0]真了不起！[w:0.3]我真是[t:0.2][shake:0.5][t:3]太[w:0.2]兴奋了。
GBC_NPC_GRIMORATEMPLEINTRO_820_F;;
GBC_NPC_GRIMORATEMPLEINTRO_811_M;!DELETED!;[t:3]我是死亡冥刻者，[w:0.3][t:0]格里魔拉。
GBC_NPC_GRIMORATEMPLEINTRO_811_F;;
GBC_NPC_GRIMORATEMPLEINTRO_409_M;[t:3]If you wish to test your skills against me,[w:0.5][t:0][e:Anger] you must first prove your wits.[w:0.2].[w:0.2].[w:0.2];[t:3]如果你想在我面前测试你的技能，[w:0.5][t:0][e:Anger]就必须先证明你有多聪明…[w:0.2]…[w:0.2]
GBC_NPC_GRIMORATEMPLEINTRO_409_F;;
GBC_NPC_GRIMORATEMPLEINTRO_081_M;[t:3]You must discern which tomb marks the final resting places of[w:0.2] my[w:0.2][shake:0.5][t:20] lovely[w:0.2][t:2] Ghouls.;[t:3]你必须分辨出哪个坟墓是[w:0.2]我[w:0.2][shake:0.5][t:20]可爱的[w:0.2][t:2]食尸鬼们最后的安息地。
GBC_NPC_GRIMORATEMPLEINTRO_081_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_429_M;[t:3]Marvelous![w:0.4] I believe you have proven your wits adequately.;[t:3]真了不起！[w:0.4]我相信你已经充分证明了自己的智慧。
GBC_NPC_GRIMORAPUZZLESOLVED_429_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_676_M;Are you prepared?;准备好了吗？
GBC_NPC_GRIMORAPUZZLESOLVED_676_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_157_M;[t:12][e:Anger]You will not defeat me.;[t:12][e:Anger]你是打不过我的。
GBC_NPC_GRIMORAPUZZLESOLVED_157_F;;
_OPPONENTSURRENDER_449_M;I see the way this is going.;我预见了事态发展。
_OPPONENTSURRENDER_449_F;;
_OPPONENTSURRENDER_439_M;I concede.;我认输了。
_OPPONENTSURRENDER_439_F;;
_OPPONENTSURRENDER_031_M;You may accept my surrender...;接受我的投降吧……
_OPPONENTSURRENDER_031_F;;
_OPPONENTSURRENDER_877_M;...or you may finish this match the slow way.;……或是你想慢慢打也可以。
_OPPONENTSURRENDER_877_F;;
_OPPONENTSURRENDER_REPEAT_#1_853_M;You have me here. I surrender.;你打败我了。我投降。
_OPPONENTSURRENDER_REPEAT_#1_853_F;;
_OPPONENTSURRENDER_REPEAT_#3_923_M;Yes. I think you've got me this time.;是啊，这次你可逮到我了。
_OPPONENTSURRENDER_REPEAT_#3_923_F;;
_OPPONENTSURRENDER_REPEAT_#4_247_M;Scoop.;出类拔萃。
_OPPONENTSURRENDER_REPEAT_#4_247_F;;
_OPPONENTSURRENDER_REPEAT_#5_710_M;I'll surrender.;我投降。
_OPPONENTSURRENDER_REPEAT_#5_710_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_M;I- I think this could get messy.;我……我觉得可能会变得一团乱。
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_087_M;[size:3]Look away.[size:];[size:3]看别处呗。[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_087_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_016_M;Y- you may want to...;你……你可能想要……
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_016_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_862_M;[size:3]Avert your eyes.[size:];[size:3]看向别处。[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_862_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_602_M;Y- you should...;你……你应该……
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_602_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_474_M;[size:3]You don't want to see this.[size:];[size:3]你不会想看到这个的。[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_474_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#3_490_M;This procedure... it is grisly?;这个程序……恐怖吗？
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#3_490_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_542_M;Th- the [c:bR][v:0][c:]... it is now one?;那[c:bR][v:0][c:]……现在成了一个？
SPECIAL_NODES_DUPLICATEMERGERESULT_542_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#1_082_M;Y- you now have but one [c:bR][v:0][c:]... It is stronger?;你现在只有一张[c:bR][v:0][c:]了……它变强了吗？
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#1_082_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#2_701_M;Th- the operation. It is complete?;这……手术，完成了？
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#2_701_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#3_106_M;Wh- what have we done?;我……我们做了什么？
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#3_106_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_015_M;O- oh dear... Y- you don't...;啊……啊，天哪……你……你没有……
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_015_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_258_M;[size:3]You have no duplicate cards.[size:];[size:3]你没有重复卡牌啊。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_258_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_842_M;T- take one of ours?;要……要不拿一张我们的牌？
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_842_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_770_M;[size:3]We will use it next time.[size:];[size:3]我们下次再用。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_770_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_527_M;O- oh. Hm. Oh.;嗷……唔，嗷。
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_527_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_456_M;[size:3]Your cards are all distinct. No pairs.[size:];[size:3]你这全是单张卡牌，没有成对的。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_456_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_168_M;N- no pairs. C- can they take...;没……没有成对的，能不能拿……
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_168_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_555_M;[size:3]You will take one of our creatures.[size:];[size:3]你可以拿走我们的一个造物。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_555_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_159_M;Hm. Oh. Hm.;唔，嗷，唔。
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_159_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_995_M;[size:3]You will take a creature from us.[size:];[size:3]你可以拿走我们的一个造物。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_995_F;;
GBC_NPC_WIZARDGREENGREETING_977_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] The pain is unbearable![w:0.3] M-[w:0.2] my organs are melting!;[c:R][shake:1]啊啊啊啊！[w:0.4][t:0][c:]这疼痛实在让人无法忍受！[w:0.3]我……[w:0.2]我的内脏都要融化了！
GBC_NPC_WIZARDGREENGREETING_977_F;;
GBC_NPC_WIZARDGREENGREETING_087_M;Do you see?[w:0.3] Magnificus turned me into... [c:R][shake:1]Rrrggh![w:0.4][t:0][c:] ...Goo[w:0.3] for my final exam.;看到没？[w:0.3]蔓尼菲科在期末考试的时候把我变成了……[c:R][shake:1]啊啊！[w:0.4][t:0][c:]……黏液。
GBC_NPC_WIZARDGREENGREETING_087_F;;
GBC_NPC_WIZARDGREENGREETING_940_M;I just need to defeat one more challenger.[w:0.3] Then...[w:0.5] then[w:0.2] I will earn my [shake:0.6]rightful[w:0.2][shake:0.6] place!;我只需要再打败一名挑战者。[w:0.3]然后……[w:0.5]然后[w:0.2]我就能赢得我[shake:0.6]应有的[w:0.2][shake:0.6]地位了！
GBC_NPC_WIZARDGREENGREETING_940_F;;
GBC_NPC_WIZARDGREENGREETING_449_M;My rightful place in the deck of[w:0.2][shake:0.6] The Master![w:0.3] As one of his prized cards.;我在[w:0.2][shake:0.6]大师牌组中应有的地位！[w:0.3]我可是他的珍稀卡牌之一。
GBC_NPC_WIZARDGREENGREETING_449_F;;
GBC_NPC_WIZARDGREENGREETING_562_M;[c:R][shake:1]Argh![w:0.4][t:0][c:] Nothing will stop me.;[c:R][shake:1]啊！[w:0.4][t:0][c:]没有什么能阻挡我。
GBC_NPC_WIZARDGREENGREETING_562_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_830_M;Wh-[w:0.2] what are you doing?;你……[w:0.2]你在干嘛？
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_830_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_791_M;I passed my final exam.[w:0.3] We're-[w:0.2] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] We're done.;我通过了期末考试。[w:0.3]终于……[w:0.2][c:R][shake:1]啊啊啊啊！[w:0.4][t:0][c:]终于结束了。
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_791_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_508_M;Please.[w:0.3] Please not again!;求你了。[w:0.3]不要再这样了！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_508_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#2_285_M;Please.[w:0.3] Have mercy!;求你了。[w:0.3]发发慈悲吧！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#2_285_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#3_401_M;No![w:0.3] Not another!;不！[w:0.3]别再来了！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#3_401_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#4_525_M;Please.[w:0.3] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Have mercy!;求你了。[w:0.3][c:R][shake:1]啊啊啊啊！[w:0.4][t:0][c:]发发慈悲吧！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#4_525_F;;
GBC_NPC_WIZARDGREENDEFEAT_832_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Yes.[w:0.4] It was all worth it.;[c:R][shake:1]啊啊啊啊！[w:0.4][t:0][c:]没错。[w:0.4]这一切都是值得的。
GBC_NPC_WIZARDGREENDEFEAT_832_F;;
GBC_NPC_WIZARDGREENDEFEAT_434_M;Please.[w:0.3] Report my victory to The Master.[w:0.3] Quickly if possible.;求你了。[w:0.3]向大师汇报我的胜利。[w:0.3]求你快点吧。
GBC_NPC_WIZARDGREENDEFEAT_434_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_197_M;Yes.[w:0.3] I passed again.;是啊，[w:0.3]我再次通过了。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_197_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_553_M;Please.[w:0.3] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Report my victory to Magnificus.[w:0.3];求你了。[w:0.3][c:R][shake:1]啊啊啊啊！[w:0.4][t:0][c:]向蔓尼菲科汇报我的胜利。[w:0.3]
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_553_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_758_M;It's almost over.;就快结束了。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_758_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_744_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:];[c:R][shake:1]啊啊啊啊！[w:0.4][t:0][c:]
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_744_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_755_M;It's been a few times now.;已经好几次了。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_755_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_908_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Report my victory to Magnificus![w:0.3] I beg you.;[c:R][shake:1]啊啊啊啊！[w:0.4][t:0][c:]向蔓尼菲科汇报我的胜利。[w:0.3]求你了。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_908_F;;
GBC_NPC_WIZARDGREENVICTORY_391_M;No...[w:0.3] Please.;不……[w:0.3]求你了。
GBC_NPC_WIZARDGREENVICTORY_391_F;;
GBC_NPC_WIZARDGREENVICTORY_914_M;Please.[w:0.3] Just tell The Master I passed![w:0.3] He won't know the difference.;拜托了。[w:0.3]告诉大师我过了就好！[w:0.3]他不会看出什么区别的。
GBC_NPC_WIZARDGREENVICTORY_914_F;;
GBC_NPC_WIZARDGREENVICTORY_000_M;Here,[w:0.3] take this pack!;给，[w:0.3]拿上这个卡包！
GBC_NPC_WIZARDGREENVICTORY_000_F;;
GBC_NPC_WIZARDGREENOPENDOOR_954_M;Here, I can open the door for you.[w:0.4] [c:R][shake:1]Rrrggh![t:0];来来来，我可以给你开门。[w:0.4][c:R][shake:1]啊啊！[t:0]
GBC_NPC_WIZARDGREENOPENDOOR_954_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_211_M;You may only draw a card at the beginning of your turn.;只有在你的回合开始时才可抽牌。
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_211_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#1_307_M;One card per turn. Don't be greedy.;每回合抽一张牌。不要贪心。
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#1_307_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#2_212_M;You can draw a new card once per turn. You have already drawn one.;每回合可以抽一张新牌。你已经抽了一张。
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#2_212_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#3_695_M;Do you understand? Only one.;明白了吗？只能抽一张。
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#3_695_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#4_807_M;You have drawn a card this turn.;本回合你已经抽了一张牌。
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#4_807_F;;
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_794_M;There are no cards of mine that you can cut. Not yet.;我这儿没有什么可以让你剪的牌。暂时还没有。
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_794_F;;
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#1_310_M;Hold off. Wait until I have something to cut.;等等。等我有牌可剪再说。
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#1_310_F;;
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#2_993_M;You may cut one of my cards with those... when I have any that are cuttable.;你是可以剪我的牌……但也得等我有牌可剪啊。
GAMEPLAY_HINTS_HINT_SCISSORSNOTARGET_REPEAT_#2_993_F;;
SPECIAL_NODES_TRADERNOPELTS1_836_M;You have none.;你什么也没有。
SPECIAL_NODES_TRADERNOPELTS1_836_F;;
SPECIAL_NODES_TRADERNOPELTS1_421_M;Do you understand how disappointing that is?;你知道这有多让人失望吗？
SPECIAL_NODES_TRADERNOPELTS1_421_F;;
SPECIAL_NODES_TRADERNOPELTS1_867_M;I must give you this.;这个我必须给你。
SPECIAL_NODES_TRADERNOPELTS1_867_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_075_M;None?;没有？
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_075_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_550_M;You have no pelts at all?;你一张毛皮也没有？
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#1_550_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_018_M;I was under the impression that you were carrying pelts.;我还以为你总是带着毛皮。
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_018_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_654_M;This...;这……
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_654_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_852_M;This is profoundly disappointing.;这真是太让人失望了。
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#2_852_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#3_173_M;You didn't bring any?;你什么也没带？
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#3_173_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_956_M;You must not be serious.;你是在说笑吧。
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_956_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_347_M;To come to me empty-handed...;竟然就这样两手空空来找我……
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_347_F;;
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_752_M;It is unbelievable.;简直难以置信。
SPECIAL_NODES_TRADERNOPELTS1_REPEAT_#4_752_F;;
SPECIAL_NODES_TRADERNOPELTS2_544_M;Use that to buy some pelts.;用这些钱来买点毛皮吧。
SPECIAL_NODES_TRADERNOPELTS2_544_F;;
SPECIAL_NODES_TRADERNOPELTS2_640_M;Do not return empty-handed again.;不要再空手而返了。
SPECIAL_NODES_TRADERNOPELTS2_640_F;;
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_028_M;Give these to m-;把这些东西给……
SPECIAL_NODES_TRADERNOPELTS2_REPEAT_#1_028_F;;
