Column1;Column10;KOR 
GBC_NPC_LESHYGBCGIVECAMERA1_674_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_387_M;Behold me.[w:0.3] I am Leshy,[w:0.3] The Scrybe of Beasts.;목도하라.[w:0.3] 나는 레쉬,[w:0.3] 짐승의 필경자.
GBC_NPC_LESHYGBCGIVECAMERA1_387_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_819_M;I would consider your ambition to replace me a threat...[w:0.4] If it weren't so laughable.;나를 대체하겠다는 너의 야망은 위협이어야 할 터인데...[w:0.4] 웃음만 나오는군.
GBC_NPC_LESHYGBCGIVECAMERA1_819_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_163_M;We share a desire for you to challenge me.[w:0.3] But first...;너의 도전은 나도 원하는 바이다.[w:0.3] 그러나 먼저...
GBC_NPC_LESHYGBCGIVECAMERA1_163_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_064_M;Return to me when my subordinates are defeated.;나의 하수인들을 물리친 후에 다시 오거라.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_064_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_080_M;You may wish to start with The Prospector.;탐광자부터 시작하는 편이 좋겠군.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_080_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_110_M;Return to me when they are all defeated.;모두 물리친 후에 다시 오거라.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_110_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_847_M;The Prospector is always losing that infernal hound of his...;탐광자는 늘 애완 지옥의 사냥개를 잃어버리지...
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_847_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_096_M;I may have left some meat in the safe. The Prospector scrawled the code somewhere by the hound's food bowl.;금고에 고기가 있을 것이다. 암호는 탐광자가 사냥개 밥그릇 어딘가에 휘갈겨놓았다.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_096_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_399_M;A bit of meat in that hound's bowl always draws her out...;사냥개는 밥그릇에 고기가 있으면 기어 나오니...
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_399_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_690_M;I know what you're thinking.;무슨 생각인지 안다.
GBC_NPC_LESHYGBCGIVECAMERA2_690_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_650_M;No.[w:0.3] This is not my legendary camera.[w:0.3] Not the one I used to create [c:R][shake:0.7]Beast[w:0.25][shake:0.7] Cards.;아니.[w:0.3] 이건 내 전설의 카메라가 아니다. [w:0.3][c:R][shake:0.7]짐승[w:0.25][shake:0.7]카드를 만든 것 말이다.
GBC_NPC_LESHYGBCGIVECAMERA2_650_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_490_M;This one is a mere replica.[w:0.3] You may use it to create photos of the beasts in these woods.;그저 복제품이지.[w:0.3] 이것으로 숲에서 짐승들의 사진을 찍거라.
GBC_NPC_LESHYGBCGIVECAMERA2_490_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_452_M;My subordinates...[w:0.3] The Prospector,[w:0.3] The Angler,[w:0.3] and The Trapper...[w:0.3];나의 하수인들...[w:0.3] 탐광자,[w:0.3] 낚시꾼,[w:0.3] 그리고 덫사냥꾼...[w:0.3]
GBC_NPC_LESHYGBCGIVECAMERA2_452_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_571_M;They each require a photo before they will consider battling you.;각자 사진을 하나씩 주어야 너와 전투해줄 것이다.
GBC_NPC_LESHYGBCGIVECAMERA2_571_F;;
GBC_NPC_PROSPECTORNPCGREETING_573_M;Well,[w:0.3] I'll be darned.[w:0.3] That's my [shake:0.8]girl!;오,[w:0.3] 세상에. [w:0.3]우리 [shake:0.8]아가씨잖아!
GBC_NPC_PROSPECTORNPCGREETING_573_F;;
GBC_NPC_PROSPECTORNPCGREETING_372_M;I'll let ye past me,[w:0.3] and into yonder pond...;지나가게 해주지,[w:0.3] 저 편의 연못으로...
GBC_NPC_PROSPECTORNPCGREETING_372_F;;
GBC_NPC_PROSPECTORNPCGREETING_156_M;But,[w:0.3] dag nab it,[w:0.3] first we gotta[w:0.3][c:R][shake:1] BATTLE!;하지만,[w:0.3] 괘씸무쌍할, [w:0.3]먼저 [w:0.3][c:R][shake:1]전투다!
GBC_NPC_PROSPECTORNPCGREETING_156_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_576_M;Ye found my hound.[w:0.3] And I'm grateful 'n all...;내 사냥개를 찾아줬지.[w:0.3] 고맙고 다 그러지만...
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_576_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_933_M;But,[w:0.3] dag nab it,[w:0.3] we just gotta[w:0.3][c:R][shake:1] BATTLE!;하지만,[w:0.3] 괘씸무쌍할,[w:0.3] [w:0.3][c:R][shake:1]전투는 해야지!
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_933_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_446_M;I do thank ye for the pretty picture...;예쁜 사진은 정말 고맙긴 한데...
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_446_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_282_M;But afore I let ye by...;하지만 보내주기 전에...
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_282_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#3_030_M;Dag nab it.[w:0.3] Yer stubborn.;괘씸무쌍할.[w:0.3] 고집도 세군.
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#3_030_F;;
GBC_NPC_PROSPECTORNPCVICTORY_840_M;Fair's fair.[w:0.3] Ye beat me like a dog.;정정당당했다.[w:0.3] 날 개처럼 패버렸군.
GBC_NPC_PROSPECTORNPCVICTORY_840_F;;
GBC_NPC_PROSPECTORNPCVICTORY_152_M;Take this.[w:0.3] Some say these here cards are better 'n gold!;이걸 받게.[w:0.3] 이게 황금보다 낫다는 자들도 있더군!
GBC_NPC_PROSPECTORNPCVICTORY_152_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#1_961_M;The way to yonder pond is clear!;저 편 연못으로 가는 길이 열렸도다!
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#1_961_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#2_039_M;Darn pretty picture...;죽여주게 아름다운 사진이군...
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#2_039_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#3_089_M;Off with ye.;이제 가보게.
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#3_089_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_446_M;I'd let ye by for the kindness ye showed my hound...[w:0.3] But rules 'r rules.;우리 개를 도와줬으니 보내주고 싶지만...[w:0.3] 규칙은 규칙이라.
GBC_NPC_PROSPECTORNPCDEFEAT_446_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#1_343_M;Rules 'r rules.;규칙은 규칙이지.
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#1_343_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#2_859_M;Dag nab it...;괘씸무쌍한...
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#2_859_F;;
GBC_NPC_ANGLERNPCDEFEAT_544_M;Thank for fish.[w:0.3] But[w:0.3] no pass until beat.;생선 고맙다.[w:0.3]하지만[w:0.3]승리 전엔 못 지나가.
GBC_NPC_ANGLERNPCDEFEAT_544_F;;
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#1_566_M;No pass[w:0.3] until beat.;승리 전엔[w:0.3] 못 지나가.
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#1_566_F;;
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#2_271_M;No beat.[w:0.3] No pass.;승리 없다.[w:0.3] 못 지나가.
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#2_271_F;;
GBC_NPC_ANGLERNPCVICTORY_972_M;You beat.[w:0.3] You pass.;승리했다. [w:0.3] 지나간다.
GBC_NPC_ANGLERNPCVICTORY_972_F;;
GBC_NPC_ANGLERNPCVICTORY_505_M;First,[w:0.3] take.;먼저,[w:0.3] 받아라.
GBC_NPC_ANGLERNPCVICTORY_505_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_331_M;Me?[w:0.3] Work continue.;나? [w:0.3] 계속 일.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_331_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_902_M;Find fish for Leshy.;레쉬 줄 생선 찾아.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_902_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_381_M;Leshy want good fish.;레쉬 좋은 생선 원해.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_381_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_952_M;Fresh fish.;신선한 생선.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_952_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_081_M;Corrupted fish.;오염된 생선.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_081_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_669_M;Leshy trust.;레쉬 믿는다.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_669_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_390_M;I not disappoint.;나 실망 안 시킨다.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_390_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_416_M;Find corrupted fish.;오염된 생선 찾아.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_416_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_626_M;Fresh fish?;신선한 생선?
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_626_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_429_M;No. Leshy want corrupted.;아냐. 레쉬 오염된 생선 원해.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_429_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_332_M;I find some time.;나 가끔 찾아.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_332_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_386_M;Always do.;항상 그래.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_386_F;;
GBC_NPC_ANGLERNPCGREETING_539_M;Fish.[w:0.3] Fresh fish.[w:0.5] Good.;생선.[w:0.3] 신선한 생선.[w:0.5] 좋아.
GBC_NPC_ANGLERNPCGREETING_539_F;;
GBC_NPC_ANGLERNPCGREETING_723_M;Still.[w:0.3] Must beat.;그래도.[w:0.3] 승리해야 한다.
GBC_NPC_ANGLERNPCGREETING_723_F;;
GBC_NPC_ANGLERNPCGREETING_REPEAT_#2_365_M;Fish good.;생선 좋다.
GBC_NPC_ANGLERNPCGREETING_REPEAT_#2_365_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_268_M;You don't[w:0.3] perchance[w:0.6] have any [w:0.2]pelts?;혹시[w:0.3] 가죽 [w:0.6] 좀 [w:0.2] 없나요?
GBC_NPC_GBCTRADERNATURETEMPLE_268_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_608_M;No?[w:0.3] That is disappointing,[w:0.3] but,[w:0.3] I also accept foils.;없다고요?[w:0.3] 실망스럽네요,[w:0.3] 하지만,[w:0.3] 포일도 받습니다.
GBC_NPC_GBCTRADERNATURETEMPLE_608_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#1_187_M;Still no pelts?;아직도 가죽이 없으세요?
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#1_187_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#2_114_M;I accept foils...[w:0.3] but you know my preference is pelts.;전 포일도 받지만...[w:0.3] 가죽을 선호하는 거 알잖습니까.
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#2_114_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_206_M;Pelts?;가죽?
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_206_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_385_M;Alas...[w:0.3] We may still deal in lesser currencies...;아아...[w:0.3] 아직도 값싼 통화로 거래해야 할지도...
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_385_F;;
GBC_NPC_TRADERNPCHEADSWITCH_589_M;You...[w:0.3] have brought a pelt.[w:0.3] I am pleased.;당신...[w:0.3] 가죽을 가져왔군요.[w:0.3] 기쁩니다.
GBC_NPC_TRADERNPCHEADSWITCH_589_F;;
GBC_NPC_TRADERNPCHEADSWITCH_863_M;Yet another turn of the skinning knife...;가죽 벗기는 칼을 또 쓸 때가 왔지라...
GBC_NPC_TRADERNPCHEADSWITCH_863_F;;
GBC_NPC_TRADERNPCHEADSWITCH_198_M;It is time[w:0.3] to set another trap.;다음 함정을[w:0.3] 팔 시간이구마.
GBC_NPC_TRADERNPCHEADSWITCH_198_F;;
GBC_NPC_TRAPPERNPCGREETING_045_M;I smell the hare's blood on you.;너헌티 토끼 피 냄새가 나야.
GBC_NPC_TRAPPERNPCGREETING_045_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#1_023_M;I set the trap[w:0.3] but only the prey decides when it snaps shut.;함정은 나가 깔지만[w:0.3] 그게 언제 닫힐지는 사냥감에 달렸제.
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#1_023_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#2_453_M;You smell like prey.;넌 사냥감 냄새가 나부러.
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#2_453_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#3_252_M;*sniff*[w:0.3] *sniff*;*킁* [w:0.3] *킁*
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#3_252_F;;
GBC_NPC_TRAPPERNPCVICTORY_008_M;The trap has shut,[w:0.3] yet the prey escapes.;함정이 닫혔지만,[w:0.3] 사냥감은 탈출했구마.
GBC_NPC_TRAPPERNPCVICTORY_008_F;;
GBC_NPC_TRAPPERNPCVICTORY_447_M;And the trapper waits for the next victim...;덫사냥꾼은 다음 희생양을 기다린다...
GBC_NPC_TRAPPERNPCVICTORY_447_F;;
GBC_NPC_TRAPPERNPCVICTORY_403_M;You've defeated the three of us now.;이제 우리 셋을 다 쓰러트렸구마.
GBC_NPC_TRAPPERNPCVICTORY_403_F;;
GBC_NPC_TRAPPERNPCVICTORY_155_M;Leshy[w:0.3] awaits.;레쉬가[w:0.3] 기다려야.
GBC_NPC_TRAPPERNPCVICTORY_155_F;;
GBC_NPC_TRAPPERNPCDEFEAT_398_M;Come closer.[w:0.3] You'll make a fine pelt.;가까이 와.[w:0.3] 질좋은 가죽이 나오겠어야.
GBC_NPC_TRAPPERNPCDEFEAT_398_F;;
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#1_616_M;You're not cut out for trapping.[w:0.3] You're better as prey.;넌 함정엔 소질이 없구마.[w:0.3] 사냥감이 더 적성이야.
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#1_616_F;;
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#2_944_M;You'll make a fine pelt.;네 가죽은 질이 좋을 거여.
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#2_944_F;;
GBC_NPC_LESHYGBCINTRO_622_M;You had bested the unhinged [c:R]Prospector[c:],[w:0.3] the gormless [c:R]Angler[c:],[w:0.3] the enigmatic [c:R]Trapper[c:]...;미치광이 [c:R]탐광자[c:],[w:0.3] 우둔한 [c:R]낚시꾼[c:],[w:0.3] 수수께끼의 [c:R]덫사냥꾼[c:]을 쓰러트렸군...
GBC_NPC_LESHYGBCINTRO_622_F;;
GBC_NPC_LESHYGBCINTRO_147_M;You found yourself standing before your ultimate match:[w:0.3][shake:0.8][c:R] Leshy,[w:0.3] Scrybe of Beasts[c:].;이제 네 앞엔 궁극의 적이 서 있다.[w:0.3][shake:0.8][c:R] 레쉬,[w:0.3] 짐승의 필경자.[c:]
GBC_NPC_LESHYGBCINTRO_147_F;;
GBC_NPC_LESHYGBCINTRO_156_M;Your ambition is to replace P03?[w:0.3] Good.[w:0.3] Though[w:0.2] if you do not defeat me,[w:0.3] you will not get that chance.;P03을 대체하려는 너의 야망?[w:0.3] 좋다.[w:0.3] 하지만[w:0.2] 날 이기지 못한다면,[w:0.3] 그럴 기회는 없을 것이다.
GBC_NPC_LESHYGBCINTRO_156_F;;
GBC_NPC_LESHYGBCINTRO_226_M;Your ambition is to defeat me?[w:0.3] Foolish.[w:0.3] Even if,[w:0.2] by some odd luck,[w:0.2] you defeat me now...;나를 이기려는 네 야망?[w:0.3] 아둔하군.[w:0.3]혹시,[w:0.2]운수가 아주 좋아 [w:0.2] 날 쓰러트린대도...
GBC_NPC_LESHYGBCINTRO_226_F;;
GBC_NPC_LESHYGBCINTRO_416_M;You will [shake:1]still[w:0.3] need to defeat me once more...[w:0.3] in the [c:R]Final Duel[c:].;여전히[shake:1] 한 번 더[w:0.3] 나를 이겨야 할 것이다... [c:R]최후의 듀얼[c:]에서.[w:0.3]
GBC_NPC_LESHYGBCINTRO_416_F;;
GBC_NPC_LESHYGBCINTRO_519_M;And that[w:0.3] is even more unlikely.;그건[w:0.3] 더욱 가능성이 희박하지.
GBC_NPC_LESHYGBCINTRO_519_F;;
GBC_NPC_LESHYGBCINTRO_969_M;[shake:1]Steel yourself![w:0.3] For my beasts will show you no mercy,[w:0.6][shake:1] only[w:0.5][shake:1] fangs.;[shake:1]대비하여라![w:0.3] 나의 짐승들은 자비심이 없고, [w:0.6][shake:1]이빨만[w:0.5][shake:1] 많으니.
GBC_NPC_LESHYGBCINTRO_969_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_741_M;Will you fight harder this time?;이번엔 더 열심히 싸울 텐가?
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_741_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_523_M;I crave a true challenge.;난 어려운 상대를 갈망한다.
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_523_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#2_360_M;Come now.[w:0.3] Give it an earnest effort!;이제 오거라.[w:0.3] 진심을 다해!
GBC_NPC_LESHYGBCINTRO_REPEAT_#2_360_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#3_741_M;Steel yourself!;대비하여라!
GBC_NPC_LESHYGBCINTRO_REPEAT_#3_741_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#4_100_M;My beasts are still hungry.;나의 짐승들은 아직 굶주렸다.
GBC_NPC_LESHYGBCINTRO_REPEAT_#4_100_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_472_M;One moment.[w:0.4] Before that one dies...;잠시.[w:0.4] 저 녀석이 죽기 전에...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_472_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_264_M;I'll need to capture its [c:R]stats[c:]...;녀석의 [c:R]능력치[c:]를 포착해야 한다...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_264_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#1_741_M;Next,[w:0.3] [c:bR]stats[c:]...;다음은 [w:0.3] [c:bR]능력치[c:]...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#1_741_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#2_415_M;Let me get those numbers...;저 숫자들을 확인하게...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#2_415_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#3_376_M;A moment.[w:0.3] I need the [c:bR]stats[c:]...;잠시만.[w:0.3] [c:bR]능력치가 필요하다[c:]...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#3_376_F;;
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_797_M;I'll need a photo of that one's [c:R]cost[c:]...;저 녀석의 [c:R]비용[c:]의 사진이 필요하다...
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_797_F;;
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#1_610_M;The [c:R]cost[c:]...;[c:R]비용[c:]은...
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#1_610_F;;
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#2_565_M;!DELETED!;녀석이 죽기 전에...
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#2_565_F;;
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_965_M;And finally,[w:0.3] the [c:R]sigils[c:].;마지막으로, [w:0.3]저[c:R]도장[c:].
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_965_F;;
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#1_040_M;All we need now is the [c:R]sigils[c:]...;이제 남은 건 [c:R]도장[c:] 뿐...
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#1_040_F;;
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#2_256_M;The [c:R]sigils[c:]...;[c:R]도장[c:]...
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#2_256_F;;
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_137_M;That will do.;이 정도면 되겠지.
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_137_F;;
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_203_M;The deaths of your creatures will form a beautiful mosaic.;네 피조물들의 죽음이 아름다운 모자이크가 될 것이다.
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_203_F;;
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_REPEAT_#1_855_M;That will do.[w:0.3] Allow me a moment to prepare...;이거면 됐다.[w:0.3] 잠시 준비할 시간을...
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_REPEAT_#1_855_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_152_M;You must like them.[w:0.3] Though the stitchwork is my own, they[w:0.2][shake:0.6] are your cards.;네 맘에 들 것이다.[w:0.3] 바느질은 내가 했지만, [w:0.2][shake:0.6]너의 카드이니.
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_152_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_280_M;Now we put them to the test.[w:0.3] My beasts enjoy a varied diet.;이제 시험해 보거라.[w:0.3] 내 짐승들은 편식하지 않으니.
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_280_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#1_092_M;Are you satisfied with our creations?;우리의 창조물이 맘에 드는가?
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#1_092_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#2_192_M;Are these Amalgams[w:0.3] satisfactory?;이 결합물들이[w:0.3] 만족스러운가?
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#2_192_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#3_559_M;Let us put them to the test.[w:0.3] My beasts enjoy a varied diet.;시험해 보자꾸나.[w:0.3] 내 짐승들은 편식하지 않으니.
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#3_559_F;;
GBC_BATTLE_LESHYGBCBOSSLOSEHAND_981_M;You won't be needing those.[w:0.3] I have something better.;이젠 필요 없을 것이다.[w:0.3] 더 나은 게 있다.
GBC_BATTLE_LESHYGBCBOSSLOSEHAND_981_F;;
GBC_BATTLE_LESHYGBCBOSSLOSEHAND_REPEAT_#1_537_M;These are inferior cards.[w:0.3] Let's replace them.;이건 열등한 카드다.[w:0.3] 교체하도록 하자.
GBC_BATTLE_LESHYGBCBOSSLOSEHAND_REPEAT_#1_537_F;;
GBC_BATTLE_LESHYGBCBOSSLOSEHAND_REPEAT_#2_820_M;I have something better.;더 나은 것이 있다.
GBC_BATTLE_LESHYGBCBOSSLOSEHAND_REPEAT_#2_820_F;;
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_939_M;Hm.[w:0.3] We never did finish your deathcard...[w:0.6] There wasn't enough death.;흠.[w:0.3] 네 죽음 카드를 완성하질 못했지...[w:0.6] 죽음이 부족했다.
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_939_F;;
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_919_M;I hope you don't mind my filling in the blanks.;내가 빈 칸을 채우도록 하지.
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_919_F;;
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_REPEAT_#1_245_M;I had to take some liberties with this one.[w:0.3] There wasn't enough death.;여기선 융퉁성을 발휘해야 했다.[w:0.3] 죽음이 부족했기 때문에.
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_REPEAT_#1_245_F;;
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_REPEAT_#2_139_M;The Amalgams will have a bit of my own cards thrown in.[w:0.3] Not enough of yours perished.;이 결합물에는 내 카드가 섞여들어갔다.[w:0.3] 네 죽은 카드가 충분치 않았으니.
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_REPEAT_#2_139_F;;
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_REPEAT_#3_052_M;We never did finish your deathcard...[w:0.6] There wasn't enough death.;너의 죽음 카드를 완성하질 않았지... [w:0.6] 죽음이 부족했으니.
GBC_BATTLE_LESHYGBCBOSSINCOMPLETEDEATHCARD_REPEAT_#3_052_F;;
GBC_BATTLE_LESHYGBCBOSSPHASE1_390_M;Do not spare your creatures.[w:0.3] My camera is waiting to capture them at the moment of their demise.;피조물을 너무 아끼지 마라.[w:0.3] 내 카메라가 놈들의 최후를 기다리고 있다.
GBC_BATTLE_LESHYGBCBOSSPHASE1_390_F;;
GBC_BATTLE_LESHYGBCBOSSPHASE1_385_M;And my beasts are famished.;나의 짐승들 또한 굶주렸지.
GBC_BATTLE_LESHYGBCBOSSPHASE1_385_F;;
GBC_BATTLE_LESHYGBCBOSSPHASE1_REPEAT_#1_310_M;My camera is poised.[w:0.3] Show me something worthwhile.;내 카메라가 준비됐다.[w:0.3] 찍을 가치 있는 장면을 만들거라.
GBC_BATTLE_LESHYGBCBOSSPHASE1_REPEAT_#1_310_F;;
GBC_BATTLE_LESHYGBCBOSSPHASE1_REPEAT_#2_920_M;Fresh meat for my beasts.;나의 짐승들이 먹을 신선한 고기군.
GBC_BATTLE_LESHYGBCBOSSPHASE1_REPEAT_#2_920_F;;
GBC_BATTLE_LESHYGBCBOSSPHASE1_REPEAT_#3_421_M;Think of the deathcard we can create this time.;이번에 만들 죽음 카드를 생각해 보라.
