Column1;Column10;CH T 
SPECIAL_NODES_DOCTORINTRO_414_M;We will experiment on your flock, yes?;我們要用你的手下來做實驗，對吧？
SPECIAL_NODES_DOCTORINTRO_414_F;;
SPECIAL_NODES_DOCTORINTRO_940_M;We- we will need [c:bR]2 of the same[c:] creatures?;我們-我們需要 [c:bR]2 隻同樣的[c:] 生物？
SPECIAL_NODES_DOCTORINTRO_940_F;;
SPECIAL_NODES_DOCTORINTRO_073_M;[size:3]One for each of us.[size:];[size:3]我們一人一隻。[size:]
SPECIAL_NODES_DOCTORINTRO_073_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_391_M;D- did you bring us... [c:bR]2 of the same[c:]?;你- 你有帶 [c:bR]2 隻同樣的[c:]…給我們嗎？
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_391_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_699_M;[size:3]We would like to experiment.[size:];[size:3]我們想要做實驗。[size:]
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_699_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#2_654_M;We need... duplicates?;我們需要…複製品？
SPECIAL_NODES_DOCTORINTRO_REPEAT_#2_654_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#3_301_M;D- do you have v- v-;你- 你有受- 受-
SPECIAL_NODES_DOCTORINTRO_REPEAT_#3_301_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#3_467;[size:3]They are not victims.[size:];[size:3]它們不是受害者。[size:]
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_407_M;Which fish? Hard choose.;哪條魚？真難選。
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_407_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#1_346_M;Hm. Stale fish. Hard choose.;嗯。不新鮮的魚。真難選。
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#1_346_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#2_800_M;All stale. Hard choose.;通通不新鮮。真難選。
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#2_800_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_837_M;Fresher fish. Easy choose.;較新鮮的魚。真好選。
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_837_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#1_083_M;New fish. Easy choose.;新的魚。真好選。
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#1_083_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#2_179_M;Take new fish. Easy.;拿新的魚。簡單。
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#2_179_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#3_237_M;Mm. Fresh. Choose.;嗯。新鮮。選這個。
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#3_237_F;;
BOSS_DIALOGUE_TEACHFISHHOOKPULL_057_M;Mine now. Go fish.;是我的了。釣魚。
BOSS_DIALOGUE_TEACHFISHHOOKPULL_057_F;;
BOSS_DIALOGUE_TEACHFISHHOOKPULL_REPEAT_#1_314_M;Take fish. Go fish.;拿魚。釣魚。
BOSS_DIALOGUE_TEACHFISHHOOKPULL_REPEAT_#1_314_F;;
GBC_NPC_GHOULROYALGAINPIECE_577_M;An' because ye bested me...[w:0.4] with ye,[w:0.3] I'll share me secret.;因為你擊敗我…[w:0.4] 對你，[w:0.3] 我會分享我的祕密。
GBC_NPC_GHOULROYALGAINPIECE_577_F;;
GBC_NPC_GHOULROYALGAINPIECE_772_M;Me name's Royal.[w:0.3] I's the far right tomb.[w:0.3] Here's the head piece.;我叫羅耀。[w:0.3] 住最右邊墳墓。[w:0.3] 這個是頭飾。
GBC_NPC_GHOULROYALGAINPIECE_772_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_700_M;Like I said: Me name's Royal.[w:0.3] I's the far right tomb.;如我所言: 我叫羅耀。[w:0.3] 住最右邊墳墓。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_700_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_170_M;Yar,[w:0.3] life didn't give me lemons...[w:0.3] So I died.;沒錯，[w:0.3] 生命沒有給我檸檬…[w:0.3] 所以我死了。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_170_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_954_M;I were once the finest pirate on th' seas.;我曾是海上最厲害的海盜。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_954_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_327_M;Lookit me now...[w:0.3] Buried under the far right tomb...;看看現在的我…[w:0.3] 埋在最右邊墳墓底下…
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_327_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_174_M;They say when life gives ye lemons...[w:0.3] Ye make somethin' of it.;人們說當生命給你檸檬…[w:0.3] 你可以逆來順受。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_174_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_481_M;Life were not so kind to give me lemons...[w:0.3] It left me buried under the tomb on the right.;生命壞壞不給我檸檬…[w:0.3] 它讓我埋在最右邊墳墓底下。
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_481_F;;
GBC_NPC_GHOULBRIARGREETING_361_M;B[w:0.2][shake:1]rrrr![w:0.4] Did someone leave the AC on?;好[w:0.2][shake:1]冷冷冷！[w:0.4] 誰讓冷氣開著？
GBC_NPC_GHOULBRIARGREETING_361_F;;
GBC_NPC_GHOULBRIARGREETING_341_M;Oh, [w:0.1][t:0.5]come[w:0.25] on,[w:0.15][t:0] dude![w:0.3] It's[w:0.2][t:1] freezing[w:0.2][t:0] in here!;喔， [w:0.1][t:0.5]拜[w:0.25] 託，[w:0.15][t:0] 老兄！[w:0.3] 這裡[w:0.2][t:1] 太冷[w:0.2][t:0] 吧！
GBC_NPC_GHOULBRIARGREETING_341_F;;
GBC_NPC_GHOULBRIARGREETING_486_M;Maybe a[w:0.2] heated battle[w:0.2] will help. ;或許一場[w:0.2] 熱戰[w:0.2] 幫得上忙。 
GBC_NPC_GHOULBRIARGREETING_486_F;;
GBC_NPC_GHOULBRIARGREETING_REPEAT_#1_473_M;B[w:0.2][shake:1]rrrr!;好[w:0.2][shake:1]冷冷冷！
GBC_NPC_GHOULBRIARGREETING_REPEAT_#1_473_F;;
GBC_NPC_GHOULBRIARGAINPIECE_322_M;You did beat me.[w:0.3] So I guess I've gotta fess up.;你打敗了我。[w:0.3] 我想我大概得坦白。
GBC_NPC_GHOULBRIARGAINPIECE_322_F;;
GBC_NPC_GHOULBRIARGAINPIECE_616_M;The name's K- [w:0.2][shake:1]Kaycee.[w:0.4] Kaycee Hobbes.;我叫凱- [w:0.2][shake:1]凱茜。[w:0.4] 凱茜．霍布斯。
GBC_NPC_GHOULBRIARGAINPIECE_616_F;;
GBC_NPC_GHOULBRIARGAINPIECE_921_M;I'm from the tombstone on the left.;我來自左邊的墓碑。
GBC_NPC_GHOULBRIARGAINPIECE_921_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_208_M;K- [w:0.2][shake:1]Kaycee.[w:0.4] Kaycee Hobbes is the name.;凱- [w:0.2][shake:1]凱茜。[w:0.4] 我叫凱茜．霍布斯。
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_208_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_230_M;Tombstone on the left.;住左邊墓碑。
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_230_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#3_375_M;Is there a draft in here?[w:0.3] It's freezing!;是不是有冷風？[w:0.3] 真是冷死了！
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#3_375_F;;
GBC_NPC_GHOULBRIARVICTORY_690_M;You won,[w:0.3] but now I'm a bit less cold.;你贏了，[w:0.3] 但現在我也沒那麼冷了。
GBC_NPC_GHOULBRIARVICTORY_690_F;;
GBC_NPC_GHOULBRIARVICTORY_978_M;Take a pack.[w:0.3] On the house.;拿一包吧。[w:0.3] 我請客。
GBC_NPC_GHOULBRIARVICTORY_978_F;;
GBC_NPC_GHOULBRIARDEFEAT_363_M;B[w:0.2][shake:1]rrrr![w:0.4] Nope.[w:0.3] I'm still cold.;好[w:0.2][shake:1]冷冷冷！[w:0.4] 不。[w:0.3] 我還是覺得冷。
GBC_NPC_GHOULBRIARDEFEAT_363_F;;
GBC_NPC_GHOULBRIARDEFEAT_REPEAT_#1_706_M;B[w:0.2][shake:1]rrrr![w:0.4] Come on.[w:0.3] Try a bit harder!;好[w:0.2][shake:1]冷冷冷！[w:0.4] 拜託。[w:0.3] 努力點好嗎！
GBC_NPC_GHOULBRIARDEFEAT_REPEAT_#1_706_F;;
GBC_NPC_GHOULSAWYERGREETING_394_M;[t:2]Oh no.[w:0.5] Oh no.[w:0.5][t:0] Do not look upon me.;[t:2]喔不。[w:0.5] 喔不。[w:0.5][t:0] 別看著我。
GBC_NPC_GHOULSAWYERGREETING_394_F;;
GBC_NPC_GHOULSAWYERGREETING_030_M;Do not snarl or sniff.[w:0.3] I beg you.;不要低吼或亂聞。[w:0.3] 我求你。
GBC_NPC_GHOULSAWYERGREETING_030_F;;
GBC_NPC_GHOULSAWYERGREETING_180_M;If you wish to battle,[w:0.3] please,[w:0.3] let us get it over with!;如果你想要對戰，[w:0.3] 拜託，[w:0.3] 讓我們快點比完吧。
GBC_NPC_GHOULSAWYERGREETING_180_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_M;[t:2]Oh no.[w:0.5] You are back.;[t:2]喔不。[w:0.5] 你回來了。
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_M;Please.[w:0.3] Let this be swift.;拜託。[w:0.3] 要比就快點。
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_M;[t:2]Oh no.[w:0.5] You are back...[w:0.5] again.;[t:2]喔不。[w:0.5] 你又…[w:0.5] 回來了。
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_782_M;I am called Sawyer.[w:0.3] The middle stone marks my grave.;我叫索耶。[w:0.3] 中間的石頭就是我的墳。
GBC_NPC_GHOULSAWYERGAINPIECE_782_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_656_M;Please,[w:0.3] do not go digging up my bones!;拜託，[w:0.3] 別挖出我的屍骨！
GBC_NPC_GHOULSAWYERGAINPIECE_656_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_M;Do not sniff or snarl!;不要低吼或亂聞！
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_M;Please,[w:0.3] do not bark or beg!;拜託，[w:0.3] 不要吠叫或乞求！
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_M;The middle stone marks my grave.;中間的石頭就是我的墳。
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_F;;
GBC_NPC_GHOULSAWYERVICTORY_750_M;It is over.[w:0.3] You chewed me out.;結束了。[w:0.3] 你把我啃個乾淨。
GBC_NPC_GHOULSAWYERVICTORY_750_F;;
GBC_NPC_GHOULSAWYERVICTORY_015_M;Now,[w:0.3] please,[w:0.3] look away!;現在，[w:0.3] 拜託，[w:0.3] 別看我！
GBC_NPC_GHOULSAWYERVICTORY_015_F;;
GBC_NPC_GHOULSAWYERVICTORY_331_M;Turn your eyes to this card pack instead.;轉過去看這卡包吧。
GBC_NPC_GHOULSAWYERVICTORY_331_F;;
GBC_NPC_GHOULSAWYERDEFEAT_291_M;Oh dear.[w:0.3] Does this mean you will try again?;喔天啊。[w:0.3] 這代表你還要再試一次？
GBC_NPC_GHOULSAWYERDEFEAT_291_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_M;Agony![w:0.3] Please leave me be.;真痛苦！[w:0.3] 拜託別管我。
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_M;No...[w:0.3] Not again...;不…[w:0.3] 別又來了…
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_M;Avert your eyes!;移開你的視線！
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_F;;
GBC_NPC_GBCTRADERINTRO_881_M;You wish to trade?;你想要交易？
GBC_NPC_GBCTRADERINTRO_881_F;;
GBC_NPC_GRIMORATEMPLEINTRO_820_M;!DELETED!;[t:3]你[w:0.2] 到了！[w:0.3][t:0] 真是太棒了！[w:0.3] 我興奮地[t:0.2][shake:0.5][t:3] 嗡嗡叫[w:0.2]。
GBC_NPC_GRIMORATEMPLEINTRO_820_F;;
GBC_NPC_GRIMORATEMPLEINTRO_811_M;!DELETED!;[t:3]我叫葛麗摩菈[w:0.3][t:0] 亡靈占卜者。
GBC_NPC_GRIMORATEMPLEINTRO_811_F;;
GBC_NPC_GRIMORATEMPLEINTRO_409_M;[t:3]If you wish to test your skills against me,[w:0.5][t:0][e:Anger] you must first prove your wits.[w:0.2].[w:0.2].[w:0.2];[t:3]如果你想和我對戰測試技巧，[w:0.5][t:0][e:Anger] 就必須先證明你的聰慧。[w:0.2].[w:0.2].[w:0.2]
GBC_NPC_GRIMORATEMPLEINTRO_409_F;;
GBC_NPC_GRIMORATEMPLEINTRO_081_M;[t:3]You must discern which tomb marks the final resting places of[w:0.2] my[w:0.2][shake:0.5][t:20] lovely[w:0.2][t:2] Ghouls.;[t:3]你必須分辨哪座墳墓標示著[w:0.2] 我[w:0.2][shake:0.5][t:20] 可愛[w:0.2][t:2] 食屍鬼的安息之處。
GBC_NPC_GRIMORATEMPLEINTRO_081_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_429_M;[t:3]Marvelous![w:0.4] I believe you have proven your wits adequately.;[t:3]太棒了！[w:0.4] 我相信你已經充分證明了自己的聰慧。
GBC_NPC_GRIMORAPUZZLESOLVED_429_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_676_M;Are you prepared?;你準備好了？
GBC_NPC_GRIMORAPUZZLESOLVED_676_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_157_M;[t:12][e:Anger]You will not defeat me.;[t:12][e:Anger]你無法擊敗我。
GBC_NPC_GRIMORAPUZZLESOLVED_157_F;;
_OPPONENTSURRENDER_449_M;I see the way this is going.;我知道情況會變成怎樣。
_OPPONENTSURRENDER_449_F;;
_OPPONENTSURRENDER_439_M;I concede.;我承認。
_OPPONENTSURRENDER_439_F;;
_OPPONENTSURRENDER_031_M;You may accept my surrender...;你可以接受我的投降。
_OPPONENTSURRENDER_031_F;;
_OPPONENTSURRENDER_877_M;...or you may finish this match the slow way.;…或者用慢吞吞的方式結束這場比賽。
_OPPONENTSURRENDER_877_F;;
_OPPONENTSURRENDER_REPEAT_#1_853_M;You have me here. I surrender.;你贏了。我投降。
_OPPONENTSURRENDER_REPEAT_#1_853_F;;
_OPPONENTSURRENDER_REPEAT_#3_923_M;Yes. I think you've got me this time.;沒錯。我想這次你贏了。
_OPPONENTSURRENDER_REPEAT_#3_923_F;;
_OPPONENTSURRENDER_REPEAT_#4_247_M;Scoop.;精彩。
_OPPONENTSURRENDER_REPEAT_#4_247_F;;
_OPPONENTSURRENDER_REPEAT_#5_710_M;I'll surrender.;我投降。
_OPPONENTSURRENDER_REPEAT_#5_710_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_M;I- I think this could get messy.;我- 我認為這會變得一團亂。
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_087_M;[size:3]Look away.[size:];[size:3]轉過去。[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_087_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_016_M;Y- you may want to...;你- 你或許想要…
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_016_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_862_M;[size:3]Avert your eyes.[size:];[size:3]移開視線。[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#1_862_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_602_M;Y- you should...;你- 你應該…
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_602_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_474_M;[size:3]You don't want to see this.[size:];[size:3]你不會想要看這個的。[size:]
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#2_474_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#3_490_M;This procedure... it is grisly?;這程序...很可怕嗎？
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_REPEAT_#3_490_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_542_M;Th- the [c:bR][v:0][c:]... it is now one?;這- 這 [c:bR][v:0][c:]…現在合而為一？
SPECIAL_NODES_DUPLICATEMERGERESULT_542_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#1_082_M;Y- you now have but one [c:bR][v:0][c:]... It is stronger?;你- 你現在有一隻 [c:bR][v:0][c:]…它更強？
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#1_082_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#2_701_M;Th- the operation. It is complete?;這- 這程序。完成了？
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#2_701_F;;
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#3_106_M;Wh- what have we done?;我們做- 做了什麼？
SPECIAL_NODES_DUPLICATEMERGERESULT_REPEAT_#3_106_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_015_M;O- oh dear... Y- you don't...;喔- 喔天啊…你- 你不…
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_015_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_258_M;[size:3]You have no duplicate cards.[size:];[size:3]你沒有重複的卡片。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_258_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_842_M;T- take one of ours?;拿- 拿一張我們的？
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_842_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_770_M;[size:3]We will use it next time.[size:];[size:3]我們下次會用它。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_770_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_527_M;O- oh. Hm. Oh.;喔- 喔。嗯。喔。
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_527_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_456_M;[size:3]Your cards are all distinct. No pairs.[size:];[size:3]你的卡片都是單張。沒有成對的。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#1_456_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_168_M;N- no pairs. C- can they take...;不- 不成對。可- 可以拿它們…
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_168_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_555_M;[size:3]You will take one of our creatures.[size:];[size:3]你能選一張我們的生物。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#2_555_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_159_M;Hm. Oh. Hm.;嗯。喔。嗯。
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_159_F;;
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_995_M;[size:3]You will take a creature from us.[size:];[size:3]你可以從我們這邊拿隻生物。[size:]
SPECIAL_NODES_DUPLICATEMERGENOPAIRS_REPEAT_#3_995_F;;
GBC_NPC_WIZARDGREENGREETING_977_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] The pain is unbearable![w:0.3] M-[w:0.2] my organs are melting!;[c:R][shake:1]啊啊啊！[w:0.4][t:0][c:] 這痛苦難以承受！[w:0.3] 我M-[w:0.2] 我的內臟在融化！
GBC_NPC_WIZARDGREENGREETING_977_F;;
GBC_NPC_WIZARDGREENGREETING_087_M;Do you see?[w:0.3] Magnificus turned me into... [c:R][shake:1]Rrrggh![w:0.4][t:0][c:] ...Goo[w:0.3] for my final exam.;看見沒？[w:0.3] 麥尼菲庫斯把我變成… [c:R][shake:1]啊啊啊！[w:0.4][t:0][c:]…黏液[w:0.3] 是我的最終考驗。
GBC_NPC_WIZARDGREENGREETING_087_F;;
GBC_NPC_WIZARDGREENGREETING_940_M;I just need to defeat one more challenger.[w:0.3] Then...[w:0.5] then[w:0.2] I will earn my [shake:0.6]rightful[w:0.2][shake:0.6] place!;我只要再擊敗一名挑戰者。[w:0.3] 然後…[w:0.5] 然後[w:0.2] 我就能贏得 [shake:0.6]應有的[w:0.2][shake:0.6] 地位！
GBC_NPC_WIZARDGREENGREETING_940_F;;
GBC_NPC_WIZARDGREENGREETING_449_M;My rightful place in the deck of[w:0.2][shake:0.6] The Master![w:0.3] As one of his prized cards.;我在[w:0.2][shake:0.6] 大師[w:0.3] 牌組中應有的地位！成為他珍貴的卡片之一。
GBC_NPC_WIZARDGREENGREETING_449_F;;
GBC_NPC_WIZARDGREENGREETING_562_M;[c:R][shake:1]Argh![w:0.4][t:0][c:] Nothing will stop me.;[c:R][shake:1]啊啊！[w:0.4][t:0][c:] 沒什麼可以阻止我。
GBC_NPC_WIZARDGREENGREETING_562_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_830_M;Wh-[w:0.2] what are you doing?;做-[w:0.2] 你在做什麼？
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_830_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_791_M;I passed my final exam.[w:0.3] We're-[w:0.2] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] We're done.;我通過了最終考驗。[w:0.3] 我們-[w:0.2] [c:R][shake:1]啊啊啊！[w:0.4][t:0][c:] 我們完成了。
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_791_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_508_M;Please.[w:0.3] Please not again!;拜託。[w:0.3] 拜託別再來了！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#1_508_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#2_285_M;Please.[w:0.3] Have mercy!;拜託。[w:0.3] 大發慈悲！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#2_285_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#3_401_M;No![w:0.3] Not another!;不！[w:0.3] 別又來了！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#3_401_F;;
GBC_NPC_WIZARDGREENGREETING_REPEAT_#4_525_M;Please.[w:0.3] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Have mercy!;拜託。[w:0.3] [c:R][shake:1]啊啊啊！[w:0.4][t:0][c:] 大發慈悲！
GBC_NPC_WIZARDGREENGREETING_REPEAT_#4_525_F;;
GBC_NPC_WIZARDGREENDEFEAT_832_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Yes.[w:0.4] It was all worth it.;[c:R][shake:1]啊啊啊！[w:0.4][t:0][c:] 沒錯。[w:0.4] 一切都值得。
GBC_NPC_WIZARDGREENDEFEAT_832_F;;
GBC_NPC_WIZARDGREENDEFEAT_434_M;Please.[w:0.3] Report my victory to The Master.[w:0.3] Quickly if possible.;拜託。[w:0.3] 向大師回報我的勝利。[w:0.3] 盡可能快點。
GBC_NPC_WIZARDGREENDEFEAT_434_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_197_M;Yes.[w:0.3] I passed again.;沒錯。[w:0.3] 我再度通過了。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_197_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_553_M;Please.[w:0.3] [c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Report my victory to Magnificus.[w:0.3];拜託。[w:0.3] [c:R][shake:1]啊啊啊！[w:0.4][t:0][c:] 向麥尼菲庫斯回報我的勝利。[w:0.3]
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#1_553_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_758_M;It's almost over.;就快結束了。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_758_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_744_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:];[c:R][shake:1]啊啊啊！[w:0.4][t:0][c:]
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#2_744_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_755_M;It's been a few times now.;已經好幾次了。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_755_F;;
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_908_M;[c:R][shake:1]Arrrrghh![w:0.4][t:0][c:] Report my victory to Magnificus![w:0.3] I beg you.;[c:R][shake:1]啊啊啊！[w:0.4][t:0][c:] 向麥尼菲庫斯回報我的勝利！[w:0.3] 我求求你。
GBC_NPC_WIZARDGREENDEFEAT_REPEAT_#3_908_F;;
GBC_NPC_WIZARDGREENVICTORY_391_M;No...[w:0.3] Please.;不…[w:0.3] 拜託。
GBC_NPC_WIZARDGREENVICTORY_391_F;;
GBC_NPC_WIZARDGREENVICTORY_914_M;Please.[w:0.3] Just tell The Master I passed![w:0.3] He won't know the difference.;拜託。[w:0.3] 告訴大師我通過考驗了！[w:0.3] 他不會知道實際情況的。
GBC_NPC_WIZARDGREENVICTORY_914_F;;
GBC_NPC_WIZARDGREENVICTORY_000_M;Here,[w:0.3] take this pack!;來，[w:0.3] 收下這卡包！
GBC_NPC_WIZARDGREENVICTORY_000_F;;
GBC_NPC_WIZARDGREENOPENDOOR_954_M;Here, I can open the door for you.[w:0.4] [c:R][shake:1]Rrrggh![t:0];來，我可以幫你開門。[w:0.4] [c:R][shake:1]啊啊啊！[t:0]
GBC_NPC_WIZARDGREENOPENDOOR_954_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_211_M;You may only draw a card at the beginning of your turn.;你只能在你的回合開始時抽一張卡片。
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_211_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#1_307_M;One card per turn. Don't be greedy.;每回合一張卡，別貪心。
GAMEPLAY_HINTS_HINT_DRAWDURINGTURN_REPEAT_#1_307_F;;
