Column1;Column10;ITA 
GBC_NPC_SMELTERVICTORY_379_F;;
GBC_NPC_DREDGERGREETING_650_M;Oy,[w:0.3] mate.[w:0.3] I know what yer 'ere for.;Ehi,[w:0.3] compare.[w:0.3] So perché sei qui.
GBC_NPC_DREDGERGREETING_650_F;Oy,[w:0.3] mate.[w:0.3] I know what yer 'ere for.;Ehi,[w:0.3] compagna.[w:0.3] So perché sei qui.
GBC_NPC_DREDGERGREETING_162_M;Yer askin' me to take a dive.[w:0.3];Vuoi chiedermi di saltare sulla linea.[w:0.3]
GBC_NPC_DREDGERGREETING_162_F;;
GBC_NPC_DREDGERGREETING_993_M;But I can't accommodate ye, mate.[w:0.3];Però non posso acconsentire, compare.[w:0.3]
GBC_NPC_DREDGERGREETING_993_F;But I can't accommodate ye, mate.[w:0.3];Però non posso acconsentire, compagna.[w:0.3]
GBC_NPC_DREDGERGREETING_481_M;Got special orders,[w:0.3] innit?[w:0.3] Lookin' to dredge somefin' special.;Hai ordini speciali,[w:0.3] eh?[w:0.3] Vuoi dragare qualcosa di speciale.
GBC_NPC_DREDGERGREETING_481_F;;
GBC_NPC_DREDGERGREETING_785_M;We can duel.[w:0.3] Aye.[w:0.3] Maybe even give ye somefin' if ye win.;Possiamo duellare.[w:0.3] Sicuro.[w:0.3] Potrei pure darti qualcosa se vinci.
GBC_NPC_DREDGERGREETING_785_F;;
GBC_NPC_DREDGERGREETING_706_M;But I can't be takin' a dive.[w:0.3] P03 will unnerstan'.;Però non posso saltare sulla catena di montaggio.[w:0.3] P03 capirà.
GBC_NPC_DREDGERGREETING_706_F;;
GBC_NPC_DREDGERGREETING_REPEAT_#1_168_M;Oy,[w:0.3] ye wan't a rematch?;Ohi,[w:0.3] vuoi una rivincita?
GBC_NPC_DREDGERGREETING_REPEAT_#1_168_F;;
GBC_NPC_DREDGERGREETING_REPEAT_#1_213_M;I unnerstan'.;Capisco.
GBC_NPC_DREDGERGREETING_REPEAT_#1_213_F;;
GBC_NPC_DREDGERGREETING_REPEAT_#2_016_M;Yer not thinkin' ye can get me to jump?;Non crederai mica di riuscire a farmi saltare là sopra?
GBC_NPC_DREDGERGREETING_REPEAT_#2_016_F;;
GBC_NPC_DREDGERGREETING_REPEAT_#2_467_M;Nofin' you say or do can change me mind.;Non puoi dire o fare nulla che mi faccia cambiare idea.
GBC_NPC_DREDGERGREETING_REPEAT_#2_467_F;;
GBC_NPC_DREDGERDEFEAT_891_M;Right,[w:0.3] right.[w:0.3] Off with ye now.;D'accordo,[w:0.3] d'accordo.[w:0.3] Ora vai.
GBC_NPC_DREDGERDEFEAT_891_F;;
GBC_NPC_DREDGERDEFEAT_REPEAT_#1_522_M;Off with ye now.;Adesso vattene.
GBC_NPC_DREDGERDEFEAT_REPEAT_#1_522_F;;
GBC_NPC_DREDGERDEFEAT_REPEAT_#2_644_M;Enough of this now,[w:0.3] mate.;Adesso basta,[w:0.3] compare.
GBC_NPC_DREDGERDEFEAT_REPEAT_#2_644_F;Enough of this now,[w:0.3] mate.;Adesso basta,[w:0.3] compagna.
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_460_M;Lotta distractions,[w:0.3] eh mate?;Hai un sacco di distrazioni,[w:0.3] eh, compare?
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_460_F;Lotta distractions,[w:0.3] eh mate?;Hai un sacco di distrazioni,[w:0.3] eh, compagna?
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_688_M;Nofin' against yer deck but,[w:0.3] might not be up to the task.;Non ho nulla contro il tuo mazzo, ma,[w:0.3] potrebbe non essere all'altezza.
GBC_NPC_DREDGERDEFEAT_REPEAT_#3_688_F;;
GBC_NPC_DREDGERVICTORY_108_M;'ere.[w:0.3] Take yer pack.;Ecco.[w:0.3] Tieni il tuo pacchetto.
GBC_NPC_DREDGERVICTORY_108_F;;
GBC_NPC_DREDGERVICTORY_REPEAT_#2_709_M;Still somefin' yer after?[w:0.3] I gave ye yer pack.;Cerchi dell'altro?[w:0.3] Te l'ho dato il tuo pacchetto.
GBC_NPC_DREDGERVICTORY_REPEAT_#2_709_F;;
GBC_NPC_DREDGERVICTORY_REPEAT_#3_843_M;Geroff.;Vattene.
GBC_NPC_DREDGERVICTORY_REPEAT_#3_843_F;;
GBC_NPC_P03GBCGREETING_080_M;The bots haven't gotten much better...[w:0.3] But you battled all of my workers?[w:0.3] And you actually won?;I robot non sono migliorati granché...[w:0.3] Però hai affrontato tutti i miei operai?[w:0.3] E hai pure vinto?
GBC_NPC_P03GBCGREETING_080_F;;
GBC_NPC_P03GBCGREETING_523_M;Gimme that deck again.;Ridammi quel mazzo.
GBC_NPC_P03GBCGREETING_523_F;;
GBC_NPC_P03GBCGREETING_412_M;Wow...[w:0.3] you beat them with[w:0.4] that?[w:0.3] Alright.;Wow...[w:0.3] li hai battuti con[w:0.4] quello?[w:0.3] D'accordo.
GBC_NPC_P03GBCGREETING_412_F;;
GBC_NPC_P03GBCGREETING_478_M;Maybe there are some synergies that I missed.[w:0.3] Let's go then.;Forse ci sono sinergie che non ho notato.[w:0.3] Forza, dunque.
GBC_NPC_P03GBCGREETING_478_F;;
GBC_NPC_P03GBCGREETING_REPEAT_#1_969_M;The old Dredger wouldn't hop on the line?;Il vecchio Draghista non ha voluto saltare sulla catena?
GBC_NPC_P03GBCGREETING_REPEAT_#1_969_F;;
GBC_NPC_P03GBCGREETING_REPEAT_#1_169_M;[shake:0.8][e:Quiet]Do not worry. That is acceptable.;[shake:0.8][e:Quiet]Non temere. È accettabile.
GBC_NPC_P03GBCGREETING_REPEAT_#1_169_F;;
GBC_NPC_P03GBCGREETING_REPEAT_#1_840_M;Another battle?;Un'altra battaglia?
GBC_NPC_P03GBCGREETING_REPEAT_#1_840_F;;
GBC_NPC_P03GBCGREETING_REPEAT_#2_257_M;Again?;Di nuovo?
GBC_NPC_P03GBCGREETING_REPEAT_#2_257_F;;
GBC_NPC_P03GBCDEFEAT_243_M;You opened the crates around the temple right?;Hai aperto le casse in giro per il tempio, giusto?
GBC_NPC_P03GBCDEFEAT_243_F;;
GBC_NPC_P03GBCDEFEAT_739_M;You need better cards.;Ti servono carte migliori.
GBC_NPC_P03GBCDEFEAT_739_F;;
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_270_M;A bad deck[w:0.3] with a bad pilot.;Un pessimo mazzo[w:0.3] per un pessimo giocatore.
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_270_F;;
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_655_M;You don't expect to win that way,[w:0.3] do you?;Non ti aspetti di vincere in quel modo,[w:0.3] vero?
GBC_NPC_P03GBCDEFEAT_REPEAT_#1_655_F;;
GBC_NPC_P03GBCDEFEAT_REPEAT_#2_738_M;You made a huge misplay on turn 2 that cost you the game.;Hai fatto una gran brutta giocata nel 2° turno e ti è costata la partita.
GBC_NPC_P03GBCDEFEAT_REPEAT_#2_738_F;;
GBC_NPC_P03GBCDEFEAT_REPEAT_#3_593_M;I think it's your poor resource economy that's killing you.;Penso sia la tua scarsa economia di risorse a ucciderti.
GBC_NPC_P03GBCDEFEAT_REPEAT_#3_593_F;;
GBC_NPC_P03GBCDEFEAT_REPEAT_#4_023_M;Just...[w:0.3] get better cards.;Senti...[w:0.3] procurati delle carte migliori.
GBC_NPC_P03GBCDEFEAT_REPEAT_#4_023_F;;
GBC_BATTLE_DREDGERSURRENDER_830_M;Know what,[w:0.3] mate,[w:0.3] can't take me eyes off me work 'ere.;Sai cosa,[w:0.3] compare[w:0.3]? Non posso alzare gli occhi dal mio lavoro.
GBC_BATTLE_DREDGERSURRENDER_830_F;Know what,[w:0.3] mate,[w:0.3] can't take me eyes off me work 'ere.;Sai cosa,[w:0.3] compagna[w:0.3]? Non posso alzare gli occhi dal mio lavoro.
GBC_BATTLE_DREDGERSURRENDER_939_M;I'll give ye this 'un.;Tieni.
GBC_BATTLE_DREDGERSURRENDER_939_F;;
GBC_NPC_DREDGERVICTORY2_701_M;Now off with ye.[w:0.2] I need'a concentrate.;Ora sparisci.[w:0.2] Ho bisogno di concentrarmi.
GBC_NPC_DREDGERVICTORY2_701_F;;
GBC_NPC_DREDGERVICTORY2_982_M;[c:R][shake:1]OY![w:1][c:][w:0.3] is that[w:0.3]...?;[c:R][shake:1]OH![w:1][c:][w:0.3] Quello è[w:0.3]...?
GBC_NPC_DREDGERVICTORY2_982_F;;
GBC_NPC_DREDGERVICTORY2_192_M;[c:F][t:1]P03's gonna reward me BIG for this 'un.;[c:F][t:1]P03 mi darà una GROSSA ricompensa.
GBC_NPC_DREDGERVICTORY2_192_F;;
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_746_M;Oh.[w:0.4] Scanner's online.[w:0.4] Which card to scan...;Oh.[w:0.4] Lo scanner è attivo.[w:0.4] Quale carta scansionare...
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_746_F;;
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_915_M;[t:1]Just kidding.[w:0.3][t:5] Obviously the one with the best stats.;[t:1]Scherzo.[w:0.3][t:5] Ovviamente quella con le migliori statistiche.
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_915_F;;
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#1_741_M;Scanning time.[w:0.4] Show me your biggest creature.;È ora di scansionare.[w:0.4] Mostrami la tua creatura più grossa.
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#1_741_F;;
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#2_082_M;Scanner's online.[w:0.3] Let's see...[w:0.3] what has the best stats.;Scanner attivo.[w:0.3] Vediamo...[w:0.3] quale ha le statistiche migliori.
GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#2_082_F;;
GBC_BATTLE_P03BOSSSCAN1_088_M;The stat line could be better.;Il set di statistiche potrebbe essere migliore.
GBC_BATTLE_P03BOSSSCAN1_088_F;;
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#1_305_M;Looks like this is the one...;Direi che è questa...
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#1_305_F;;
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#2_013_M;Not too bad of a stat line I suppose.;Come statistiche non è malaccio, dai.
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#2_013_F;;
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#3_551_M;I hoped you would have played something better...;Speravo avresti giocato qualcosa di meglio...
GBC_BATTLE_P03BOSSSCAN1_REPEAT_#3_551_F;;
GBC_BATTLE_P03BOSSSCAN2_472_M;Your move.;Sta a te.
GBC_BATTLE_P03BOSSSCAN2_472_F;;
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#1_303_M;This could work.;Potrebbe funzionare.
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#1_303_F;;
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#2_238_M;Your go.;Tocca a te.
GBC_BATTLE_P03BOSSSCAN2_REPEAT_#2_238_F;;
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_177_M;[t:1]Oh.[w:0.3] [t:5]You've only given me one choice...;[t:1]Oh.[w:0.3] [t:5]Mi hai dato una sola opzione...
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_177_F;;
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#1_164_M;Oh.[w:0.3] There's[w:0.3] just one...;Oh.[w:0.3] Ce n'è[w:0.3] una sola...
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#1_164_F;;
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_769_M;Scanner's online.[w:0.3] What have we got here?;Scanner attivo.[w:0.3] Cosa abbiamo qui?
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_769_F;;
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_365_M;You only left me one thing to scan?;Me ne hai lasciata sola una da scansionare?
GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_365_F;;
GBC_BATTLE_P03BOSSSCANNONE_451_M;Wow.;Wow.
GBC_BATTLE_P03BOSSSCANNONE_451_F;;
GBC_BATTLE_P03BOSSSCANNONE_149_M;You've left me nothing to scan whatsoever.;Non mi hai lasciato proprio nulla da scansionare.
GBC_BATTLE_P03BOSSSCANNONE_149_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_576_M;Oh...[w:0.3] Something's wrong.;Oh...[w:0.3] C'è qualcosa che non va.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_576_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_932_M;It's your deck.[w:0.3] Or,[w:0.3] rather,[w:0.3] your lack of a valid one.;È il tuo mazzo.[w:0.3] O,[w:0.3] piuttosto,[w:0.3] il fatto che non ne hai uno valido.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_932_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_305_M;You've got 20 cards in it,[w:0.3] right?;Ci sono 20 carte dentro,[w:0.3] giusto?
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_305_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_673_M;Hmm.[w:0.3] Your deck isn't right.;Mmh.[w:0.3] Il tuo mazzo non va bene.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_673_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_499_M;You did add enough cards to it,[w:0.3] right?;Ci hai aggiunto carte a sufficienza,[w:0.3] giusto?
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_499_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_177_M;20 should do.;20 dovrebbero bastare.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_177_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_285_M;You...[w:0.3] don't have enough cards in your deck.;Non...[w:0.3] hai abbastanza carte nel mazzo.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_285_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_323_M;You need 20.;Te ne servono 20.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_323_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_786_M;Oh.[w:0.3] Looks like we can't battle now.;Oh.[w:0.3] Sembra che ora possiamo scontrarci.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_786_F;;
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_895_M;You're going to need to get that deck fixed.;Dovrai mettere a posto quel mazzo.
GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_895_F;;
GBC_NPC_GHOULROYALINVALIDDECK_488_M;Arrr..[w:0.3] Something be wrong.;Arrr...[w:0.3] Qualcosa non torna.
GBC_NPC_GHOULROYALINVALIDDECK_488_F;;
GBC_NPC_GHOULROYALINVALIDDECK_133_M;Yer deck.[w:0.3] T'ain't right.;Il tuo mazzo.[w:0.3] Non va bene.
GBC_NPC_GHOULROYALINVALIDDECK_133_F;;
GBC_NPC_GHOULROYALINVALIDDECK_148_M;Return when ye've got 20 cards in it.;Torna quando avrai 20 carte.
GBC_NPC_GHOULROYALINVALIDDECK_148_F;;
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_116_M;Hark![w:0.3] Yer deck again.;Udite![w:0.3] Di nuovo il tuo mazzo.
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_116_F;;
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_891_M;Ye did add cards to it,[w:0.3] aye?;Hai aggiunto delle carte,[w:0.3] bucaniere?
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_891_F;;
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_368_M;20 er so?;20 o altre?
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_368_F;;
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#2_101_M;Hark...[w:0.3] Ye don't have enough cards in yer deck.;Udite, udite...[w:0.3] Non hai abbastanza carte in quel tuo mazzo.
GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#2_101_F;;
GBC_NPC_ANGLERNPCINVALIDDECK_712_M;Deck bad.;Mazzo brutto.
GBC_NPC_ANGLERNPCINVALIDDECK_712_F;;
GBC_NPC_ANGLERNPCINVALIDDECK_742_M;Need cards.[w:0.3] 20.;Servono carte.[w:0.3] 20.
GBC_NPC_ANGLERNPCINVALIDDECK_742_F;;
GBC_NPC_PROSPECTORNPCINVALIDDECK_890_M;Well darn it all.[w:0.3] Yer deck ain't right!;Sia dannato il mondo.[w:0.3] Il tuo mazzo non va bene!
GBC_NPC_PROSPECTORNPCINVALIDDECK_890_F;;
GBC_NPC_PROSPECTORNPCINVALIDDECK_467_M;Git ye at least 20 cards 'n it!;Mettici almeno 20 carte!
GBC_NPC_PROSPECTORNPCINVALIDDECK_467_F;;
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_133_M;Dag nab it.[w:0.3] Yer deck still ain't right.;Corbezzoli.[w:0.3] Il tuo mazzo ancora non va bene.
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_133_F;;
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_006_M;At least 20 cards 'n it.[w:0.3] That oughtta do...;Ti servono almeno 20 carte.[w:0.3] Dovrebbero bastare...
GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_006_F;;
GBC_NPC_TRAPPERNPCINVALIDDECK_115_M;Your deck doesn't have enough cards.[w:0.3] A shame,[w:0.1] that.;Il tuo mazzo non ha abbastanza carte.[w:0.3] Un peccato,[w:0.1] davvero.
GBC_NPC_TRAPPERNPCINVALIDDECK_115_F;;
GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#1_472_M;Your deck...[w:0.3] it needs at least 20 cards.;Il tuo mazzo...[w:0.3] gli servono almeno 20 carte.
GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#1_472_F;;
GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#2_496_M;Fix your deck up.;Sistema il tuo mazzo.
GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#2_496_F;;
GBC_NPC_WIZARDBLUEINVALIDDECK_513_M;[t:1]Oh no.[w:0.3] [c:R][w:1][shake:1]N[w:0.3][shake:1]O[w:0.3][shake:1]O[w:0.3][shake:1]O![w:0.4][t:0][c:];[t:1]Oh, no.[w:0.3] [c:R][w:1][shake:1]N[w:0.3][shake:1]O[w:0.3][shake:1]O[w:0.3][shake:1]O![w:0.4][t:0][c:]
GBC_NPC_WIZARDBLUEINVALIDDECK_513_F;;
GBC_NPC_WIZARDBLUEINVALIDDECK_429_M;[t:1]Your deck is invalid.;[t:1]Il tuo mazzo non è valido.
GBC_NPC_WIZARDBLUEINVALIDDECK_429_F;;
GBC_NPC_WIZARDBLUEINVALIDDECK_167_M;[t:1]You don't have enough cards in it.;[t:1]Non contiene abbastanza carte.
GBC_NPC_WIZARDBLUEINVALIDDECK_167_F;;
GBC_NPC_WIZARDBLUEINVALIDDECK_095_M;[t:1]Please.[w:0.3] Rectify this!;[t:1]Per favore.[w:0.3] Rimedia!
GBC_NPC_WIZARDBLUEINVALIDDECK_095_F;;
GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_588_M;[t:1]You don't have enough cards in your deck.;[t:1]Non hai abbastanza carte nel mazzo.
GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_588_F;;
GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_921_M;[t:1]Please.[w:0.3] Please.[w:0.3] Rectify this!;[t:1]Per favore.[w:0.3] Per favore.[w:0.3] Rimedia!
GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_921_F;;
GBC_NPC_DUMMYNPCINVALIDDECK_261_M;Somehow, in its lifelessness, the dummy looks disappointed.;In qualche modo, nella sua assenza di vita, il manichino sembra deluso.
GBC_NPC_DUMMYNPCINVALIDDECK_261_F;;
GBC_NPC_DUMMYNPCINVALIDDECK_035_M;You don't have enough cards in your deck.;Non hai abbastanza carte nel mazzo.
GBC_NPC_DUMMYNPCINVALIDDECK_035_F;;
GBC_NPC_DREDGERINVALIDDECK_539_M;Somefin' wrong with yer deck, mate.;Qualcosa non va col tuo mazzo, compare.
GBC_NPC_DREDGERINVALIDDECK_539_F;Somefin' wrong with yer deck, mate.;Qualcosa non va col tuo mazzo, compagna.
GBC_NPC_DREDGERINVALIDDECK_453_M;Lackin' a few cards by the look of 'er.;A guardarlo si direbbe gli manchi qualche carta.
GBC_NPC_DREDGERINVALIDDECK_453_F;;
GBC_NPC_DREDGERINVALIDDECK_REPEAT_#1_069_M;Lackin' a few cards in yer deck, mate.;Manca qualche carta al tuo mazzo, compare.
GBC_NPC_DREDGERINVALIDDECK_REPEAT_#1_069_F;Lackin' a few cards in yer deck, mate.;Manca qualche carta al tuo mazzo, compagna.
GBC_NPC_DREDGERINVALIDDECK_REPEAT_#1_720_M;I don' 'ave time fer this, mate.;Non ho tempo per queste cose, compare.
GBC_NPC_DREDGERINVALIDDECK_REPEAT_#1_720_F;I don' 'ave time fer this, mate.;Non ho tempo per queste cose, compagna.
GBC_NPC_LESHYGBCVICTORY_674_M;[c:F]You had triumphed.[w:0.3] Narrowly avoiding tooth and claw,[w:0.2] the [c:R]Scrybe of Beasts[c:F] was defeated[w:0.2].[w:0.2].[w:0.2].;[c:F]Hai trionfato.[w:0.3] Lottando con le unghie e con i denti come un animale,[w:0.2] lo [c:R]Scriba delle Bestie[c:F] è stato sconfitto.[w:0.2].[w:0.2].[w:0.2].
GBC_NPC_LESHYGBCVICTORY_674_F;;
GBC_NPC_LESHYGBCVICTORY_931_M;[shake:0.7]That you were able to defeat me beggars belief.[w:0.2] But now I must yield to you.;[shake:0.7]Che tu sia riuscito a sconfiggermi è inconcepibile.[w:0.2] Ma ora devo arrendermi.
GBC_NPC_LESHYGBCVICTORY_931_F;;
GBC_NPC_LESHYGBCVICTORY_429_M;My only regret is that our battle was so brief.[w:0.2] Surely the summit of victory is made sweeter by a more arduous ascent.;Rimpiango che il nostro scontro sia stato breve.[w:0.2] Una scalata ardua rende dolce raggiungere la vetta della vittoria.
GBC_NPC_LESHYGBCVICTORY_429_F;;
GBC_NPC_LESHYGBCVICTORY_REPEAT_#1_990_M;The [c:R]Scrybe of Beasts[c:F] was defeated[w:0.2].[w:0.2].[w:0.2].;Lo [c:R]Scriba delle Bestie[c:F] è stato sconfitto[w:0.2].[w:0.2].[w:0.2].
GBC_NPC_LESHYGBCVICTORY_REPEAT_#1_990_F;;
GBC_BATTLE_LESHYBOSSBATTLEDEFEATED_279_M;[c:F]The great Scrybe was...[w:0.3][c:] incredibly...[c:F][w:0.5] bested.;[c:F]Il grande Scriba è stato...[w:0.3][c:] incredibilmente...[c:F][w:0.5] battuto.
GBC_BATTLE_LESHYBOSSBATTLEDEFEATED_279_F;;
GBC_BATTLE_LESHYBOSSBATTLEDEFEATED_739_M;[c:F]Far away[w:0.3] a light[w:0.2] enveloped a long forgotten monument.;[c:F]In lontananza,[w:0.3] una luce[w:0.2] avvolgeva un monumento a lungo dimenticato.
GBC_BATTLE_LESHYBOSSBATTLEDEFEATED_739_F;;
GBC_BATTLE_P03BOSSBATTLEDEFEATED_466_M;[e:Anger]Pfft.[w:0.3] Nice luck you had.;[e:Anger]Pfff.[w:0.3] Che fortuna che hai avuto.
GBC_BATTLE_P03BOSSBATTLEDEFEATED_466_F;;
GBC_BATTLE_P03BOSSBATTLEDEFEATED_948_M;[e:Anger]I guess playing a perfect game is no match for good RNG.;[e:Anger]Immagino che giocare una partita perfetta non basti contro un RNG decente.
GBC_BATTLE_P03BOSSBATTLEDEFEATED_948_F;;
GBC_BATTLE_GRIMORABOSSBATTLEDEFEATED_163_M;[e:Quiet]Oh...[w:0.3] Oh dear.;[e:Quiet]Oh...[w:0.3] Oh, cielo.
GBC_BATTLE_GRIMORABOSSBATTLEDEFEATED_163_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_092_M;You see those conveyor belts?[w:0.3] Just like my factory.;Vedi quei nastri trasportatori?[w:0.3] Sono proprio come la mia fabbrica.
GBC_BATTLE_P03BOSSBATTLEINTRO_092_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_682_M;At the very least they ought to test your lane positioning.;Per lo meno dovrebbero mettere alla prova come posizioni le carte nelle corsie.
GBC_BATTLE_P03BOSSBATTLEINTRO_682_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#1_234_M;You go first.;A te la prima mossa.
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#1_234_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#2_588_M;You've got the play.;Inizia tu.
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#2_588_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#3_643_M;Ready?;Pronto?
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#3_643_F;Ready?;Pronta?
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_918_M;See how that works?[w:0.4] OK,[w:0.3] your turn.;Vedi come funziona?[w:0.4] OK,[w:0.3] è il tuo turno.
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_918_F;;
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_REPEAT_#1_710_M;I passed.[w:0.3] It's your turn.;Ho passato.[w:0.3] È il tuo turno.
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_REPEAT_#1_710_F;;
GBC_NPC_P03GBCVICTORY_880_M;[e:Anger]I guess you won.;[e:Anger]Immagino che tu abbia vinto.
GBC_NPC_P03GBCVICTORY_880_F;;
GBC_NPC_P03GBCVICTORY_391_M;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] The Dead?[w:0.3][c:] That naive spinster...[w:0.3] You ought to reconsider.;Ambisci a diventare [w:0.3][e:Anger][c:R]Scriba dei[w:0.3][shake:1] Morti?[w:0.3][c:] Quell'ingenua zitella...[w:0.3] Dovresti ripensarci.
GBC_NPC_P03GBCVICTORY_391_F;;
GBC_NPC_P03GBCVICTORY_783_M;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] Magicks?[w:0.3][c:] That old hack.[w:0.3] You ought to reconsider.;Ambisci a diventare [w:0.3][e:Anger][c:R]Scriba della[w:0.3][shake:1] Magia?[w:0.3][c:] Quel vecchio ronzino.[w:0.3] Dovresti ripensarci.
GBC_NPC_P03GBCVICTORY_783_F;;
GBC_NPC_P03GBCVICTORY_015_M;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] Beasts?[w:0.3][c:] That soft-minded stump?[w:0.3] You ought to reconsider.;Ambisci a diventare [w:0.3][e:Anger][c:R]Scriba delle[w:0.3][shake:1]Bestie?[w:0.3][c:] Quel ceppo bonaccione?[w:0.3] Dovresti ripensarci.
GBC_NPC_P03GBCVICTORY_015_F;;
GBC_NPC_P03GBCVICTORY_093_M;And you've even decided that I am the Scrybe you will defeat.;E hai pure deciso che sono io lo Scriba che sconfiggerai.
GBC_NPC_P03GBCVICTORY_093_F;;
