Column1;Column10;SP 
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_679_M;to that safe;para abrir esa caja fuerte
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_679_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_506_M;in the rulebook.[w:0.2];en el reglamento.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_506_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_155_M;We need to;Tenemos que
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_155_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_726_M;get things moving.[w:0.2];ponernos manos a la obra.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_726_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_045_M;The rulebook describes;El reglamento describe
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_045_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_069_M;all the different sigils.[w:0.2];todos los distintos sellos.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_069_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_874_M;There's gotta be a;¡Tiene que haber
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_874_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_425_M;passcode in it![w:0.2];un código escrito en él![w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_425_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_645_M;You're probably;Seguramente estarás
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_645_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_463_M;sick of hearing it...[w:0.2];harto de oírlo...[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_463_F;sick of hearing it...[w:0.2];harta de oírlo...[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_472_M;But come on!;Pero ¡venga!
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_472_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_382_M;Open up the book.[w:0.2];Abre el libro.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_382_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_815_M;Use the passcode;Usa el código
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_815_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_522_M;on the safe.[w:0.2];en la caja fuerte.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_522_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_683_M;We meet again.;Volvemos a encontrarnos.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_683_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#2_388_M;Carry on.;Continúa.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#2_388_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#3_266_M;Alas, we meet again.;Vaya, volvemos a encontrarnos.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#3_266_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#4_443_M;Hello again.;Hola otra vez.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#4_443_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_587_M;Here we are.;Aquí estamos.
TALKING_WOLF_DIALOGUE_WOLFPLAYED_587_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#1_912_M;Are you sure?;¿Estás seguro?
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#1_912_F;Are you sure?;¿Estás segura?
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#2_023_M;Use me wisely.;Úsame con inteligencia.
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#2_023_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#3_750_M;Alas!;¡En fin!
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#3_750_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#4_234_M;I must trust you.;Tengo que confiar en ti.
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#4_234_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_361_M;Oof.;Uf.
TALKING_WOLF_DIALOGUE_WOLFATTACKED_361_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#1_943_M;Careful now.;Ten cuidado.
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#1_943_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#2_966_M;Good lord!;¡Santo cielo!
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#2_966_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#3_716_M;Oof!;¡Uf!
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#3_716_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#4_977_M;Be careful!;¡Cuidado!
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#4_977_F;;
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_922_M;[t:5]Betrayal!;[t:5]¡Traición!
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_922_F;;
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#1_787_M;Farewell!;¡Adiós!
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#1_787_F;;
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#2_944_M;[t:5]Alas...;[t:5]En fin...
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#2_944_F;;
TALKING_CARDS_STOATSTINKBUGREUNITE_246;You again...[w:0.5];Otra vez tú...[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_644;[shake:0.5]Indeed![w:0.2];[shake:0.5]¡Pues sí![w:0.2]
TALKING_CARDS_STOATSTINKBUGREUNITE_536;Our friend freed me.[w:0.5];Nuestro amigo me ha liberado.[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_528;[shake:0.5]Well,[w:0.2] I basically told;[shake:0.5]Bueno,[w:0.2] básicamente le dije
TALKING_CARDS_STOATSTINKBUGREUNITE_528;them how to do it.[w:0.5];cómo tenía que hacerlo.[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_119;You got a plan?[w:0.5];¿Tienes un plan?[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_055;We have...[w:0.2];Tenemos...[w:0.2]
TALKING_CARDS_STOATSTINKBUGREUNITE_294;another friend here...[w:0.2];a otro amigo aquí...[w:0.2]
TALKING_CARDS_STOATSTINKBUGREUNITE_078;[anim:shock]You've got to be-;[anim:shock]Tienes que estar...
TALKING_CARDS_STOATSTINKBUGREUNITE_553;I wouldn't call him;Yo no lo llamaría
TALKING_CARDS_STOATSTINKBUGREUNITE_429;a friend.[w:0.3];un amigo.[w:0.3]
TALKING_CARDS_STOATSTINKBUGREUNITE_628;But[w:0.3] I suppose[w:0.3] we;Pero[w:0.3] supongo[w:0.3] que
TALKING_CARDS_STOATSTINKBUGREUNITE_535;are[w:0.1] in deep this time.[w:0.4];estamos[w:0.1] hasta el cuello esta vez.[w:0.4]
BOSS_DIALOGUE_LESHYBOSSMOON1_032_M;This damned moon...;Esta maldita luna...
BOSS_DIALOGUE_LESHYBOSSMOON1_032_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_397_M;It's dramatic, yes.;Es dramática, sí.
BOSS_DIALOGUE_LESHYBOSSMOON1_397_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_348_M;But it provides no [c:bR]value[c:] to my board.;Pero no añade [c:bR]valor[c:] a mi tablero.
BOSS_DIALOGUE_LESHYBOSSMOON1_348_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_720_M;I wonder...;Me pregunto si...
BOSS_DIALOGUE_LESHYBOSSMOON1_720_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#1_994_M;This ought to work again...;Esto tendría que volver a funcionar...
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#1_994_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#2_479_M;I still have a trick up my sleeve.;Aún me queda un as en la manga.
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#2_479_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#3_005_M;This moon is waning.;Esta luna está menguante.
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#3_005_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_733_M;Now [c:bR]that[c:] is value.;Eso [c:bR]sí[c:] que añade valor.
BOSS_DIALOGUE_LESHYBOSSMOON2_733_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#1_957_M;Oh yes. It still works just fine.;Ah, sí. Funciona perfectamente.
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#1_957_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#2_968_M;Will you dare attack [c:bR]the moon[c:]?;¿Te atreverás a atacar a [c:bR]la luna[c:]?
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#2_968_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#3_730_M;So much value...;Cuánto valor...
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#3_730_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_606_M;You capably endured the onslaught of [c:bR]rare creatures[c:]. ;Has resistido con destreza el ataque de [c:bR]criaturas raras[c:]. 
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_606_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_174_M;But the true challenge was forthcoming.;Pero el verdadero desafío estaba por llegar.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_174_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_651_M;Shadowy figures appeared before you.;Unas figuras sombrías aparecieron ante ti.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_651_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_825_M;In their eyes glimmered a recognition of kinship... but colored by guilt.;Sus ojos brillaban con un reconocimiento de parentesco..., pero coloreado por la culpa.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_825_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_074_M;They were betraying you.;Estaban traicionándote.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_074_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_450_M;The moon soaked forest bed gave rise to shadowy figures.;Del lecho del bosque, empapado de luna, surgieron figuras sombrías.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_450_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_774_M;Gasping for night air after their long and torturous slumber.;Aspiraban bocanadas del aire nocturno después de su sueño largo y torturado.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_774_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_686_M;After barely enduring the onslaught of [c:bR]rare creatures[c:], you shuddered.;Tras resistir apenas el ataque de [c:bR]criaturas raras[c:], te estremeciste.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_686_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_851_M;For you knew, somehow, that the worst was yet to come.;Pues de algún modo sabías que lo peor estaba por llegar.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_851_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_753_M;I remember that one fondly.;Esa la recuerdo con cariño.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_753_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_418_M;Ah yes.;Ah, sí.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_418_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_305_M;I remember that one.;Me acuerdo de esa.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_305_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_214_M;Magnificent [c:bR]Deathcards[c:].;Magníficas [c:bR]cartas de la muerte[c:].
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_214_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_084_M;Perhaps you will join them soon...;Tal vez te unas a ellas muy pronto...
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_084_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_300_M;You really destroyed the moon...;Desde luego, has destrozado la luna...
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_300_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_965_M;I suppose all that's left is to finish me off.;Supongo que solo queda acabar conmigo.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_965_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_557_M;Go on.;Adelante.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_557_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_230_M;You're not the first to triumph over the moon.;No eres el primero que vence a la luna.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_230_F;You're not the first to triumph over the moon.;No eres la primera que vence a la luna.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_726_M;But go on.;Pero adelante.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_726_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_883_M;Finish it.;Acaba con ella.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_883_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_104_M;Do you have any idea?;¿Tienes alguna idea?
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_104_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_308_M;The consequences of destroying an astral body?;¿Las consecuencias de destruir un cuerpo astral?
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_308_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_436_M;No. Of course not.;No. Claro que no.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_436_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_609_M;Finish this.;Acaba con esto.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_609_F;;
_FOUNDEXTRACANDLE_215_M;Your persistence is growing quite tiresome.;Tu persistencia se está volviendo tediosa.
_FOUNDEXTRACANDLE_215_F;;
_FOUNDEXTRACANDLE_155_M;Do you truly wish for your skill to be masked by this... cheat?;¿En serio quieres que tu habilidad se vea ensombrecida por esta... trampa?
_FOUNDEXTRACANDLE_155_F;;
_FOUNDEXTRACANDLE_543_M;How will I know if you are truly worthy?;¿Cómo sabré si eres digno de verdad?
_FOUNDEXTRACANDLE_543_F;How will I know if you are truly worthy?;¿Cómo sabré si eres digna de verdad?
_FOUNDBEEFIGURINE_947_M;What is this?;¿Qué es esto?
_FOUNDBEEFIGURINE_947_F;;
_FOUNDBEEFIGURINE_287_M;You don't like [c:bR]Squirrels[c:]?;¿No te gustan las [c:bR]ardillas[c:]?
_FOUNDBEEFIGURINE_287_F;;
_FOUNDCLOVERPOT_237_M;Hm. You've plucked [c:bR]that[c:] from the oil painting.;Mmm. Has sacado [c:bR]eso[c:] del cuadro al óleo.
_FOUNDCLOVERPOT_237_F;;
_FOUNDCLOVERPOT_028_M;You must not like the cards that I deal you.;Será que no te gustan las cartas que te doy.
_FOUNDCLOVERPOT_028_F;;
TALKING_WOLF_DIALOGUE_WOLFDISCOVERED_502_M;Take the film roll.[w:0.2];Coge el rollo de película.[w:0.2]
TALKING_WOLF_DIALOGUE_WOLFDISCOVERED_502_F;;
TALKING_WOLF_DIALOGUE_WOLFDISCOVERED_384_M;Before he sees it![w:0.3];¡Antes de que él lo vea![w:0.3]
TALKING_WOLF_DIALOGUE_WOLFDISCOVERED_384_F;;
TALKING_WOLF_DIALOGUE_WOLFDISCOVERED_187_M;[anim:shock][size:4]Now!;[anim:shock][size:4]¡Ahora!
TALKING_WOLF_DIALOGUE_WOLFDISCOVERED_187_F;;
TUTORIAL_TUTORIALBUYPELTSPILE_711_M;Y-yer leaving already?!;¡¿Y-ya te vas?!
TUTORIAL_TUTORIALBUYPELTSPILE_711_F;;
TUTORIAL_TUTORIALBUYPELTSPILE_967_M;Please. Consider me pelts!;Por favor. ¡No te olvides de mis pieles!
TUTORIAL_TUTORIALBUYPELTSPILE_967_F;;
SPECIAL_NODES_TRAPPERFREEPELT_075_M;Take a pelt. Free o' charge!;Coge una piel. ¡Totalmente gratis!
SPECIAL_NODES_TRAPPERFREEPELT_075_F;;
SPECIAL_NODES_TRAPPERFREEPELT_856_M;See the quality?;¿Ves qué calidad?
SPECIAL_NODES_TRAPPERFREEPELT_856_F;;
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#1_785_M;The first 'n's free.;La primera es gratis.
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#1_785_F;;
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#2_525_M;Have a free one.;Coge una gratis.
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#2_525_F;;
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#3_499_M;On the house.;Invita la casa.
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#3_499_F;;
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#4_133_M;Take one.;Coge una.
SPECIAL_NODES_TRAPPERFREEPELT_REPEAT_#4_133_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_708_M;You know... You're free to get up again.;¿Sabes...? Puedes volver a levantarte.
TUTORIAL_TUTORIALGETTINGUPREMINDER_708_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_772_M;To keep your blood flowing...;Para que fluya la sangre...
TUTORIAL_TUTORIALGETTINGUPREMINDER_772_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#1_161_M;If you desire it, you may stand now.;Si quieres, ahora puedes ponerte en pie.
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#1_161_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#1_093_M;It will allow me time to plan...;Así tendré tiempo para planificar...
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#1_093_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#2_735_M;Do your legs cramp? Does your back ache?;¿Tienes calambres en las piernas? ¿Te duele la espalda?
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#2_735_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#2_001_M;This game can be lengthy.;Este juego puede ser largo.
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#2_001_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#2_616_M;Stand. If you wish.;Ponte de pie. Si quieres.
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#2_616_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#3_559_M;Stand.;Ponte de pie.
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#3_559_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#3_948_M;It will allow me time to plan.;Así tendré tiempo para planificar.
TUTORIAL_TUTORIALGETTINGUPREMINDER_REPEAT_#3_948_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER2_536_M;I am no tyrant. You may stand whenever the map is unrolled.;No soy un tirano. Puedes ponerte en pie cuando el mapa esté desenrollado.
TUTORIAL_TUTORIALGETTINGUPREMINDER2_536_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER2_311_M;It allows me time to plan your next encounter.;Así tengo tiempo para planificar tu próximo encuentro.
TUTORIAL_TUTORIALGETTINGUPREMINDER2_311_F;;
TUTORIAL_TUTORIALGETTINGUPREMINDER2_518_M;But do keep your hands off my possessions.;Pero no toques mis posesiones.
TUTORIAL_TUTORIALGETTINGUPREMINDER2_518_F;;
PART_1_RUN_START_NEWRUNCAUSETOTEM_098_M;Fresh blood.;Sangre fresca.
PART_1_RUN_START_NEWRUNCAUSETOTEM_098_F;;
PART_1_RUN_START_NEWRUNCAUSETOTEM_963_M;Perhaps yours will make it farther than the foot of a totem.;Tal vez la tuya llegue más lejos que el pie de un tótem.
PART_1_RUN_START_NEWRUNCAUSETOTEM_963_F;;
PART_1_RUN_START_NEWRUNCAUSETOTEM_517_M;Knock on wood.;Toquemos madera.
PART_1_RUN_START_NEWRUNCAUSETOTEM_517_F;;
PART_1_RUN_START_NEWRUNCAUSETOTEM_REPEAT_#1_672_M;Your predecessor fell to a mere totem...;Tu predecesor cayó ante un simple tótem...
PART_1_RUN_START_NEWRUNCAUSETOTEM_REPEAT_#1_672_F;;
PART_1_RUN_START_NEWRUNCAUSETOTEM_REPEAT_#1_720_M;Are you prepared to do better?;¿Estás preparado para hacerlo mejor?
PART_1_RUN_START_NEWRUNCAUSETOTEM_REPEAT_#1_720_F;Are you prepared to do better?;¿Estás preparada para hacerlo mejor?
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_209_M;Another challenger.;Otro contendiente.
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_209_F;;
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_869_M;Did I tell you the tale of the one who came before you?;¿Te he contado la historia de la persona que vino antes que tú?
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_869_F;;
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_963_M;They fell to a mad [c:bR]Prospector[c:].;Cayó ante un [c:bR]prospector[c:] loco.
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_963_F;;
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_948_M;Nothing comes between that man and his gold.;Nada puede interponerse entre ese hombre y su oro.
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_948_F;;
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_REPEAT_#1_002_M;Another for the [c:bR]Prospector[c:]'s pickaxe?;¿Otro para el pico del [c:bR]prospector[c:]?
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_REPEAT_#1_002_F;;
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_REPEAT_#1_712_M;Or will you do better?;¿O tú lo harás mejor?
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_REPEAT_#1_712_F;;
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_REPEAT_#2_989_M;You continue doggedly onward... like a [c:bR]Prospector[c:] to gold.;Sigue avanzando empecinadamente... como un [c:bR]prospector[c:] hacia el oro.
PART_1_RUN_START_NEWRUNCAUSEPROSPECTOR_REPEAT_#2_989_F;;
PART_1_RUN_START_NEWRUNCAUSEANGLER_405_M;Are you prepared for what lies ahead?;¿Estás preparado para lo que te espera?
PART_1_RUN_START_NEWRUNCAUSEANGLER_405_F;Are you prepared for what lies ahead?;¿Estás preparada para lo que te espera?
PART_1_RUN_START_NEWRUNCAUSEANGLER_329_M;To be impaled on the [c:bR]Angler[c:]'s hook, like the one who came before?;¿Quedar empalado en el garfio del [c:bR]pescador[c:], como tu predecesor?
PART_1_RUN_START_NEWRUNCAUSEANGLER_329_F;;
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#1_437_M;I'm still thinking about the last one...;Aún sigo pensando en el último...
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#1_437_F;;
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#1_737_M;To be so soundly defeated... by the simpleton [c:bR]Angler[c:] no less...;Sufrir una derrota tan terrible... a manos del simplón del [c:bR]pescador[c:], nada menos...
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#1_737_F;;
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#2_551_M;Perhaps I've made the battle with the [c:bR]Angler[c:] too difficult?;¿Quizás he puesto demasiado difícil la batalla con el [c:bR]pescador[c:]?
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#2_551_F;;
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#2_616_M;No, it can't be that.;No, no puede ser eso.
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#2_616_F;;
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#2_037_M;My expectations are simply too high.;Es solo que tengo unas expectativas demasiado altas.
PART_1_RUN_START_NEWRUNCAUSEANGLER_REPEAT_#2_037_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_743_M;Not much for trading, that last one.;Al último no se le daba muy bien el comercio.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_743_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_187_M;Are you prepared to make the right deals?;¿Estás preparado para negociar como es debido?
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_187_F;Are you prepared to make the right deals?;¿Estás preparada para negociar como es debido?
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#1_241_M;Trapped, and then traded.;Atrapado, y después intercambiado.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#1_241_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#1_643_M;Are you prepared for a fate such as that?;¿Estás preparado para un destino como ese?
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#1_643_F;Are you prepared for a fate such as that?;¿Estás preparada para un destino como ese?
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#2_885_M;Clearly your predecessor did not appreciate the value of a pelt.;Claramente, la persona que te precedió no apreciaba el valor de una piel.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#2_885_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_902_M;You have large boots to fill.;Tienes un hueco enorme que llenar.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_902_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_257_M;The one who came before you made it all the way to the [c:bR]Trapper[c:].;La persona que vino antes que tú llegó hasta el [c:bR]trampero[c:].
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_257_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_172_M;I am not holding my breath.;No voy a contener la respiración.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_172_F;;
PART_1_RUN_START_NEWRUNDEFAULT_623_M;I had such high hopes for that last one...;Tenía tantas esperanzas puestas en esa última persona...
