Column1;Column10;FR 
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_934_M;Maybe git 'er some food!;J'sais pas, donnes-y du manger, p'têt !
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_934_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_663_M;[t:2]Come ter think o' it...[w:0.3] Mighta left some in that dang cabin...;[t:2]En y r'pensant...[w:0.3] J'en ai p'têt laissé dans c'te foutue cabane...
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_663_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_219_M;[c:R][shake:1]DAG[w:0.3][shake:1] NAB[w:0.3][shake:1] IT!;[c:R][shake:1]SACRÉ[w:0.3][shake:1] BON SANG[w:0.3][shake:1] DE BOIS !
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_219_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_017_M;Ye seen 'er?[w:0.3] My hound?;T'l'as vu, toi ?[w:0.3] Mon chien ?
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_017_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_752_M;A good meal always gits 'er out.;Avec un bon manger, il sort toujours.
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_752_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_865_M;Now, where'd I lock up that meat agin?;Où est-ce que j'ai mis c'te saleté d'viande, encore ?
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_865_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_931_M;Ye...[w:0.2] seen 'er?[w:0.3] My hound?;Hé...[w:0.2] T'l'as vu, alors ?[w:0.3] Mon chien, j'veux dire ?
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_931_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_071_M;Some meat in 'er bowl 's bound to git 'er out.;Un peu d'viande dans sa gamelle, et c'est bon.
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_071_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_436_M;[t:2]I'm just forgittin' where I stowed that meat...[w:0.4] Inside somewhere?;[t:2]Aucune idée d'où j'ai foutu c'te viande...[w:0.4] Quèque part à l'intérieur ?
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_436_F;;
GBC_NPC_ANGLERNPCPHOTO_013_M;No.;Non.
GBC_NPC_ANGLERNPCPHOTO_013_F;;
GBC_NPC_ANGLERNPCPHOTO_331_M;No fish?[w:0.3] No pass.;Pas de poisson ?[w:0.3] Pas passer.
GBC_NPC_ANGLERNPCPHOTO_331_F;;
GBC_NPC_ANGLERNPCPHOTO_706_M;Dead fish?[w:0.3] Joke?;Poisson mort ?[w:0.3] Blague ?
GBC_NPC_ANGLERNPCPHOTO_706_F;;
GBC_NPC_ANGLERNPCPHOTO_REPEAT_#1_069_M;Dead fish.[w:0.3] Rotten fish.[w:0.3] No.;Poisson mort.[w:0.3] Poisson pourri.[w:0.3] Non.
GBC_NPC_ANGLERNPCPHOTO_REPEAT_#1_069_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_674_M;The only thing you have to fear is your own inadequacy.;La seule chose que tu dois craindre, c'est ta propre faiblesse.
GBC_NPC_LESHYGBCGIVECAMERA1_674_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_387_M;Behold me.[w:0.3] I am Leshy,[w:0.3] The Scrybe of Beasts.;Me voici, [w:0.3]je suis Leshy[w:0.3], scrybe des créatures.
GBC_NPC_LESHYGBCGIVECAMERA1_387_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_819_M;I would consider your ambition to replace me a threat...[w:0.4] If it weren't so laughable.;Je percevrais ton ambition de me remplacer comme une menace...[w:0.4] Si ce n'était pas si ridicule.
GBC_NPC_LESHYGBCGIVECAMERA1_819_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_163_M;We share a desire for you to challenge me.[w:0.3] But first...;Nous voulons la même chose : nous battre.[w:0.3] Mais d'abord...
GBC_NPC_LESHYGBCGIVECAMERA1_163_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_064_M;Return to me when my subordinates are defeated.;Reviens me voir une fois que tu auras vaincu mes subalternes.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_064_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_080_M;You may wish to start with The Prospector.;Tu voudras peut-être commencer par le chercheur d'or.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_080_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_110_M;Return to me when they are all defeated.;Reviens me voir après les avoir battus.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_110_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_847_M;The Prospector is always losing that infernal hound of his...;Le chercheur d'or perd sans cesse son satané chien de chasse...
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_847_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_096_M;I may have left some meat in the safe. The Prospector scrawled the code somewhere by the hound's food bowl.;J'ai pu laisser un peu de viande dans le coffre. Le chercheur d'or a griffonné le code près de la gamelle de son chien.
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_096_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_399_M;A bit of meat in that hound's bowl always draws her out...;Un peu de viande dans la gamelle de son chien suffit à l'attirer...
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_399_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_690_M;I know what you're thinking.;Je sais ce que tu te dis...
GBC_NPC_LESHYGBCGIVECAMERA2_690_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_650_M;No.[w:0.3] This is not my legendary camera.[w:0.3] Not the one I used to create [c:R][shake:0.7]Beast[w:0.25][shake:0.7] Cards.;Non.[w:0.3] Ce n'est pas mon appareil photo légendaire.[w:0.3] Pas celui que j'ai utilisé pour créer des cartes de [c:R][shake:0.7]créatures[w:0.25][shake:0.7].
GBC_NPC_LESHYGBCGIVECAMERA2_650_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_490_M;This one is a mere replica.[w:0.3] You may use it to create photos of the beasts in these woods.;Celui-ci, c'est une réplique.[w:0.3] Tu peux l'utiliser pour prendre des photos des créatures dans ces bois.
GBC_NPC_LESHYGBCGIVECAMERA2_490_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_452_M;My subordinates...[w:0.3] The Prospector,[w:0.3] The Angler,[w:0.3] and The Trapper...[w:0.3];Mes subalternes...[w:0.3] Le chercheur d'or[w:0.3], le pêcheur[w:0.3] et le trappeur...[w:0.3]
GBC_NPC_LESHYGBCGIVECAMERA2_452_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_571_M;They each require a photo before they will consider battling you.;Chacun veut une photo avant d'accepter un combat.
GBC_NPC_LESHYGBCGIVECAMERA2_571_F;;
GBC_NPC_PROSPECTORNPCGREETING_573_M;Well,[w:0.3] I'll be darned.[w:0.3] That's my [shake:0.8]girl!;Mais...[w:0.3] ça par exemple ![w:0.3] C'est mon [shake:0.8]chien !
GBC_NPC_PROSPECTORNPCGREETING_573_F;;
GBC_NPC_PROSPECTORNPCGREETING_372_M;I'll let ye past me,[w:0.3] and into yonder pond...;J'te laisse passer[w:0.3] pour aller à la mare...
GBC_NPC_PROSPECTORNPCGREETING_372_F;;
GBC_NPC_PROSPECTORNPCGREETING_156_M;But,[w:0.3] dag nab it,[w:0.3] first we gotta[w:0.3][c:R][shake:1] BATTLE!;Mais[w:0.3] sacré bon sang de bois,[w:0.3] faut d'abord qu'on[w:0.3][c:R][shake:1] S'BATTE !
GBC_NPC_PROSPECTORNPCGREETING_156_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_576_M;Ye found my hound.[w:0.3] And I'm grateful 'n all...;T'as trouvé mon chien.[w:0.3] Ça m'fait chaud au cœur...
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_576_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_933_M;But,[w:0.3] dag nab it,[w:0.3] we just gotta[w:0.3][c:R][shake:1] BATTLE!;Mais[w:0.3] sacré bon sang de bois,[w:0.3] faut qu'on[w:0.3][c:R][shake:1] S'BATTE !
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_933_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_446_M;I do thank ye for the pretty picture...;Merci pour la photo jolie...
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_446_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_282_M;But afore I let ye by...;Mais avant qu'tu partes...
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_282_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#3_030_M;Dag nab it.[w:0.3] Yer stubborn.;Sacré bon sang de bois.[w:0.3] T'es têtu.
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#3_030_F;Dag nab it.[w:0.3] Yer stubborn.;Sacré bon sang de bois.[w:0.3] T'es têtue.
GBC_NPC_PROSPECTORNPCVICTORY_840_M;Fair's fair.[w:0.3] Ye beat me like a dog.;On est quittes.[w:0.3] Tu m'as battu comme un chien.
GBC_NPC_PROSPECTORNPCVICTORY_840_F;;
GBC_NPC_PROSPECTORNPCVICTORY_152_M;Take this.[w:0.3] Some say these here cards are better 'n gold!;Prends ça.[w:0.3] On dit qu'ces cartes valent plus que d'l'or !
GBC_NPC_PROSPECTORNPCVICTORY_152_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#1_961_M;The way to yonder pond is clear!;Le ch'min vers la mare est libre !
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#1_961_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#2_039_M;Darn pretty picture...;Qu'elle est jolie, c'te photo...
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#2_039_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#3_089_M;Off with ye.;Allez, fais d'l'air, ouste.
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#3_089_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_446_M;I'd let ye by for the kindness ye showed my hound...[w:0.3] But rules 'r rules.;J'te laiss'rais bien passer pour m'avoir ramené mon chien...[w:0.3] Mais faut respecter les règles.
GBC_NPC_PROSPECTORNPCDEFEAT_446_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#1_343_M;Rules 'r rules.;Faut respecter les règles.
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#1_343_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#2_859_M;Dag nab it...;Sacré bon sang de bois...
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#2_859_F;;
GBC_NPC_ANGLERNPCDEFEAT_544_M;Thank for fish.[w:0.3] But[w:0.3] no pass until beat.;Merci pour poisson.[w:0.3] Mais[w:0.3] pour passer, combat.
GBC_NPC_ANGLERNPCDEFEAT_544_F;;
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#1_566_M;No pass[w:0.3] until beat.;Pour passer,[w:0.3] combat.
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#1_566_F;;
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#2_271_M;No beat.[w:0.3] No pass.;Pas combat,[w:0.3] pas passer.
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#2_271_F;;
GBC_NPC_ANGLERNPCVICTORY_972_M;You beat.[w:0.3] You pass.;Après combat,[w:0.3] passer.
GBC_NPC_ANGLERNPCVICTORY_972_F;;
GBC_NPC_ANGLERNPCVICTORY_505_M;First,[w:0.3] take.;Bon,[w:0.3] prends.
GBC_NPC_ANGLERNPCVICTORY_505_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_331_M;Me?[w:0.3] Work continue.;Moi ?[w:0.3] Travailler encore.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_331_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_902_M;Find fish for Leshy.;Trouve poisson pour Leshy.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_902_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_381_M;Leshy want good fish.;Leshy veut bon poisson.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_381_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_952_M;Fresh fish.;Poisson frais.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_952_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_081_M;Corrupted fish.;Poisson corrompu.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_081_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_669_M;Leshy trust.;Leshy a confiance.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_669_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_390_M;I not disappoint.;Sera pas déçu.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_390_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_416_M;Find corrupted fish.;Trouve poisson corrompu.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_416_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_626_M;Fresh fish?;Poisson frais ?
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_626_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_429_M;No. Leshy want corrupted.;Non, Leshy veut corrompu.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_429_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_332_M;I find some time.;Moi trouver des fois.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_332_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_386_M;Always do.;Toujours.
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_386_F;;
GBC_NPC_ANGLERNPCGREETING_539_M;Fish.[w:0.3] Fresh fish.[w:0.5] Good.;Poisson.[w:0.3] Poisson frais.[w:0.5] Bon, ça.
GBC_NPC_ANGLERNPCGREETING_539_F;;
GBC_NPC_ANGLERNPCGREETING_723_M;Still.[w:0.3] Must beat.;Mais...[w:0.3] Combat quand même.
GBC_NPC_ANGLERNPCGREETING_723_F;;
GBC_NPC_ANGLERNPCGREETING_REPEAT_#2_365_M;Fish good.;Bon poisson.
GBC_NPC_ANGLERNPCGREETING_REPEAT_#2_365_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_268_M;You don't[w:0.3] perchance[w:0.6] have any [w:0.2]pelts?;Par hasard,[w:0.3] tu n'aurais[w:0.6] pas de [w:0.2]fourrure ?
GBC_NPC_GBCTRADERNATURETEMPLE_268_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_608_M;No?[w:0.3] That is disappointing,[w:0.3] but,[w:0.3] I also accept foils.;Non ?[w:0.3] Quel dommage.[w:0.3] Mais[w:0.3] j'accepte aussi les cartes Premium.
GBC_NPC_GBCTRADERNATURETEMPLE_608_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#1_187_M;Still no pelts?;Toujours pas de fourrure ?
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#1_187_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#2_114_M;I accept foils...[w:0.3] but you know my preference is pelts.;J'accepte les cartes Premium...[w:0.3] Mais tu sais que je préfère les fourrures.
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#2_114_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_206_M;Pelts?;Des fourrures ?
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_206_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_385_M;Alas...[w:0.3] We may still deal in lesser currencies...;Dommage...[w:0.3] On peut toujours faire échange avec des monnaies de moindre valeur.
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_385_F;;
GBC_NPC_TRADERNPCHEADSWITCH_589_M;You...[w:0.3] have brought a pelt.[w:0.3] I am pleased.;Tu...[w:0.3] as apporté une fourrure.[w:0.3] J'en suis ravie.
GBC_NPC_TRADERNPCHEADSWITCH_589_F;;
GBC_NPC_TRADERNPCHEADSWITCH_863_M;Yet another turn of the skinning knife...;Encore un coup de couteau à dépecer...
GBC_NPC_TRADERNPCHEADSWITCH_863_F;;
GBC_NPC_TRADERNPCHEADSWITCH_198_M;It is time[w:0.3] to set another trap.;Il est temps[w:0.3] de poser un autre piège.
GBC_NPC_TRADERNPCHEADSWITCH_198_F;;
GBC_NPC_TRAPPERNPCGREETING_045_M;I smell the hare's blood on you.;Je sens le sang du lapin qui a giclé sur toi.
GBC_NPC_TRAPPERNPCGREETING_045_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#1_023_M;I set the trap[w:0.3] but only the prey decides when it snaps shut.;J'ai mis le piège[w:0.3], mais c'est la proie seule qui décide quand il se referme.
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#1_023_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#2_453_M;You smell like prey.;Ton odeur... On dirait celle d'une proie.
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#2_453_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#3_252_M;*sniff*[w:0.3] *sniff*;*sniff*[w:0.3] *sniff*
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#3_252_F;;
GBC_NPC_TRAPPERNPCVICTORY_008_M;The trap has shut,[w:0.3] yet the prey escapes.;Le piège s'est refermé[w:0.3], mais la proie s'est échappée.
GBC_NPC_TRAPPERNPCVICTORY_008_F;;
GBC_NPC_TRAPPERNPCVICTORY_447_M;And the trapper waits for the next victim...;Et le trappeur attend sa prochaine victime...
GBC_NPC_TRAPPERNPCVICTORY_447_F;;
GBC_NPC_TRAPPERNPCVICTORY_403_M;You've defeated the three of us now.;Tu nous as vaincus tous les trois.
GBC_NPC_TRAPPERNPCVICTORY_403_F;;
GBC_NPC_TRAPPERNPCVICTORY_155_M;Leshy[w:0.3] awaits.;Leshy[w:0.3] t'attend.
GBC_NPC_TRAPPERNPCVICTORY_155_F;;
GBC_NPC_TRAPPERNPCDEFEAT_398_M;Come closer.[w:0.3] You'll make a fine pelt.;Approche un peu.[w:0.3] Tu vas faire une belle fourrure.
GBC_NPC_TRAPPERNPCDEFEAT_398_F;;
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#1_616_M;You're not cut out for trapping.[w:0.3] You're better as prey.;Tu n'es pas fait pour tendre des pièges.[w:0.3] Jouer la proie, ça te va mieux.
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#1_616_F;You're not cut out for trapping.[w:0.3] You're better as prey.;Tu n'es pas faite pour tendre des pièges.[w:0.3] Jouer la proie, ça te va mieux.
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#2_944_M;You'll make a fine pelt.;Tu ferais une belle fourrure.
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#2_944_F;;
GBC_NPC_LESHYGBCINTRO_622_M;You had bested the unhinged [c:R]Prospector[c:],[w:0.3] the gormless [c:R]Angler[c:],[w:0.3] the enigmatic [c:R]Trapper[c:]...;Tu es venu à bout du [c:R]chercheur d'or[c:] fou,[w:0.3] du [c:R]pêcheur[c:] idiot, [w:0.3] et de l'étrange [c:R]trappeur[c:]...
GBC_NPC_LESHYGBCINTRO_622_F;You had bested the unhinged [c:R]Prospector[c:],[w:0.3] the gormless [c:R]Angler[c:],[w:0.3] the enigmatic [c:R]Trapper[c:]...;Tu es venue à bout du [c:R]chercheur d'or[c:] fou,[w:0.3] du [c:R]pêcheur[c:] idiot, [w:0.3] et de l'étrange [c:R]trappeur[c:]...
GBC_NPC_LESHYGBCINTRO_147_M;You found yourself standing before your ultimate match:[w:0.3][shake:0.8][c:R] Leshy,[w:0.3] Scrybe of Beasts[c:].;Il ne te reste plus qu'à jouer une dernière partie, face à [w:0.3][shake:0.8][c:R]Leshy[w:0.3], scrybe des créatures[c:].
GBC_NPC_LESHYGBCINTRO_147_F;;
GBC_NPC_LESHYGBCINTRO_156_M;Your ambition is to replace P03?[w:0.3] Good.[w:0.3] Though[w:0.2] if you do not defeat me,[w:0.3] you will not get that chance.;Tu souhaites remplacer J03 ?[w:0.3] Bien.[w:0.3] Mais[w:0.2] si tu ne me bats pas[w:0.3], jamais tu n'auras cette chance.
GBC_NPC_LESHYGBCINTRO_156_F;;
GBC_NPC_LESHYGBCINTRO_226_M;Your ambition is to defeat me?[w:0.3] Foolish.[w:0.3] Even if,[w:0.2] by some odd luck,[w:0.2] you defeat me now...;Tu cherches à me vaincre ?[w:0.3] Sot que tu es.[w:0.3] Même si[w:0.2], par un hasard inespéré[w:0.2], tu me bats maintenant...
GBC_NPC_LESHYGBCINTRO_226_F;Your ambition is to defeat me?[w:0.3] Foolish.[w:0.3] Even if,[w:0.2] by some odd luck,[w:0.2] you defeat me now...;Tu cherches à me vaincre ?[w:0.3] Sotte que tu es.[w:0.3] Même si[w:0.2], par un hasard inespéré[w:0.2], tu me bats maintenant...
GBC_NPC_LESHYGBCINTRO_416_M;You will [shake:1]still[w:0.3] need to defeat me once more...[w:0.3] in the [c:R]Final Duel[c:].;Tu devras [shake:1]quand même[w:0.3] me vaincre une fois de plus...[w:0.3] lors du [c:R]duel final[c:].
GBC_NPC_LESHYGBCINTRO_416_F;;
GBC_NPC_LESHYGBCINTRO_519_M;And that[w:0.3] is even more unlikely.;Et ça[w:0.3], c'est encore plus improbable.
GBC_NPC_LESHYGBCINTRO_519_F;;
GBC_NPC_LESHYGBCINTRO_969_M;[shake:1]Steel yourself![w:0.3] For my beasts will show you no mercy,[w:0.6][shake:1] only[w:0.5][shake:1] fangs.;[shake:1]Prépare-toi ![w:0.3] Mes créatures n'ont aucune pitié,[w:0.6][shake:1] elles n'ont que[w:0.5][shake:1] des crocs.
GBC_NPC_LESHYGBCINTRO_969_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_741_M;Will you fight harder this time?;Vas-tu tout donner, cette fois ?
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_741_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_523_M;I crave a true challenge.;J'ai envie d'un vrai défi.
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_523_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#2_360_M;Come now.[w:0.3] Give it an earnest effort!;Allez.[w:0.3] Fais un effort !
GBC_NPC_LESHYGBCINTRO_REPEAT_#2_360_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#3_741_M;Steel yourself!;Prépare-toi.
GBC_NPC_LESHYGBCINTRO_REPEAT_#3_741_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#4_100_M;My beasts are still hungry.;Mes créatures sont encore affamées.
GBC_NPC_LESHYGBCINTRO_REPEAT_#4_100_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_472_M;One moment.[w:0.4] Before that one dies...;Un instant.[w:0.4] Avant que cette créature meure...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_472_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_264_M;I'll need to capture its [c:R]stats[c:]...;Il faut que je récupère ses [c:R]statistiques[c:]...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_264_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#1_741_M;Next,[w:0.3] [c:bR]stats[c:]...;Ensuite[w:0.3], [c:bR]les statistiques[c:]...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#1_741_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#2_415_M;Let me get those numbers...;Laisse-moi récupérer ces chiffres...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#2_415_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#3_376_M;A moment.[w:0.3] I need the [c:bR]stats[c:]...;Un instant.[w:0.3] J'ai besoin des [c:bR]statistiques[c:]...
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_REPEAT_#3_376_F;;
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_797_M;I'll need a photo of that one's [c:R]cost[c:]...;Je vais devoir prendre une photo du [c:R]coût[c:] de celle-ci...
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_797_F;;
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#1_610_M;The [c:R]cost[c:]...;Son [c:R]coût[c:]...
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#1_610_F;;
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#2_565_M;!DELETED!;Avant que cette créature meure...
GBC_BATTLE_LESHYGBCBOSSCOSTCARD_REPEAT_#2_565_F;;
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_965_M;And finally,[w:0.3] the [c:R]sigils[c:].;Et enfin,[w:0.3] les [c:R]emblèmes[c:].
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_965_F;;
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#1_040_M;All we need now is the [c:R]sigils[c:]...;Tout ce qu'il reste, à présent, ce sont les [c:R]emblèmes[c:]...
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#1_040_F;;
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#2_256_M;The [c:R]sigils[c:]...;Les [c:R]emblèmes[c:]...
GBC_BATTLE_LESHYGBCBOSSABILITIESCARD_REPEAT_#2_256_F;;
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_137_M;That will do.;Voilà, ça fera l'affaire.
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_137_F;;
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_203_M;The deaths of your creatures will form a beautiful mosaic.;Les morts de tes créatures vont former une magnifique mosaïque.
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_203_F;;
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_REPEAT_#1_855_M;That will do.[w:0.3] Allow me a moment to prepare...;Ça fera l'affaire.[w:0.3] Accorde-moi un instant...
GBC_BATTLE_LESHYGBCBOSSCOMPLETEDCARD_REPEAT_#1_855_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_152_M;You must like them.[w:0.3] Though the stitchwork is my own, they[w:0.2][shake:0.6] are your cards.;Tu as l'air de les aimer.[w:0.3] Même si c'est moi qui ai fait les dessins, ce sont[w:0.2][shake:0.6] tes cartes.
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_152_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_280_M;Now we put them to the test.[w:0.3] My beasts enjoy a varied diet.;Maintenant, mettons-les à l'épreuve.[w:0.3] Mes créatures aiment les repas variés.
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_280_F;;
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#1_092_M;Are you satisfied with our creations?;Nos créations te plaisent ?
GBC_BATTLE_LESHYGBCBOSSDEATHCARDDRAW_REPEAT_#1_092_F;;
