Column1;Column10;POR 
SPECIAL_NODES_DEATHCARDINTRO_490_F;;
SPECIAL_NODES_DEATHCARDINTRO_670_M;It's quite plain at the moment, isn't it?;Não parece grande coisa ainda, não é?
SPECIAL_NODES_DEATHCARDINTRO_670_F;;
SPECIAL_NODES_DEATHCARDINTRO_029_M;We will work together to amend that.;Trabalharemos juntos para solucionar isso.
SPECIAL_NODES_DEATHCARDINTRO_029_F;;
SPECIAL_NODES_DEATHCARDINTRO_649_M;I want this to be the perfect memento of you.;Quero uma recordação perfeita de você.
SPECIAL_NODES_DEATHCARDINTRO_649_F;;
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#1_281_M;Behold... your [c:bR]Deathcard[c:].;Contemple a sua... [c:bR]carta do ocaso[c:].
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#1_281_F;;
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#1_090_M;Shall we begin to ink it?;Vamos pintá-la?
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#1_090_F;;
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#2_113_M;Your [c:bR]Deathcard[c:]...;Sua [c:bR]carta do ocaso[c:]...
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#2_113_F;;
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#2_764_M;Let us begin.;Vamos começar.
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#2_764_F;;
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#3_941_M;Your [c:bR]Deathcard[c:]... Beautiful.;Sua [c:bR]carta do ocaso[c:]... Deslumbrante.
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#3_941_F;;
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#3_304_M;Though, it could use some detail.;Ela ainda precisa de alguns retoques.
SPECIAL_NODES_DEATHCARDINTRO_REPEAT_#3_304_F;;
TUTORIAL_TUTORIALDEATHCARDCHOOSE_727_M;Here are some cards from your mediocre deck...;Veja essas cartas do seu baralho medíocre...
TUTORIAL_TUTORIALDEATHCARDCHOOSE_727_F;;
TUTORIAL_TUTORIALDEATHCARDCHOOSE_400_M;We can put them to good use.;Faremos bom uso delas.
TUTORIAL_TUTORIALDEATHCARDCHOOSE_400_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_690_M;There is now but one final matter...;Falta apenas um pormenor...
SPECIAL_NODES_DEATHCARDPORTRAIT_690_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_154_M;The [c:bR]portrait[c:].;O [c:bR]retrato[c:].
SPECIAL_NODES_DEATHCARDPORTRAIT_154_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#1_077_M;One thing now remains...;Só falta uma coisa...
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#1_077_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#1_257_M;I must capture your visage.;Preciso capturar o seu semblante.
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#1_257_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#2_281_M;Prepare yourself.;Prepare-se.
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#2_281_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#2_891_M;Death awaits.;A morte lhe aguarda.
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#2_891_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#3_160_M;Any good card has a portrait...;Toda carta que se preze precisa de uma imagem...
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#3_160_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#4_020_M;There is but one last thing to do.;Falta apenas um último ponto.
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#4_020_F;;
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#4_438_M;Stay still.;Não se mexa.
SPECIAL_NODES_DEATHCARDPORTRAIT_REPEAT_#4_438_F;;
PART_1_SANCTUM_SANCTUMINTRO_617_M;You aren't dead yet. This isn't purgatory.;Você ainda não morreu. Aqui não é o purgatório.
PART_1_SANCTUM_SANCTUMINTRO_617_F;;
PART_1_SANCTUM_SANCTUMINTRO_533_M;Though you may think of it that way...;Embora possa parecer...
PART_1_SANCTUM_SANCTUMINTRO_533_F;;
PART_1_SANCTUM_SANCTUMINTRO_487_M;Before you expire, I must ask you a favor.;Antes do seu fim, preciso lhe pedir um favor.
PART_1_SANCTUM_SANCTUMINTRO_487_F;;
PART_1_SANCTUM_SANCTUMINTRO_400_M;I would like a memento.;Eu gostaria de uma recordação.
PART_1_SANCTUM_SANCTUMINTRO_400_F;;
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#1_708_M;Stay there. No need to move.;Fique aí mesmo. Não se mexa.
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#1_708_F;;
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#1_763_M;I am afraid you are not dead yet.;Creio que você ainda não tenha morrido.
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#1_763_F;;
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#1_400_M;Hold still.;Fique parado.
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#1_400_F;Hold still.;Fique parada.
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#2_574_M;Please, try to remain alive for just a short while longer.;Continue vivo por mais alguns instantes, por favor.
PART_1_SANCTUM_SANCTUMINTRO_REPEAT_#2_574_F;Please, try to remain alive for just a short while longer.;Continue viva por mais alguns instantes, por favor.
TALKING_CARDS_STINKBUGDISCOVERED_440_M;Oh...[w:0.3][shake] hello.[w:0.5];Ah...[w:0.3][shake] olá.[w:0.5]
TALKING_CARDS_STINKBUGDISCOVERED_440_F;;
TALKING_CARDS_STINKBUGDISCOVERED_138_M;[e:Quiet]I wasn't sure if I;[e:Quiet]Não tinha certeza se eu
TALKING_CARDS_STINKBUGDISCOVERED_138_F;;
TALKING_CARDS_STINKBUGDISCOVERED_758_M;[e:Quiet]would ever escape;[e:Quiet]escaparia
TALKING_CARDS_STINKBUGDISCOVERED_758_F;;
TALKING_CARDS_STINKBUGDISCOVERED_179_M;[e:Quiet]that iron crypt...[w:0.4];[e:Quiet]daquela cripta de ferro...[w:0.4]
TALKING_CARDS_STINKBUGDISCOVERED_179_F;;
TALKING_CARDS_STINKBUGDISCOVERED_977_M;Is P-[shake][w:0.1];O P...[shake][w:0.1]
TALKING_CARDS_STINKBUGDISCOVERED_977_F;;
TALKING_CARDS_STINKBUGDISCOVERED_230_M;[anim:sly]Is The Stoat... around?[w:0.4];[anim:sly]O Arminho... está por aqui?[w:0.4]
TALKING_CARDS_STINKBUGDISCOVERED_230_F;;
TALKING_CARDS_STINKBUGDISCOVERED_934_M;The Stunted Wolf?[w:0.4];O Lobo Franzino?[w:0.4]
TALKING_CARDS_STINKBUGDISCOVERED_934_F;;
TALKING_CARDS_STINKBUGDISCOVERED_278_M;[anim:]This madness must end.[w:0.4];[anim:]Essa loucura tem que acabar.[w:0.4]
TALKING_CARDS_STINKBUGDISCOVERED_278_F;;
TALKING_CARDS_STOATSAFEHINT_389_M;[t:5]Are you smart or something?[w:0.2];[t:5]O que você tem de diferente?[w:0.2]
TALKING_CARDS_STOATSAFEHINT_389_F;;
TALKING_CARDS_STOATSAFEHINT_189_M;He usually doesn't even;Normalmente ele nem se dá o trabalho
TALKING_CARDS_STOATSAFEHINT_189_F;;
TALKING_CARDS_STOATSAFEHINT_573_M;bother teaching about bones.[w:0.2];de ensinar sobre ossos.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_573_F;;
TALKING_CARDS_STOATSAFEHINT_107_M;[anim:sly]Alright here's a tip.;[anim:sly]Vou te dar uma dica.
TALKING_CARDS_STOATSAFEHINT_107_F;;
TALKING_CARDS_STOATSAFEHINT_442_M;I saw a past...;Eu vi uma vítima...
TALKING_CARDS_STOATSAFEHINT_442_F;;
TALKING_CARDS_STOATSAFEHINT_192_M;victim...;anterior...
TALKING_CARDS_STOATSAFEHINT_192_F;;
TALKING_CARDS_STOATSAFEHINT_635_M;[anim:][t:15]writing a passcode;[anim:][t:15]escrevendo uma senha
TALKING_CARDS_STOATSAFEHINT_635_F;;
TALKING_CARDS_STOATSAFEHINT_032_M;[anim:sly][t:15]in the rulebook.;[anim:sly][t:15]no manual de regras.
TALKING_CARDS_STOATSAFEHINT_032_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_154_M;Ever look in;Já deu uma olhada
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_154_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_518_M;[t:15]the rulebook?[w:0.2];[t:15]no manual de regras?[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_518_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_049_M;[anim:sly]There's definitely;[anim:sly]Com certeza há
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_049_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_006_M;[t:15]passcode scrawled in there.[w:0.2];[t:15]uma senha escrita nele.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_006_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_418_M;[anim:sly]They were looking up;[anim:sly]Eles estavam procurando
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_418_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_251_M;[anim:][t:15]the Bullfrog's sigil.[w:0.2];[anim:][t:15]o selo da Rã-touro.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#1_251_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_522_M;You ever peeked;Você já deu uma espiada
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_522_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_037_M;in that rulebook?[w:0.2];no manual de regras?[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_037_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_260_M;You know the one...[w:0.2];Você sabe qual...[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_260_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_782_M;You look at it;Você o consulta
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_782_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_667_M;[t:15]if you forget;[t:15]quando se esquece
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_667_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_716_M;[t:15]a sigil.[w:0.2];[t:15]de um selo.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_716_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_334_M;[anim:sly]You know,;[anim:sly]Os selos
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_334_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_291_M;[anim:][t:15]the sigils on the cards.[w:0.2];[anim:][t:15]que ficam nas cartas.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#2_291_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#3_141_M;Peep that rulebook.[w:0.2];Olhe o manual de regras.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#3_141_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#3_567_M;Bullfrog... etc...;Rã-touro e tal...
TALKING_CARDS_STOATSAFEHINT_REPEAT_#3_567_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_949_M;Pretty sure there's;Tenho certeza
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_949_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_174_M;a passcode;de que há uma senha
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_174_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_679_M;to that safe;para o cofre
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_679_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_506_M;in the rulebook.[w:0.2];no manual de regras.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#4_506_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_155_M;We need to;Não podemos
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_155_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_726_M;get things moving.[w:0.2];ficar perdendo tempo.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_726_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_045_M;The rulebook describes;O manual de regras explica
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_045_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_069_M;all the different sigils.[w:0.2];todos os selos.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_069_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_874_M;There's gotta be a;Deve haver
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_874_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_425_M;passcode in it![w:0.2];uma senha nele![w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#5_425_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_645_M;You're probably;Você já não deve mais
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_645_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_463_M;sick of hearing it...[w:0.2];aguentar ouvir isso...[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_463_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_472_M;But come on!;Mas vamos lá!
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_472_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_382_M;Open up the book.[w:0.2];Abra o manual.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_382_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_815_M;Use the passcode;Use a senha
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_815_F;;
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_522_M;on the safe.[w:0.2];no cofre.[w:0.2]
TALKING_CARDS_STOATSAFEHINT_REPEAT_#6_522_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_683_M;We meet again.;Nos encontramos de novo.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_683_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#2_388_M;Carry on.;Prossiga.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#2_388_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#3_266_M;Alas, we meet again.;Cá estamos novamente.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#3_266_F;;
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#4_443_M;Hello again.;Olá.
TALKING_WOLF_DIALOGUE_WOLFDRAWN_REPEAT_#4_443_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_587_M;Here we are.;Aqui estamos.
TALKING_WOLF_DIALOGUE_WOLFPLAYED_587_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#1_912_M;Are you sure?;Tem certeza?
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#1_912_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#2_023_M;Use me wisely.;Use-me com sabedoria.
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#2_023_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#3_750_M;Alas!;Que lástima!
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#3_750_F;;
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#4_234_M;I must trust you.;Confio em você.
TALKING_WOLF_DIALOGUE_WOLFPLAYED_REPEAT_#4_234_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_361_M;Oof.;Auu.
TALKING_WOLF_DIALOGUE_WOLFATTACKED_361_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#1_943_M;Careful now.;Cuidado.
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#1_943_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#2_966_M;Good lord!;Minha nossa!
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#2_966_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#3_716_M;Oof!;Auu!
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#3_716_F;;
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#4_977_M;Be careful!;Tenha cuidado.
TALKING_WOLF_DIALOGUE_WOLFATTACKED_REPEAT_#4_977_F;;
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_922_M;[t:5]Betrayal!;[t:5]Traição!
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_922_F;;
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#1_787_M;Farewell!;Adeus!
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#1_787_F;;
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#2_944_M;[t:5]Alas...;[t:5]Que lástima...
TALKING_WOLF_DIALOGUE_WOLFSACRIFICE_REPEAT_#2_944_F;;
TALKING_CARDS_STOATSTINKBUGREUNITE_246;You again...[w:0.5];Você de novo...[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_644;[shake:0.5]Indeed![w:0.2];[shake:0.5]Isso mesmo![w:0.2]
TALKING_CARDS_STOATSTINKBUGREUNITE_536;Our friend freed me.[w:0.5];Nosso amigo me libertou.[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_528;[shake:0.5]Well,[w:0.2] I basically told;[shake:0.5]Então,[w:0.2] eu basicamente expliquei
TALKING_CARDS_STOATSTINKBUGREUNITE_528;them how to do it.[w:0.5];como fazer isso.[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_119;You got a plan?[w:0.5];Qual é o seu plano?[w:0.5]
TALKING_CARDS_STOATSTINKBUGREUNITE_055;We have...[w:0.2];Temos[w:0.2]
TALKING_CARDS_STOATSTINKBUGREUNITE_294;another friend here...[w:0.2];um outro amigo aqui...[w:0.2]
TALKING_CARDS_STOATSTINKBUGREUNITE_078;[anim:shock]You've got to be-;[anim:shock]Você só pode estar-
TALKING_CARDS_STOATSTINKBUGREUNITE_553;I wouldn't call him;Eu não o chamaria
TALKING_CARDS_STOATSTINKBUGREUNITE_429;a friend.[w:0.3];de amigo.[w:0.3]
TALKING_CARDS_STOATSTINKBUGREUNITE_628;But[w:0.3] I suppose[w:0.3] we;Mas[w:0.3] eu diria que[w:0.3] estamos
TALKING_CARDS_STOATSTINKBUGREUNITE_535;are[w:0.1] in deep this time.[w:0.4];bem[w:0.1] próximos dessa vez.[w:0.4]
BOSS_DIALOGUE_LESHYBOSSMOON1_032_M;This damned moon...;Lua maldita...
BOSS_DIALOGUE_LESHYBOSSMOON1_032_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_397_M;It's dramatic, yes.;É claro que adiciona um drama.
BOSS_DIALOGUE_LESHYBOSSMOON1_397_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_348_M;But it provides no [c:bR]value[c:] to my board.;Mas não agrega nenhum [c:bR]valor[c:] ao meu jogo.
BOSS_DIALOGUE_LESHYBOSSMOON1_348_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_720_M;I wonder...;Vejamos...
BOSS_DIALOGUE_LESHYBOSSMOON1_720_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#1_994_M;This ought to work again...;Isso tem que funcionar de novo.
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#1_994_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#2_479_M;I still have a trick up my sleeve.;Ainda tenho uma carta na manga.
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#2_479_F;;
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#3_005_M;This moon is waning.;A lua está minguando.
BOSS_DIALOGUE_LESHYBOSSMOON1_REPEAT_#3_005_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_733_M;Now [c:bR]that[c:] is value.;[c:bR]Isso[c:] é que é valor.
BOSS_DIALOGUE_LESHYBOSSMOON2_733_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#1_957_M;Oh yes. It still works just fine.;Sim, sim. Funciona muito bem.
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#1_957_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#2_968_M;Will you dare attack [c:bR]the moon[c:]?;Você ousaria atacar a [c:bR]lua[c:]?
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#2_968_F;;
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#3_730_M;So much value...;Tanto valor...
BOSS_DIALOGUE_LESHYBOSSMOON2_REPEAT_#3_730_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_606_M;You capably endured the onslaught of [c:bR]rare creatures[c:]. ;Você resistiu ao ataque das [c:bR]criaturas raras[c:]. 
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_606_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_174_M;But the true challenge was forthcoming.;Contudo, o verdadeiro desafio ainda está por vir.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_174_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_651_M;Shadowy figures appeared before you.;Figuras sombrias aparecem diante de você.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_651_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_825_M;In their eyes glimmered a recognition of kinship... but colored by guilt.;O brilho nos olhos delas sugere uma afinidade, mas ele está manchado pela culpa.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_825_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_074_M;They were betraying you.;Elas traíram você.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_074_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_450_M;The moon soaked forest bed gave rise to shadowy figures.;Figuras sombrias emergem do seio da floresta banhada pela lua.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_450_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_774_M;Gasping for night air after their long and torturous slumber.;Elas anseiam pelo ar noturno depois de um longo e penoso torpor.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#1_774_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_686_M;After barely enduring the onslaught of [c:bR]rare creatures[c:], you shuddered.;Você estremece após mal resistir ao ataque das [c:bR]criaturas raras[c:].
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_686_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_851_M;For you knew, somehow, that the worst was yet to come.;Porque você sabe que o pior ainda está por vir.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS1_REPEAT_#2_851_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_753_M;I remember that one fondly.;Tenho boas lembranças dessa.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_753_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_418_M;Ah yes.;Sim.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_418_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_305_M;I remember that one.;Lembro-me dessa.
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#1_305_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_214_M;Magnificent [c:bR]Deathcards[c:].;Magníficas [c:bR]cartas do ocaso[c:].
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_214_F;;
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_084_M;Perhaps you will join them soon...;Talvez você se torne uma delas em breve...
BOSS_DIALOGUE_LESHYBOSSDEATHCARDS2_REPEAT_#2_084_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_300_M;You really destroyed the moon...;Você destruiu mesmo a lua.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_300_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_965_M;I suppose all that's left is to finish me off.;Só o que lhe resta é acabar comigo.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_965_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_557_M;Go on.;Fique à vontade.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_557_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_230_M;You're not the first to triumph over the moon.;Você não é o primeiro a conquistar a lua.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_230_F;You're not the first to triumph over the moon.;Você não é a primeira a conquistar a lua.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_726_M;But go on.;Mas que seja.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_726_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_883_M;Finish it.;Termine isso.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#1_883_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_104_M;Do you have any idea?;Aposto que você não faz ideia...
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_104_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_308_M;The consequences of destroying an astral body?;Das consequências de se destruir um corpo celeste.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_308_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_436_M;No. Of course not.;É claro que não.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_436_F;;
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_609_M;Finish this.;Ande logo.
BOSS_DIALOGUE_LESHYBOSSMOONDESTROYED_REPEAT_#2_609_F;;
_FOUNDEXTRACANDLE_215_M;Your persistence is growing quite tiresome.;Sua persistência está se tornando maçante.
_FOUNDEXTRACANDLE_215_F;;
_FOUNDEXTRACANDLE_155_M;Do you truly wish for your skill to be masked by this... cheat?;Deseja mesmo que a sua habilidade seja ofuscada por essa... trapaça?
_FOUNDEXTRACANDLE_155_F;;
_FOUNDEXTRACANDLE_543_M;How will I know if you are truly worthy?;Como eu saberei se você é mesmo digno?
_FOUNDEXTRACANDLE_543_F;How will I know if you are truly worthy?;Como eu saberei se você é mesmo digna?
_FOUNDBEEFIGURINE_947_M;What is this?;O que é isso?
_FOUNDBEEFIGURINE_947_F;;
