Column1;Column10;TUR 
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#2_885_M;Clearly your predecessor did not appreciate the value of a pelt.;Açıkçası senden önceki, postların kalitesinin değerini bilemedi.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#2_885_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_902_M;You have large boots to fill.;Yerini doldurman gereken büyük şeyler var.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_902_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_257_M;The one who came before you made it all the way to the [c:bR]Trapper[c:].;Senden önce gelen [c:bR]Tuzakçı[c:]'ya kadar ulaşmıştı.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_257_F;;
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_172_M;I am not holding my breath.;Ben pek umutlu değilim.
PART_1_RUN_START_NEWRUNCAUSETRAPPERTRADER_REPEAT_#3_172_F;;
PART_1_RUN_START_NEWRUNDEFAULT_623_M;I had such high hopes for that last one...;Bir önceki için de ne umutluydum...
PART_1_RUN_START_NEWRUNDEFAULT_623_F;;
PART_1_RUN_START_NEWRUNDEFAULT_144_M;Why do I bother trying to teach you.;Neden size bir şeyler öğretmeye uğraşıyorsam?
PART_1_RUN_START_NEWRUNDEFAULT_144_F;;
PART_1_RUN_START_NEWRUNDEFAULT_001_M;You... you will learn as we go.;Sen... sen devam ettikçe öğreneceksin.
PART_1_RUN_START_NEWRUNDEFAULT_001_F;;
PART_1_RUN_START_NEWRUNDEFAULT_334_M;Or you will die.;Veya öleceksin.
PART_1_RUN_START_NEWRUNDEFAULT_334_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#1_985_M;Another challenger approaches.;Bir başka Rakip yaklaşıyor.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#1_985_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#1_954_M;You will prove your worth in short order.;Kısa bir süre içinde değerini ispat edeceksin.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#1_954_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#2_161_M;Sometimes I wish I hadn't done away with Grimora...;Bazen Grimora'dan kurtulmamış olmayı diliyorum...
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#2_161_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#2_119_M;She, at least, was a worthy opponent.;O, değerli bir rakipti en azından.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#2_119_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_749_M;Ah, welcome.;Ah, hoş geldin.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_749_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_350_M;I will not be explaining the rules this time.;Bu sefer kuralları açıklamayacağım.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_350_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_672_M;If you do not intuit them, you will be slain.;Eğer kurallar içine doğmazsa öldürüleceksin.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_672_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_027_M;This is your dilemma.;Bu, senin çıkmazın.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#3_027_F;;
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#4_008_M;Stop shaking.;Titremeyi kes.
PART_1_RUN_START_NEWRUNDEFAULT_REPEAT_#4_008_F;;
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_542_M;Your starting deck...;Başlangıç desten...
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_542_F;;
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#1_299_M;Here is your deck.;İşte desten.
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#1_299_F;;
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#1_712_M;Study it.;Destene dikkatlice göz gezdir.
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#1_712_F;;
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#2_164_M;Your pitiful deck.;Acınası desten.
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#2_164_F;;
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#3_521_M;I've dealt you your deck.;Desteni sana verdim.
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#3_521_F;;
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#3_060_M;Now we may begin.;Artık başlayabiliriz.
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#3_060_F;;
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#4_496_M;Your deck...;Desten...
PART_1_RUN_START_NEWRUNDEALTDECKDEFAULT_REPEAT_#4_496_F;;
PART_1_RUN_START_NEWRUNDEALTSTINKBUG_071_M;It seems the lowly [c:bR]Stinkbug[c:] has made its way in.;Görünüşe bakılırsa aşağılık [c:bR]Kokarca Böceği[c:] destene girmiş.
PART_1_RUN_START_NEWRUNDEALTSTINKBUG_071_F;;
PART_1_RUN_START_NEWRUNDEALTSTINKBUG_957_M;But it is dealt. So it stands.;Ama kartlar dağıtıldı bir kere. Bu yüzden kalabilir.
PART_1_RUN_START_NEWRUNDEALTSTINKBUG_957_F;;
PART_1_RUN_START_NEWRUNDEALTWOLF_724_M;That foul [c:bR]Stunted Wolf[c:]?;O pislik [c:bR]Bodur Kurt[c:] mu?
PART_1_RUN_START_NEWRUNDEALTWOLF_724_F;;
PART_1_RUN_START_NEWRUNDEALTWOLF_247_M;You really want such a creature in your deck?;Gerçekten destende öyle bir yaratık mı olsun istiyorsun?
PART_1_RUN_START_NEWRUNDEALTWOLF_247_F;;
PART_1_RUN_START_NEWRUNDEALTWOLF_377_M;The sight of it does try my temper...;Onu görmek bile tepemin tasımı attırıyor...
PART_1_RUN_START_NEWRUNDEALTWOLF_377_F;;
PART_1_RUN_START_NEWRUNDEALTWOLF_910_M;But it has been dealt.;Ama kartlar dağıtıldı bir kere.
PART_1_RUN_START_NEWRUNDEALTWOLF_910_F;;
PART_1_RUN_START_NEWRUNDEALTWOLF_118_M;So it stands.;Bu yüzden kalabilir.
PART_1_RUN_START_NEWRUNDEALTWOLF_118_F;;
TUTORIAL_TUTORIALBUYPELTSCURRENCY_778_M;The trapper dealt in [c:bR]teeth[c:]. The type collected from battle.;Tuzakçı [c:bR]dişlerle[c:] ticaret yapar. Savaşlardan toplanan dişlerdir bunlar.
TUTORIAL_TUTORIALBUYPELTSCURRENCY_778_F;;
TUTORIAL_TUTORIALBUYPELTSCURRENCY_222_M;They are gained by dealing damage greater than what is needed to win a match.;Dişler, maçı kazanmak için gerekenden fazla hasar verildiğinde elde edilir.
TUTORIAL_TUTORIALBUYPELTSCURRENCY_222_F;;
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_357_M;You want that [c:bR]Caged Wolf[c:] in your deck?;O [c:bR]Kafeslenmiş Kurt[c:]'u destende mi istiyorsun?
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_357_F;;
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_746_M;Suit yourself.;Keyfin bilir.
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_746_F;;
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#1_203_M;What good do you think that [c:bR]Caged Wolf[c:] will do you?;O [c:bR]Kafeslenmiş Kurt[c:]'un sana ne gibi bir faydası olacağını düşünüyorsun?
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#1_203_F;;
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#1_163_M;It's a terrible card.;O, berbat bir karttır.
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#1_163_F;;
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#2_564_M;Your menagerie included a... [c:bR]Wolf in a Cage[c:]...;Görünüşe bakılırsa... [c:bR]Kafeslenmiş bir Kurt[c:]...
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#2_564_F;;
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#2_928_M;Apparently.;Hayvan koleksiyonundaymış.
PART_1_RUN_START_NEWRUNDEALTCAGEDWOLF_REPEAT_#2_928_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODTERRAIN_504_M;You are lacking sacrifices. Your [c:bR][v:0][c:] can't be sacrificed.;Yeterince kurbanın yok. [c:bR][v:0][c:] kartın kurban edilemez.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODTERRAIN_504_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODTERRAIN_REPEAT_#1_363_M;You can't draw blood from a [c:bR][v:0][c:]. You'll need something else.;[c:bR][v:0][c:] kartından kan akıtamazsın. Başka bir şeye ihtiyacın var.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODTERRAIN_REPEAT_#1_363_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODTERRAIN_REPEAT_#2_319_M;You can't sacrifice a [c:bR][v:0][c:]. So you're short.;[c:bR][v:0][c:] kartını kurban edemezsin. Yani kurbanın eksik kaldı.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODTERRAIN_REPEAT_#2_319_F;;
SPECIAL_NODES_DUPLICATEMERGEINTRO_903_M;You found yourself among a grove of thick and pungent mushrooms.;Kendini kesif kokulu ve kalın mantarların olduğu bir korulukta buldun.
SPECIAL_NODES_DUPLICATEMERGEINTRO_903_F;;
SPECIAL_NODES_DUPLICATEMERGEINTRO_830_M;You squinted to see a figure through a thick cloud of spores.;Gözlerini kısıp kalın spor bulutlarının ötesinde bir figür gördün.
SPECIAL_NODES_DUPLICATEMERGEINTRO_830_F;;
SPECIAL_NODES_DOCTORINTRO_700;We are [c:bR]The Mycologists[c:], yes?;Biz [c:bR]Mikologlarız[c:], değil mi?
SPECIAL_NODES_DOCTORINTRO_145;[size:3]Yes.[size:];[size:3]Evet.[size:]
SPECIAL_NODES_DOCTORINTRO_590;A-and we are performing our experiments far from- from-;Ve... ve deneylerimizi oradan çok uzakta gerçek... gerçekleşt...
SPECIAL_NODES_DOCTORINTRO_717;[size:3]We are not welcome elsewhere.[size:];[size:3]Başka hiçbir yerde istenmiyoruz.[size:]
SPECIAL_NODES_DOCTORINTRO_414_M;We will experiment on your flock, yes?;Hayvan sürünün üzerinde deneyler yapacağız, değil mi?
SPECIAL_NODES_DOCTORINTRO_414_F;;
SPECIAL_NODES_DOCTORINTRO_940_M;We- we will need [c:bR]2 of the same[c:] creatures?;He... her yaratığın [c:bR]aynısının 2 tanesine[c:] mi ihtiyacımız olacak?
SPECIAL_NODES_DOCTORINTRO_940_F;;
SPECIAL_NODES_DOCTORINTRO_073_M;[size:3]One for each of us.[size:];[size:3]İkimize de birer tane.[size:]
SPECIAL_NODES_DOCTORINTRO_073_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_391_M;D- did you bring us... [c:bR]2 of the same[c:]?;Bi... bize [c:bR]2 aynı kart[c:]... getirdin mi?
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_391_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_699_M;[size:3]We would like to experiment.[size:];[size:3]Deney yapmak istiyoruz.[size:]
SPECIAL_NODES_DOCTORINTRO_REPEAT_#1_699_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#2_654_M;We need... duplicates?;Kopyasına... ihtiyacımız var.
SPECIAL_NODES_DOCTORINTRO_REPEAT_#2_654_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#3_301_M;D- do you have v- v-;Şeyin var mı... ku... ku...
SPECIAL_NODES_DOCTORINTRO_REPEAT_#3_301_F;;
SPECIAL_NODES_DOCTORINTRO_REPEAT_#3_467;[size:3]They are not victims.[size:];[size:3]Onlar kurban değil.[size:]
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_407_M;Which fish? Hard choose.;Hangi balık? Seçmek zor.
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_407_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#1_346_M;Hm. Stale fish. Hard choose.;Hm. Bayat balık. Seçmek zor.
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#1_346_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#2_800_M;All stale. Hard choose.;Hepsi bayat. Seçmek zor.
BOSS_DIALOGUE_TEACHFISHHOOKAIMRANDOM_REPEAT_#2_800_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_837_M;Fresher fish. Easy choose.;Daha taze balık. Seçmek kolay.
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_837_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#1_083_M;New fish. Easy choose.;Yeni balık. Seçmek kolay.
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#1_083_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#2_179_M;Take new fish. Easy.;Yeni balığı almak. Kolay.
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#2_179_F;;
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#3_237_M;Mm. Fresh. Choose.;Mm. Taze. Seçmek.
BOSS_DIALOGUE_TEACHFISHHOOKAIMNEW_REPEAT_#3_237_F;;
BOSS_DIALOGUE_TEACHFISHHOOKPULL_057_M;Mine now. Go fish.;Artık benim. Git balık tut.
BOSS_DIALOGUE_TEACHFISHHOOKPULL_057_F;;
BOSS_DIALOGUE_TEACHFISHHOOKPULL_REPEAT_#1_314_M;Take fish. Go fish.;Balık al. Balık tut.
BOSS_DIALOGUE_TEACHFISHHOOKPULL_REPEAT_#1_314_F;;
GBC_NPC_GHOULROYALGAINPIECE_577_M;An' because ye bested me...[w:0.4] with ye,[w:0.3] I'll share me secret.;Madem beni yendin...[w:0.4] paylaşayım[w:0.3] seninle bir sırrımı.
GBC_NPC_GHOULROYALGAINPIECE_577_F;;
GBC_NPC_GHOULROYALGAINPIECE_772_M;Me name's Royal.[w:0.3] I's the far right tomb.[w:0.3] Here's the head piece.;Adım Royal.[w:0.3] En sağdaki mezar benimki.[w:0.3] İşte baş parçası.
GBC_NPC_GHOULROYALGAINPIECE_772_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_700_M;Like I said: Me name's Royal.[w:0.3] I's the far right tomb.;Dedim ya... Adım Royal.[w:0.3] En sağdaki mezar benimki.
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_700_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_170_M;Yar,[w:0.3] life didn't give me lemons...[w:0.3] So I died.;Arr,[w:0.3] hayat bana limon vermedi...[w:0.3] ben de öldüm.
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#1_170_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_954_M;I were once the finest pirate on th' seas.;Bir zamanlar denizlerin en iyi korsanıydım.
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_954_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_327_M;Lookit me now...[w:0.3] Buried under the far right tomb...;Bi' de bana bak...[w:0.3] En sağdaki mezar taşının altına gömülüyüm...
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#2_327_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_174_M;They say when life gives ye lemons...[w:0.3] Ye make somethin' of it.;Derler ki hayat sana limon verdiğinde...[w:0.3] Ondan bi' şeyler yaparsın.
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_174_F;;
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_481_M;Life were not so kind to give me lemons...[w:0.3] It left me buried under the tomb on the right.;Hayat bana limon verecek kadar nazik değildi...[w:0.3] Beni sağdaki mezara gömdü.
GBC_NPC_GHOULROYALGAINPIECE_REPEAT_#3_481_F;;
GBC_NPC_GHOULBRIARGREETING_361_M;B[w:0.2][shake:1]rrrr![w:0.4] Did someone leave the AC on?;B[w:0.2][shake:1]rrrr![w:0.4] Birileri klimayı açık mı bıraktı?
GBC_NPC_GHOULBRIARGREETING_361_F;;
GBC_NPC_GHOULBRIARGREETING_341_M;Oh, [w:0.1][t:0.5]come[w:0.25] on,[w:0.15][t:0] dude![w:0.3] It's[w:0.2][t:1] freezing[w:0.2][t:0] in here!;Ah, [w:0.1][t:0.5]yapma[w:0.25] ama[w:0.15][t:0] be![w:0.3] Burası[w:0.2][t:1] buz[w:0.2][t:0] gibi!
GBC_NPC_GHOULBRIARGREETING_341_F;;
GBC_NPC_GHOULBRIARGREETING_486_M;Maybe a[w:0.2] heated battle[w:0.2] will help. ;Belki de[w:0.2] hararetli bir karşılaşma[w:0.2] ısınmama yardımcı olur. 
GBC_NPC_GHOULBRIARGREETING_486_F;;
GBC_NPC_GHOULBRIARGREETING_REPEAT_#1_473_M;B[w:0.2][shake:1]rrrr!;B[w:0.2][shake:1]rrrr!
GBC_NPC_GHOULBRIARGREETING_REPEAT_#1_473_F;;
GBC_NPC_GHOULBRIARGAINPIECE_322_M;You did beat me.[w:0.3] So I guess I've gotta fess up.;Beni yendin.[w:0.3] Sanırım bir itirafta bulunmam gerekiyor.
GBC_NPC_GHOULBRIARGAINPIECE_322_F;;
GBC_NPC_GHOULBRIARGAINPIECE_616_M;The name's K- [w:0.2][shake:1]Kaycee.[w:0.4] Kaycee Hobbes.;Adım K... [w:0.2][shake:1]Kaycee.[w:0.4] Kaycee Hobbes.
GBC_NPC_GHOULBRIARGAINPIECE_616_F;;
GBC_NPC_GHOULBRIARGAINPIECE_921_M;I'm from the tombstone on the left.;Ben soldaki mezar taşındanım.
GBC_NPC_GHOULBRIARGAINPIECE_921_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_208_M;K- [w:0.2][shake:1]Kaycee.[w:0.4] Kaycee Hobbes is the name.;K- [w:0.2][shake:1]Kaycee.[w:0.4] Adım Kaycee Hobbes.
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_208_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_230_M;Tombstone on the left.;Soldaki mezar taşı benim.
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#1_230_F;;
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#3_375_M;Is there a draft in here?[w:0.3] It's freezing!;Cereyan mı var?[w:0.3] Burası buz gibi!
GBC_NPC_GHOULBRIARGAINPIECE_REPEAT_#3_375_F;;
GBC_NPC_GHOULBRIARVICTORY_690_M;You won,[w:0.3] but now I'm a bit less cold.;Kazandın[w:0.3] ve ben de biraz ısınmış oldum.
GBC_NPC_GHOULBRIARVICTORY_690_F;;
GBC_NPC_GHOULBRIARVICTORY_978_M;Take a pack.[w:0.3] On the house.;Bir kart paketi al.[w:0.3] Benden olsun.
GBC_NPC_GHOULBRIARVICTORY_978_F;;
GBC_NPC_GHOULBRIARDEFEAT_363_M;B[w:0.2][shake:1]rrrr![w:0.4] Nope.[w:0.3] I'm still cold.;B[w:0.2][shake:1]rrrr![w:0.4] Yok.[w:0.3] Hâlâ üşüyorum.
GBC_NPC_GHOULBRIARDEFEAT_363_F;;
GBC_NPC_GHOULBRIARDEFEAT_REPEAT_#1_706_M;B[w:0.2][shake:1]rrrr![w:0.4] Come on.[w:0.3] Try a bit harder!;B[w:0.2][shake:1]rrrr![w:0.4] Hadi ama.[w:0.3] Biraz daha çabala!
GBC_NPC_GHOULBRIARDEFEAT_REPEAT_#1_706_F;;
GBC_NPC_GHOULSAWYERGREETING_394_M;[t:2]Oh no.[w:0.5] Oh no.[w:0.5][t:0] Do not look upon me.;[t:2]Of, hayır.[w:0.5] Hayır.[w:0.5][t:0] Lütfen bana bakma.
GBC_NPC_GHOULSAWYERGREETING_394_F;;
GBC_NPC_GHOULSAWYERGREETING_030_M;Do not snarl or sniff.[w:0.3] I beg you.;Ne bana hırla ne de beni kokla.[w:0.3] Sana yalvarırım.
GBC_NPC_GHOULSAWYERGREETING_030_F;;
GBC_NPC_GHOULSAWYERGREETING_180_M;If you wish to battle,[w:0.3] please,[w:0.3] let us get it over with!;Eğer savaşmak istiyorsan[w:0.3] lütfen[w:0.3] savaşımız hemen olsun bitsin!
GBC_NPC_GHOULSAWYERGREETING_180_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_M;[t:2]Oh no.[w:0.5] You are back.;[t:2]Olamaz.[w:0.5] Geri döndün.
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_659_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_M;Please.[w:0.3] Let this be swift.;Lütfen.[w:0.3] Hemen bu işi bitirelim.
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#1_158_F;;
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_M;[t:2]Oh no.[w:0.5] You are back...[w:0.5] again.;[t:2]Olamaz.[w:0.5] Yine...[w:0.5] geri döndün.
GBC_NPC_GHOULSAWYERGREETING_REPEAT_#2_951_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_782_M;I am called Sawyer.[w:0.3] The middle stone marks my grave.;Benim adım Sawyer.[w:0.3] Ortadaki mezar taşı benim.
GBC_NPC_GHOULSAWYERGAINPIECE_782_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_656_M;Please,[w:0.3] do not go digging up my bones!;Lütfen[w:0.3] gidip de kemiklerimi topraktan çıkarma!
GBC_NPC_GHOULSAWYERGAINPIECE_656_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_M;Do not sniff or snarl!;Bana ne hırla ne de beni kokla!
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#1_748_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_M;Please,[w:0.3] do not bark or beg!;Lütfen[w:0.3] ne havla ne de yalvar!
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_521_F;;
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_M;The middle stone marks my grave.;Ortadaki mezar taşı benimkisi olur.
GBC_NPC_GHOULSAWYERGAINPIECE_REPEAT_#2_628_F;;
GBC_NPC_GHOULSAWYERVICTORY_750_M;It is over.[w:0.3] You chewed me out.;Bitti.[w:0.3] Resmen çiğneyip attın beni.
GBC_NPC_GHOULSAWYERVICTORY_750_F;;
GBC_NPC_GHOULSAWYERVICTORY_015_M;Now,[w:0.3] please,[w:0.3] look away!;Şimdi[w:0.3] lütfen[w:0.3] başka tarafa bak!
GBC_NPC_GHOULSAWYERVICTORY_015_F;;
GBC_NPC_GHOULSAWYERVICTORY_331_M;Turn your eyes to this card pack instead.;Onun yerine gözlerini bu kart paketine çevir.
GBC_NPC_GHOULSAWYERVICTORY_331_F;;
GBC_NPC_GHOULSAWYERDEFEAT_291_M;Oh dear.[w:0.3] Does this mean you will try again?;Yok artık.[w:0.3] Bu, yine deneyeceğin anlamına mı geliyor?
GBC_NPC_GHOULSAWYERDEFEAT_291_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_M;Agony![w:0.3] Please leave me be.;Bu ne ıstırap![w:0.3] Düş yakamdan artık.
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#1_477_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_M;No...[w:0.3] Not again...;Hayır...[w:0.3] Bir daha olmaz...
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#2_124_F;;
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_M;Avert your eyes!;Gözlerini başka yöne çevir!
GBC_NPC_GHOULSAWYERDEFEAT_REPEAT_#3_071_F;;
GBC_NPC_GBCTRADERINTRO_881_M;You wish to trade?;Takas mı yapmak istiyorsun?
GBC_NPC_GBCTRADERINTRO_881_F;;
GBC_NPC_GRIMORATEMPLEINTRO_820_M;!DELETED!;
GBC_NPC_GRIMORATEMPLEINTRO_820_F;;
GBC_NPC_GRIMORATEMPLEINTRO_811_M;!DELETED!;
GBC_NPC_GRIMORATEMPLEINTRO_811_F;;
GBC_NPC_GRIMORATEMPLEINTRO_409_M;[t:3]If you wish to test your skills against me,[w:0.5][t:0][e:Anger] you must first prove your wits.[w:0.2].[w:0.2].[w:0.2];[t:3]Eğer yeteneklerini bana karşı test etmek istiyorsan[w:0.5][t:0][e:Anger] ilk olarak zekânı kanıtlamalısın.[w:0.2].[w:0.2].[w:0.2]
GBC_NPC_GRIMORATEMPLEINTRO_409_F;;
GBC_NPC_GRIMORATEMPLEINTRO_081_M;[t:3]You must discern which tomb marks the final resting places of[w:0.2] my[w:0.2][shake:0.5][t:20] lovely[w:0.2][t:2] Ghouls.;[t:3]Benim sevgili hortlaklarımın huzur içinde yattıkları[w:0.2] mezar[w:0.2][shake:0.5][t:20] taşlarını[w:0.2][t:2] fark etmiş olmalısın.
GBC_NPC_GRIMORATEMPLEINTRO_081_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_429_M;[t:3]Marvelous![w:0.4] I believe you have proven your wits adequately.;[t:3]Harika![w:0.4] Zekânı layıkıyla kanıtladığına inanıyorum.
GBC_NPC_GRIMORAPUZZLESOLVED_429_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_676_M;Are you prepared?;Hazır mısın?
GBC_NPC_GRIMORAPUZZLESOLVED_676_F;;
GBC_NPC_GRIMORAPUZZLESOLVED_157_M;[t:12][e:Anger]You will not defeat me.;[t:12][e:Anger]Beni yenemezsin.
GBC_NPC_GRIMORAPUZZLESOLVED_157_F;;
_OPPONENTSURRENDER_449_M;I see the way this is going.;Bu işin sonunu görebiliyorum.
_OPPONENTSURRENDER_449_F;;
_OPPONENTSURRENDER_439_M;I concede.;Geri çekiliyorum.
_OPPONENTSURRENDER_439_F;;
_OPPONENTSURRENDER_031_M;You may accept my surrender...;Teslim oluşumu kabul edebilirsin...
_OPPONENTSURRENDER_031_F;;
_OPPONENTSURRENDER_877_M;...or you may finish this match the slow way.;...veya bu maçı yavaş yoldan bitirebilirsin.
_OPPONENTSURRENDER_877_F;;
_OPPONENTSURRENDER_REPEAT_#1_853_M;You have me here. I surrender.;Beni yendin. Geri çekiliyorum.
_OPPONENTSURRENDER_REPEAT_#1_853_F;;
_OPPONENTSURRENDER_REPEAT_#3_923_M;Yes. I think you've got me this time.;Evet. Sanırım bu sefer beni yendin.
_OPPONENTSURRENDER_REPEAT_#3_923_F;;
_OPPONENTSURRENDER_REPEAT_#4_247_M;Scoop.;Çekiliyorum.
_OPPONENTSURRENDER_REPEAT_#4_247_F;;
_OPPONENTSURRENDER_REPEAT_#5_710_M;I'll surrender.;Geri çekiliyorum.
_OPPONENTSURRENDER_REPEAT_#5_710_F;;
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_M;I- I think this could get messy.;Or... Ortalık biraz dağılabilir.
SPECIAL_NODES_DUPLICATEMERGELOOKAWAY_953_F;;
