Column1;Column10;JP 
GBC_NPC_MAGNIFICUSDEFEATED_483_F;;
GBC_NPC_MAGNIFICUSDEFEATED_174_M;[shake:1]You will never become The Scrybe of Magicks.[w:0.3] I'm sorry.;[shake:1]君は魔法のスクライブになれぬ。[w:0.3]残念だな。
GBC_NPC_MAGNIFICUSDEFEATED_174_F;;
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#1_712_M;You have failed my exam.;我が試験に落ちるとはな。
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#1_712_F;;
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#1_776_M;Change your deck,[w:0.3] change your approach,[w:0.3] then try again.;デッキを変え、[w:0.3]戦略も変えて、[w:0.3]再挑戦するがよい。
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#1_776_F;;
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#2_258_M;A failing performance.;散々な成績だな。
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#2_258_F;;
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#2_902_M;If you were truly my student[w:0.3] I would banish you to the dunce realm.;もし君が本当に我が生徒であれば、[w:0.3]落ちこぼれの学び場へと放り込んでやれたものの。
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#2_902_F;;
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#3_018_M;Fail.;失格だ。
GBC_NPC_MAGNIFICUSDEFEATED_REPEAT_#3_018_F;;
GBC_NPC_MAGNIFICUSVICTORY_811_M;Very well,[w:0.3] we have battled,[w:0.3] and now I may speak.[w:0.3] You see...;上出来だ。[w:0.3]戦いは終わり、[w:0.3]話を始めてもよくなったな。[w:0.3]さて…
GBC_NPC_MAGNIFICUSVICTORY_811_F;;
GBC_NPC_MAGNIFICUSVICTORY_578_M;[shake:1][e:Anger]My eye.[w:0.3] It aches[w:0.3] because it remembers...[w:0.5][shake:1][c:R] IT[w:0.4][shake:1] WAS[w:0.4][shake:1] EXCISED!;[shake:1][e:Anger]我が目についてだ。[w:0.3]何があったか覚えているから[w:0.3]うずいている…[w:0.5][shake:1][c:R]我が[w:0.4][shake:1]目は[w:0.4][shake:1]取り出されたのだ！
GBC_NPC_MAGNIFICUSVICTORY_578_F;;
GBC_NPC_MAGNIFICUSVICTORY_649_M;[shake:1]By none other than Leshy,[w:0.3] The Scrybe of Beasts...;[shake:1]あのレシー、[w:0.3]獣のスクライブの仕業だ…
GBC_NPC_MAGNIFICUSVICTORY_649_F;;
GBC_NPC_MAGNIFICUSVICTORY_051_M;And a beast he is.[w:0.3] Arrogant,[w:0.2] single-minded,[w:0.2] obsessed with gaining power.;奴自信も獣なのだ。[w:0.3]傲慢で、[w:0.2]ひたむきで、[w:0.2]力を得ることしか考えていない。
GBC_NPC_MAGNIFICUSVICTORY_051_F;;
GBC_NPC_MAGNIFICUSVICTORY_925_M;But...[w:0.3] he is far from the [w:0.2][shake:0.5]worst[w:0.2] Scrybe[w:0.2] to become hegemon.;それでも…[w:0.3]奴は支配者たる[w:0.2][shake:0.5]最悪[w:0.2]のスクライブ[w:0.2]にはほど遠い。
GBC_NPC_MAGNIFICUSVICTORY_925_F;;
GBC_NPC_MAGNIFICUSVICTORY_976_M;You see[w:0.3] the ejection of my eyeball is far from the worst thing that can happen around here.;我が目が[w:0.3]取り除かれることなど、この辺で起こる出来事と比べればそうひどくない。
GBC_NPC_MAGNIFICUSVICTORY_976_F;;
GBC_NPC_MAGNIFICUSVICTORY_579_M;You must be [w:0.2][shake:0.5]especially[w:0.2] aware of[end];とりわけ君が[w:0.2][shake:0.5]気をつける[w:0.2]べきは[end]
GBC_NPC_MAGNIFICUSVICTORY_579_F;;
GBC_NPC_PROSPECTORNPCPHOTO_458_M;[c:R][t:1][shake:1]DAG[w:0.3][shake:1] NAB[w:0.3][shake:1] IT!;[c:R][t:1][shake:1]コン[w:0.3][shake:1]チク[w:0.3][shake:1]ショウ！
GBC_NPC_PROSPECTORNPCPHOTO_458_F;;
GBC_NPC_PROSPECTORNPCPHOTO_959_M;That dang hound got 'erself lost[w:0.3][shake:1][c:R] AGIN!;あのクソ犬がまた迷子に[w:0.3][shake:1][c:R]なりやがった！
GBC_NPC_PROSPECTORNPCPHOTO_959_F;;
GBC_NPC_PROSPECTORNPCPHOTO_554_M;Ye think yer gittin' past?[c:R][w:0.3][shake:1] THINK[w:0.3][shake:1] AGIN!;ここを通ろうってか？[c:R][w:0.3][shake:1]出直して[w:0.3][shake:1]来な！
GBC_NPC_PROSPECTORNPCPHOTO_554_F;;
GBC_NPC_PROSPECTORNPCPHOTO_669_M;Not 'til I git some proof my girl's alright.;オレの犬が無事だってわかるまで無理だ。
GBC_NPC_PROSPECTORNPCPHOTO_669_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_211_M;Ye hard o' hearin'?[w:0.2] Git me some proof she's alright!;わかった？[w:0.2]犬が無事だって証拠、もってきやがれ！
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_211_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_934_M;Maybe git 'er some food!;あいつのためにメシでも持ってきたらどうだ！
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_934_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_663_M;[t:2]Come ter think o' it...[w:0.3] Mighta left some in that dang cabin...;[t:2]よう考えたら…[w:0.3]あの小屋に少し置いてったかもな…
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#1_663_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_219_M;[c:R][shake:1]DAG[w:0.3][shake:1] NAB[w:0.3][shake:1] IT!;[c:R][shake:1]コン[w:0.3][shake:1]チク[w:0.3][shake:1]ショウ！
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_219_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_017_M;Ye seen 'er?[w:0.3] My hound?;アンタは見たか？[w:0.3]オレの犬をさ？
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_017_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_752_M;A good meal always gits 'er out.;いいメシがありゃあいつは来る。
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_752_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_865_M;Now, where'd I lock up that meat agin?;で、あの肉はどこ行った？
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#2_865_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_931_M;Ye...[w:0.2] seen 'er?[w:0.3] My hound?;なぁ…[w:0.2]見たか？[w:0.3]オレの犬どこいった？
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_931_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_071_M;Some meat in 'er bowl 's bound to git 'er out.;肉を深皿に置いときゃ、姿をみせるだろ。
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_071_F;;
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_436_M;[t:2]I'm just forgittin' where I stowed that meat...[w:0.4] Inside somewhere?;[t:2]でも肉をどこに置いたか忘れちまってな…<br>[w:0.4]どっかの中だったか？
GBC_NPC_PROSPECTORNPCPHOTO_REPEAT_#3_436_F;;
GBC_NPC_ANGLERNPCPHOTO_013_M;No.;ダメ。
GBC_NPC_ANGLERNPCPHOTO_013_F;;
GBC_NPC_ANGLERNPCPHOTO_331_M;No fish?[w:0.3] No pass.;魚ない？[w:0.3]通さない。
GBC_NPC_ANGLERNPCPHOTO_331_F;;
GBC_NPC_ANGLERNPCPHOTO_706_M;Dead fish?[w:0.3] Joke?;死んだ魚？[w:0.3]冗談か？
GBC_NPC_ANGLERNPCPHOTO_706_F;;
GBC_NPC_ANGLERNPCPHOTO_REPEAT_#1_069_M;Dead fish.[w:0.3] Rotten fish.[w:0.3] No.;死んだ魚。[w:0.3]腐った魚。[w:0.3]ダメ。
GBC_NPC_ANGLERNPCPHOTO_REPEAT_#1_069_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_674_M;The only thing you have to fear is your own inadequacy.;君が恐れるべきものは、己自身の力不足だ。
GBC_NPC_LESHYGBCGIVECAMERA1_674_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_387_M;Behold me.[w:0.3] I am Leshy,[w:0.3] The Scrybe of Beasts.;見よ。[w:0.3]私はレシー、[w:0.3]獣のスクライブだ。
GBC_NPC_LESHYGBCGIVECAMERA1_387_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_819_M;I would consider your ambition to replace me a threat...[w:0.4] If it weren't so laughable.;私の座を奪おうとするその野望を脅威として…[w:0.4] 受け止めるにはくだらなさすぎるな。
GBC_NPC_LESHYGBCGIVECAMERA1_819_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_163_M;We share a desire for you to challenge me.[w:0.3] But first...;私に挑戦したいというその望みは受けよう。[w:0.3] だが…
GBC_NPC_LESHYGBCGIVECAMERA1_163_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_064_M;Return to me when my subordinates are defeated.;私の配下をすべて打ち負かしてから戻ってくるのだ。
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_064_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_080_M;You may wish to start with The Prospector.;まずは探鉱者から始めたほうがいいだろう。
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#1_080_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_110_M;Return to me when they are all defeated.;全員倒した後、私のもとへ戻ってこい。
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_110_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_847_M;The Prospector is always losing that infernal hound of his...;探鉱者はいつも、恐るべき愛犬を見失ってばかりだ…
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#2_847_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_096_M;I may have left some meat in the safe. The Prospector scrawled the code somewhere by the hound's food bowl.;金庫の中に肉を残してあったはずだ。 探鉱者は、犬のエサ用深皿のそばにコードを書き残している。
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_096_F;;
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_399_M;A bit of meat in that hound's bowl always draws her out...;あの皿に肉を少々置けば、必ず犬は姿を見せるだろう…
GBC_NPC_LESHYGBCGIVECAMERA1_REPEAT_#3_399_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_690_M;I know what you're thinking.;何を考えているか、わかるぞ。
GBC_NPC_LESHYGBCGIVECAMERA2_690_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_650_M;No.[w:0.3] This is not my legendary camera.[w:0.3] Not the one I used to create [c:R][shake:0.7]Beast[w:0.25][shake:0.7] Cards.;ダメだ。[w:0.3]これは私の伝説のカメラではない。[w:0.3][c:R][shake:0.7]獣[w:0.25][shake:0.7]のカードを作るのに使ったものと違う。
GBC_NPC_LESHYGBCGIVECAMERA2_650_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_490_M;This one is a mere replica.[w:0.3] You may use it to create photos of the beasts in these woods.;ただのレプリカに過ぎない。[w:0.3]これを使って、森の中にいる獣の写真をとるがよい。
GBC_NPC_LESHYGBCGIVECAMERA2_490_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_452_M;My subordinates...[w:0.3] The Prospector,[w:0.3] The Angler,[w:0.3] and The Trapper...[w:0.3];私の配下たち…[w:0.3]探鉱者、[w:0.3]釣り人、[w:0.3]そして罠猟師は…[w:0.3]
GBC_NPC_LESHYGBCGIVECAMERA2_452_F;;
GBC_NPC_LESHYGBCGIVECAMERA2_571_M;They each require a photo before they will consider battling you.;それぞれ写真を渡さなければ君と勝負しないだろう。
GBC_NPC_LESHYGBCGIVECAMERA2_571_F;;
GBC_NPC_PROSPECTORNPCGREETING_573_M;Well,[w:0.3] I'll be darned.[w:0.3] That's my [shake:0.8]girl!;おいおい、[w:0.3]マジかよ。[w:0.3]それオレの[shake:0.8]愛犬じゃん！
GBC_NPC_PROSPECTORNPCGREETING_573_F;;
GBC_NPC_PROSPECTORNPCGREETING_372_M;I'll let ye past me,[w:0.3] and into yonder pond...;通してやるよ、[w:0.3]この先の池までな…
GBC_NPC_PROSPECTORNPCGREETING_372_F;;
GBC_NPC_PROSPECTORNPCGREETING_156_M;But,[w:0.3] dag nab it,[w:0.3] first we gotta[w:0.3][c:R][shake:1] BATTLE!;だがな、[w:0.3]すまねぇが、[w:0.3]その前に[w:0.3][c:R][shake:1]勝負だ！
GBC_NPC_PROSPECTORNPCGREETING_156_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_576_M;Ye found my hound.[w:0.3] And I'm grateful 'n all...;オレの犬を見つけてくれたか。[w:0.3]マジでありがてえが…
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_576_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_933_M;But,[w:0.3] dag nab it,[w:0.3] we just gotta[w:0.3][c:R][shake:1] BATTLE!;ああ、[w:0.3]チクショウ、[w:0.3]とりあえず[w:0.3][c:R][shake:1]勝負だ！
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#1_933_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_446_M;I do thank ye for the pretty picture...;いい写真をくれたのは感謝してるけどよ…
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_446_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_282_M;But afore I let ye by...;ここを通す前にな…
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#2_282_F;;
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#3_030_M;Dag nab it.[w:0.3] Yer stubborn.;わかんだろ。[w:0.3]コンチクショウ。
GBC_NPC_PROSPECTORNPCGREETING_REPEAT_#3_030_F;;
GBC_NPC_PROSPECTORNPCVICTORY_840_M;Fair's fair.[w:0.3] Ye beat me like a dog.;フェアファイトだったな。[w:0.3]ボコられちまったぜ。
GBC_NPC_PROSPECTORNPCVICTORY_840_F;;
GBC_NPC_PROSPECTORNPCVICTORY_152_M;Take this.[w:0.3] Some say these here cards are better 'n gold!;こいつを受け取れ。[w:0.3]金より価値があるカードが入ってるって言う奴もいるぜ！
GBC_NPC_PROSPECTORNPCVICTORY_152_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#1_961_M;The way to yonder pond is clear!;あの池への道は通っていいぜ！
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#1_961_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#2_039_M;Darn pretty picture...;マジでいい写真だな…
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#2_039_F;;
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#3_089_M;Off with ye.;ほら、さっさと行け。
GBC_NPC_PROSPECTORNPCVICTORY_REPEAT_#3_089_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_446_M;I'd let ye by for the kindness ye showed my hound...[w:0.3] But rules 'r rules.;オレの犬の写真を見せてくれた礼に通してやりてえが…[w:0.3]ルールは変えられねえ。
GBC_NPC_PROSPECTORNPCDEFEAT_446_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#1_343_M;Rules 'r rules.;ルールには従わねえとな。
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#1_343_F;;
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#2_859_M;Dag nab it...;チクショウ…
GBC_NPC_PROSPECTORNPCDEFEAT_REPEAT_#2_859_F;;
GBC_NPC_ANGLERNPCDEFEAT_544_M;Thank for fish.[w:0.3] But[w:0.3] no pass until beat.;魚、ありがとう。[w:0.3]でも[w:0.3]戦うまで通さない。
GBC_NPC_ANGLERNPCDEFEAT_544_F;;
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#1_566_M;No pass[w:0.3] until beat.;戦うまで[w:0.3]通さない。
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#1_566_F;;
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#2_271_M;No beat.[w:0.3] No pass.;戦え。[w:0.3]通さないぞ。
GBC_NPC_ANGLERNPCDEFEAT_REPEAT_#2_271_F;;
GBC_NPC_ANGLERNPCVICTORY_972_M;You beat.[w:0.3] You pass.;お前、勝った。[w:0.3]通っていい。
GBC_NPC_ANGLERNPCVICTORY_972_F;;
GBC_NPC_ANGLERNPCVICTORY_505_M;First,[w:0.3] take.;これ、[w:0.3]受け取れ。
GBC_NPC_ANGLERNPCVICTORY_505_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_331_M;Me?[w:0.3] Work continue.;オレ？[w:0.3]仕事続ける。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_331_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_902_M;Find fish for Leshy.;レシーのため、魚探す。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#1_902_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_381_M;Leshy want good fish.;レシー、いい魚欲しい。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_381_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_952_M;Fresh fish.;新鮮な魚。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_952_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_081_M;Corrupted fish.;壊れた魚。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#2_081_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_669_M;Leshy trust.;レシー、信用してる。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_669_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_390_M;I not disappoint.;オレ、失望させない。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_390_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_416_M;Find corrupted fish.;壊れた魚、探す。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#3_416_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_626_M;Fresh fish?;新鮮な魚？
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_626_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_429_M;No. Leshy want corrupted.;違う。 レシー、壊れたの欲しい。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_429_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_332_M;I find some time.;オレ、時間見つける。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_332_F;;
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_386_M;Always do.;いつもそうしてる。
GBC_NPC_ANGLERNPCVICTORY_REPEAT_#4_386_F;;
GBC_NPC_ANGLERNPCGREETING_539_M;Fish.[w:0.3] Fresh fish.[w:0.5] Good.;魚。[w:0.3]新鮮な魚。[w:0.5]いいぞ。
GBC_NPC_ANGLERNPCGREETING_539_F;;
GBC_NPC_ANGLERNPCGREETING_723_M;Still.[w:0.3] Must beat.;でも。[w:0.3]戦え。
GBC_NPC_ANGLERNPCGREETING_723_F;;
GBC_NPC_ANGLERNPCGREETING_REPEAT_#2_365_M;Fish good.;いい魚だ。
GBC_NPC_ANGLERNPCGREETING_REPEAT_#2_365_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_268_M;You don't[w:0.3] perchance[w:0.6] have any [w:0.2]pelts?;あなた、[w:0.3]偶然[w:0.2]皮[w:0.6]を持ってたりしない？
GBC_NPC_GBCTRADERNATURETEMPLE_268_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_608_M;No?[w:0.3] That is disappointing,[w:0.3] but,[w:0.3] I also accept foils.;無い？[w:0.3]それは残念ね。[w:0.3]でも、[w:0.3]プレミアムカードでもいいわ。
GBC_NPC_GBCTRADERNATURETEMPLE_608_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#1_187_M;Still no pelts?;まだ皮を持ってない？
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#1_187_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#2_114_M;I accept foils...[w:0.3] but you know my preference is pelts.;プレミアムカードでもいいわ… [w:0.3]でも皮の方がうれしいのは知っているでしょう。
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#2_114_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_206_M;Pelts?;皮は持ってきた？
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_206_F;;
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_385_M;Alas...[w:0.3] We may still deal in lesser currencies...;残念ね…[w:0.3]でも、より下級の通貨でも取引はできるわ…
GBC_NPC_GBCTRADERNATURETEMPLE_REPEAT_#3_385_F;;
GBC_NPC_TRADERNPCHEADSWITCH_589_M;You...[w:0.3] have brought a pelt.[w:0.3] I am pleased.;あら…[w:0.3]皮を持ってきてくれたのね。[w:0.3]うれしいわ。
GBC_NPC_TRADERNPCHEADSWITCH_589_F;;
GBC_NPC_TRADERNPCHEADSWITCH_863_M;Yet another turn of the skinning knife...;皮はぎ用ナイフをひとひねりして…
GBC_NPC_TRADERNPCHEADSWITCH_863_F;;
GBC_NPC_TRADERNPCHEADSWITCH_198_M;It is time[w:0.3] to set another trap.;今こそ[w:0.3]別の罠を仕掛ける時だ。
GBC_NPC_TRADERNPCHEADSWITCH_198_F;;
GBC_NPC_TRAPPERNPCGREETING_045_M;I smell the hare's blood on you.;お前から野ウサギの血の匂いがするぞ…
GBC_NPC_TRAPPERNPCGREETING_045_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#1_023_M;I set the trap[w:0.3] but only the prey decides when it snaps shut.;罠は仕掛けたが、[w:0.3]獲物だけが作動する時期を選べる。
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#1_023_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#2_453_M;You smell like prey.;お前は獲物のような臭いがするな。
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#2_453_F;;
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#3_252_M;*sniff*[w:0.3] *sniff*;クン[w:0.3]クン
GBC_NPC_TRAPPERNPCGREETING_REPEAT_#3_252_F;;
GBC_NPC_TRAPPERNPCVICTORY_008_M;The trap has shut,[w:0.3] yet the prey escapes.;罠は動いたが、[w:0.3]それでも獲物は逃げた。
GBC_NPC_TRAPPERNPCVICTORY_008_F;;
GBC_NPC_TRAPPERNPCVICTORY_447_M;And the trapper waits for the next victim...;そして罠猟師は、次の獲物を待つことになる…
GBC_NPC_TRAPPERNPCVICTORY_447_F;;
GBC_NPC_TRAPPERNPCVICTORY_403_M;You've defeated the three of us now.;これで、お前は三人とも打ち負かした。
GBC_NPC_TRAPPERNPCVICTORY_403_F;;
GBC_NPC_TRAPPERNPCVICTORY_155_M;Leshy[w:0.3] awaits.;レシー[w:0.3]が待っているぞ。
GBC_NPC_TRAPPERNPCVICTORY_155_F;;
GBC_NPC_TRAPPERNPCDEFEAT_398_M;Come closer.[w:0.3] You'll make a fine pelt.;もっと近づいてこい。[w:0.3]お前からいい皮が取れそうだ。
GBC_NPC_TRAPPERNPCDEFEAT_398_F;;
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#1_616_M;You're not cut out for trapping.[w:0.3] You're better as prey.;お前は罠をしかける才能がないな。[w:0.3]罠にかかる側のほうがお似合いだ。
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#1_616_F;;
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#2_944_M;You'll make a fine pelt.;お前からいい皮をとってやるよ。
GBC_NPC_TRAPPERNPCDEFEAT_REPEAT_#2_944_F;;
GBC_NPC_LESHYGBCINTRO_622_M;You had bested the unhinged [c:R]Prospector[c:],[w:0.3] the gormless [c:R]Angler[c:],[w:0.3] the enigmatic [c:R]Trapper[c:]...;奇妙な[c:R]探鉱者[c:]、[w:0.3]愚鈍な[c:R]釣り人[c:]、[w:0.3]謎に満ちた[c:R]罠猟師[c:]…
GBC_NPC_LESHYGBCINTRO_622_F;;
GBC_NPC_LESHYGBCINTRO_147_M;You found yourself standing before your ultimate match:[w:0.3][shake:0.8][c:R] Leshy,[w:0.3] Scrybe of Beasts[c:].;君は究極の戦いを目前に立っている…[w:0.3][shake:0.8][c:R]獣のスクライブ、[w:0.3]レシー[c:]との勝負だ。
GBC_NPC_LESHYGBCINTRO_147_F;;
GBC_NPC_LESHYGBCINTRO_156_M;Your ambition is to replace P03?[w:0.3] Good.[w:0.3] Though[w:0.2] if you do not defeat me,[w:0.3] you will not get that chance.;P03の座を奪うつもりでいるのか？[w:0.3]構わん。[w:0.3]だが[w:0.2]私を倒さなければその機会は得られんぞ。
GBC_NPC_LESHYGBCINTRO_156_F;;
GBC_NPC_LESHYGBCINTRO_226_M;Your ambition is to defeat me?[w:0.3] Foolish.[w:0.3] Even if,[w:0.2] by some odd luck,[w:0.2] you defeat me now...;私を倒すつもりでいるのか？[w:0.3]愚かな。[w:0.3]たとえ、[w:0.2]何かの幸運で[w:0.2]私を今倒したとしても…
GBC_NPC_LESHYGBCINTRO_226_F;;
GBC_NPC_LESHYGBCINTRO_416_M;You will [shake:1]still[w:0.3] need to defeat me once more...[w:0.3] in the [c:R]Final Duel[c:].;君は[shake:1]まだ[w:0.3]、私をもう一度倒す必要がある… [w:0.3][c:R]最後の決闘[c:]でな。
GBC_NPC_LESHYGBCINTRO_416_F;;
GBC_NPC_LESHYGBCINTRO_519_M;And that[w:0.3] is even more unlikely.;そちらの方が[w:0.3]尚更勝ち目はないぞ。
GBC_NPC_LESHYGBCINTRO_519_F;;
GBC_NPC_LESHYGBCINTRO_969_M;[shake:1]Steel yourself![w:0.3] For my beasts will show you no mercy,[w:0.6][shake:1] only[w:0.5][shake:1] fangs.;[shake:1]覚悟せよ！[w:0.3]私の獣は君に一切情けを見せぬ。[w:0.6][shake:1]奴らが見せるのは[w:0.5][shake:1]爪のみだ！
GBC_NPC_LESHYGBCINTRO_969_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_741_M;Will you fight harder this time?;今度はもう少し本気で戦ってくれるよな？
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_741_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_523_M;I crave a true challenge.;本当の挑戦が見たい。
GBC_NPC_LESHYGBCINTRO_REPEAT_#1_523_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#2_360_M;Come now.[w:0.3] Give it an earnest effort!;来るがよい。[w:0.3]全力をもってな！
GBC_NPC_LESHYGBCINTRO_REPEAT_#2_360_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#3_741_M;Steel yourself!;覚悟せよ！
GBC_NPC_LESHYGBCINTRO_REPEAT_#3_741_F;;
GBC_NPC_LESHYGBCINTRO_REPEAT_#4_100_M;My beasts are still hungry.;私の獣はまだ飢えているぞ。
GBC_NPC_LESHYGBCINTRO_REPEAT_#4_100_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_472_M;One moment.[w:0.4] Before that one dies...;少し待て。[w:0.4]あの獣が死ぬ前に…
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_472_F;;
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_264_M;I'll need to capture its [c:R]stats[c:]...;その[c:R]ステータス[c:]を奪わねば…
GBC_BATTLE_LESHYGBCBOSSSTATSCARD_264_F;;
