Column1;Column10;GER 
GBC_BATTLE_P03BOSSBATTLEINTRO_682_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#1_234_M;You go first.;Du machst den Anfang.
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#1_234_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#2_588_M;You've got the play.;Du bist am Spiel.
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#2_588_F;;
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#3_643_M;Ready?;Bereit?
GBC_BATTLE_P03BOSSBATTLEINTRO_REPEAT_#3_643_F;;
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_918_M;See how that works?[w:0.4] OK,[w:0.3] your turn.;Siehst du, wie das funktioniert?[w:0.4] Okay,[w:0.3] dein Zug.
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_918_F;;
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_REPEAT_#1_710_M;I passed.[w:0.3] It's your turn.;Ich habe gepasst.[w:0.3] Du bist am Zug.
GBC_BATTLE_P03BOSSBATTLECONVEYORBELTS_REPEAT_#1_710_F;;
GBC_NPC_P03GBCVICTORY_880_M;[e:Anger]I guess you won.;[e:Anger]Ich schätze, du hast gewonnen.
GBC_NPC_P03GBCVICTORY_880_F;;
GBC_NPC_P03GBCVICTORY_391_M;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] The Dead?[w:0.3][c:] That naive spinster...[w:0.3] You ought to reconsider.;Du willst zum [w:0.3][e:Anger][c:R]Wahrschreiber[w:0.3][shake:1] der Toten werden?[w:0.3][c:] Diese naive Jungfer ...[w:0.3] Überleg es dir lieber noch mal.
GBC_NPC_P03GBCVICTORY_391_F;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] The Dead?[w:0.3][c:] That naive spinster...[w:0.3] You ought to reconsider.;Du willst zur [w:0.3][e:Anger][c:R]Wahrschreiberin[w:0.3][shake:1] der Toten werden?[w:0.3][c:] Diese naive Jungfer ...[w:0.3] Überleg es dir lieber noch mal.
GBC_NPC_P03GBCVICTORY_783_M;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] Magicks?[w:0.3][c:] That old hack.[w:0.3] You ought to reconsider.;Du willst zum [w:0.3][e:Anger][c:R]Wahrschreiber[w:0.3][shake:1] der Magie werden?[w:0.3][c:] Dieser alte Schmierfink.[w:0.3] Überleg es dir lieber noch mal.
GBC_NPC_P03GBCVICTORY_783_F;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] Magicks?[w:0.3][c:] That old hack.[w:0.3] You ought to reconsider.;Du willst zur [w:0.3][e:Anger][c:R]Wahrschreiberin[w:0.3][shake:1] der Magie werden?[w:0.3][c:] Dieser alte Schmierfink.[w:0.3] Überleg es dir lieber noch mal.
GBC_NPC_P03GBCVICTORY_015_M;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] Beasts?[w:0.3][c:] That soft-minded stump?[w:0.3] You ought to reconsider.;Du willst zum [w:0.3][e:Anger][c:R]Wahrschreiber[w:0.3][shake:1] der Bestien werden?[w:0.3][c:] Dieser dümmliche Klotz?[w:0.3] Überleg es dir lieber noch mal.
GBC_NPC_P03GBCVICTORY_015_F;Your ambition is to become [w:0.3][e:Anger][c:R]The Scrybe of[w:0.3][shake:1] Beasts?[w:0.3][c:] That soft-minded stump?[w:0.3] You ought to reconsider.;Du willst zur [w:0.3][e:Anger][c:R]Wahrschreiberin[w:0.3][shake:1] der Bestien werden?[w:0.3][c:] Dieser dümmliche Klotz?[w:0.3] Überleg es dir lieber noch mal.
GBC_NPC_P03GBCVICTORY_093_M;And you've even decided that I am the Scrybe you will defeat.;Und du hast sogar entschieden, dass ich der Schreiber bin, den du besiegen wirst.
GBC_NPC_P03GBCVICTORY_093_F;;
GBC_NPC_P03GBCVICTORY_642_M;[e:Quiet]As if you have a choice...;[e:Quiet]Als ob du eine Wahl hättest ...
GBC_NPC_P03GBCVICTORY_642_F;;
GBC_NPC_MECHANICBROKENBRIDGE_616_M;Woof.[w:0.3] I was just about to call it quits out here.;Uff.[w:0.3] Gerade wollte ich hier Schluss machen.
GBC_NPC_MECHANICBROKENBRIDGE_616_F;;
GBC_NPC_MECHANICBROKENBRIDGE_139_M;But now that there's a[w:0.3][c:R] Challenger[c:][w:0.2] in our midst[w:0.2] it's back to work for me.;Doch jetzt, da ein[w:0.3][c:R] Herausforderer[c:][w:0.2] unter uns ist,[w:0.2] begebe ich mich wieder an die Arbeit.
GBC_NPC_MECHANICBROKENBRIDGE_139_F;But now that there's a[w:0.3][c:R] Challenger[c:][w:0.2] in our midst[w:0.2] it's back to work for me.;Doch jetzt, da eine[w:0.3][c:R] Herausforderin[c:][w:0.2] unter uns ist,[w:0.2] begebe ich mich wieder an die Arbeit.
GBC_NPC_MECHANICBROKENBRIDGE_426_M;I should be able to get this bridge fixed in[w:0.2].[w:0.2].[w:0.2].;Ich schätze, die Brücke ist repariert in [w:0.2].[w:0.2].[w:0.2].
GBC_NPC_MECHANICBROKENBRIDGE_426_F;;
GBC_NPC_MECHANICBROKENBRIDGE_683_M;[t:1]Full disclosure:[w:0.3] it'll take me exactly as long as it takes you to defeat one of those Scrybes.;[t:1]Um ehrlich zu sein:[w:0.3] Es wird genauso lange dauern, wie du brauchst, um einen dieser Wahrschreiber zu besiegen.
GBC_NPC_MECHANICBROKENBRIDGE_683_F;;
GBC_NPC_MECHANICBROKENBRIDGE_104_M;So,[w:0.3] uh,[w:0.3] come back later!;Also,[w:0.3] äh,[w:0.3] komm später wieder!
GBC_NPC_MECHANICBROKENBRIDGE_104_F;;
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#1_867_M;Woof.[w:0.3] It's hard to get back into the swing of things after a long break.;Uff.[w:0.3] Es ist schwer, nach einer langen Pause wieder den gewohnten Gang aufzunehmen.
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#1_867_F;;
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#1_595_M;Gotta gather that momentum.;Muss in Schwung kommen.
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#1_595_F;;
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#2_634_M;Look,[w:0.3] you seem like a fine enough Player.[w:0.3] So I'll fill you in a bit.;Hör mal,[w:0.3] du scheinst als Spieler ja ziemlich in Ordnung zu sein.[w:0.3] Deswegen verrate ich dir was.
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#2_634_F;Look,[w:0.3] you seem like a fine enough Player.[w:0.3] So I'll fill you in a bit.;Hör mal,[w:0.3] du scheinst als Spielerin ja ziemlich in Ordnung zu sein.[w:0.3] Deswegen verrate ich dir was.
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#2_560_M;These Scrybes are crazy out here.[w:0.3] Always at each others' necks.[w:0.3] Desperate struggle for power.[w:0.2] You know?;Diese Wahrschreiber hier sind verrückt.[w:0.3] Gehen einander ständig an die Gurgel.[w:0.3] Erbitterter Machtkampf.[w:0.2] Verstehst du?
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#2_560_F;;
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#2_929_M;Just stay out of it.[w:0.3] You don't want to end up like them.;Halt dich einfach da raus.[w:0.3] Du willst nicht wie sie enden.
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#2_929_F;;
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#3_754_M;Woof.[w:0.3] It's time to get back to work!;Uff.[w:0.3] Zeit, sich wieder an die Arbeit zu machen!
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#3_754_F;;
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#4_376_M;Woof.;Uff.
GBC_NPC_MECHANICBROKENBRIDGE_REPEAT_#4_376_F;;
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_622_M;Please, do not be foolish. There is no film in there.;Bitte sei nicht töricht. Es ist kein Film eingelegt.
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_622_F;;
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_376_M;I will need that.;Ich werde sie brauchen.
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_376_F;;
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_REPEAT_#1_794_M;Yes, that is my legendary camera.;Ja, das ist meine legendäre Kamera.
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_REPEAT_#1_794_F;;
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_REPEAT_#1_915_M;And no, it does not function without a loaded film roll.;Und nein, ohne eine eingelegte Filmrolle funktioniert sie nicht.
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_REPEAT_#1_915_F;;
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_REPEAT_#2_320_M;Give that here. It's useless without the film.;Gib sie mir. Ohne den Film ist sie nutzlos.
PART_1_SANCTUM_SANCTUMVICTORYNOFILM_REPEAT_#2_320_F;;
PART_1_SANCTUM_SANCTUMVICTORYINTRO_382_M;Stand right there.;Stell dich genau dorthin.
PART_1_SANCTUM_SANCTUMVICTORYINTRO_382_F;;
PART_1_SANCTUM_SANCTUMVICTORYINTRO_REPEAT_#1_549_M;Stand there.;Stell dich dorthin.
PART_1_SANCTUM_SANCTUMVICTORYINTRO_REPEAT_#1_549_F;;
PART_1_SANCTUM_SANCTUMVICTORYINTRO_REPEAT_#2_541_M;Right through here.;Genau hier durch.
PART_1_SANCTUM_SANCTUMVICTORYINTRO_REPEAT_#2_541_F;;
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_731_M;You, Challenger, are a champion. And I wish to commemorate your victory.;Du hast meisterlich gekämpft, Herausforderer. Und ich möchte deinen Sieg würdigen.
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_731_F;You, Challenger, are a champion. And I wish to commemorate your victory.;Du hast meisterlich gekämpft, Herausforderin. Und ich möchte deinen Sieg würdigen.
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_REPEAT_#1_397_M;You are a champion. And I wish to memorialize you.;Du hast meisterlich gekämpft. Und ich möchte dich verewigen.
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_REPEAT_#1_397_F;;
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_REPEAT_#2_596_M;I do not wish to forget your victory. And so I would like to prepare a monument to it.;Ich möchte deinen Sieg nicht vergessen. Und deswegen will ich ein Denkmal dafür vorbereiten.
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_REPEAT_#2_596_F;;
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_REPEAT_#3_064_M;You are worthy of a memorial. I will endeavor to fulfill this.;Du hast ein Denkmal verdient. Ich werde mich bemühen, dafür zu sorgen.
PART_1_SANCTUM_SANCTUMVICTORYDEATHCARD_REPEAT_#3_064_F;;
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_870_M;Shhh. Do not despair.;Psst. Verzweifle nicht.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_870_F;;
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_405_M;You are a winner.;Du bist ein Sieger.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_405_F;You are a winner.;Du bist eine Siegerin.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#1_377_M;Be still now.;Jetzt halt still.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#1_377_F;;
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#1_082_M;You won.;Du hast gewonnen.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#1_082_F;;
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#2_975_M;Stay still for me.;Jetzt halt still für mich.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#2_975_F;;
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#2_639_M;You should be very proud of yourself.;Du solltest sehr stolz auf dich sein.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#2_639_F;;
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#3_661_M;Do not despair.;Verzweifle nicht.
PART_1_SANCTUM_SANCTUMVICTORYTAKEPHOTO_REPEAT_#3_661_F;;
PART_1_FINALE_VICTORYFEAST1_220_M;You had won the respect of the strange cabin's inhabitant.;Du hattest dir den Respekt des Bewohners der seltsamen Hütte verdient.
PART_1_FINALE_VICTORYFEAST1_220_F;;
PART_1_FINALE_VICTORYFEAST1_437_M;Your body quaked as the adrenaline of the battle subsided...;Dein Körper zitterte, als die Aufregung des Kampfes nachließ ...
PART_1_FINALE_VICTORYFEAST1_437_F;;
PART_1_FINALE_VICTORYFEAST1_783_M;...leaving you with a gnawing hunger. You had not eaten for days.;... und einem nagenden Hunger Platz machte. Du hattest seit Tagen nicht gegessen.
PART_1_FINALE_VICTORYFEAST1_783_F;;
PART_1_FINALE_VICTORYFEAST1_265_M;Is it not so?;Ist es nicht so?
PART_1_FINALE_VICTORYFEAST1_265_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_024_M;Having bested the cabin's inhabitant, you were invited to sit.;Nach deinem Sieg über den Bewohner der Hütte wurdest du eingeladen, dich zu setzen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_024_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_427_M;The great [c:bR]Scrybe[c:] regaled you with his stories.;Der große [c:bR]Wahrschreiber[c:] unterhielt dich mit seinen Geschichten.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_427_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_684_M;He told you of a world long passed. And of how he had conquered it.;Er erzählte dir von einer lange vergangenen Welt. Und davon, wie er sie erobert hatte.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_684_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_705_M;Of how... pure his true intentions were.;Davon, wie ... rein seine wahren Absichten waren.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_705_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_006_M;How... he only wished...;Dass ... er nur wünschte ...
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_006_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_390_M;Enough.;Genug.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_390_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_716_M;Eat.;Iss.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#1_716_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_176_M;After the great battle, your troupe of creatures was disbanded.;Nach dem großen Kampf wurde deine Truppe aus Kreaturen aufgelöst.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_176_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_181_M;You had no further need for them.;Du hattest keine weitere Verwendung für sie.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_181_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_364_M;You were now in the company of a friend.;Du warst jetzt in der Gesellschaft eines Freundes.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_364_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_438_M;I did this all for you, you know.;Ich tat all das für dich, musst du wissen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_438_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_231_M;To breathe, to slumber... to eat. This is not life.;Atmen, Schlafen ... Essen. Das ist kein Leben.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_231_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_430_M;Life is the thrill of the kill and the woe of the vanquished.;Der Nervenkitzel des Todesstoßes und das Leid der Besiegten: Das ist Leben.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_430_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_168_M;You have now lived. Truly.;Du hast jetzt gelebt. Wahrhaftig.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_168_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_203_M;So now you may eat.;Daher darfst du nun essen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#2_203_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_532_M;Another challenger had bested [c:bR]Leshy, Great Scrybe of Beasts[c:].;Ein weiterer Herausforderer hatte [c:bR]Leshy, den großen Wahrschreiber der Bestien,[c:] bezwungen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_532_F;Another challenger had bested [c:bR]Leshy, Great Scrybe of Beasts[c:].;Eine weitere Herausforderin hatte [c:bR]Leshy, den großen Wahrschreiber der Bestien,[c:] bezwungen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_506_M;And I fear our time may be drawing to a close.;Und ich fürchte, unsere Zeit könnte sich dem Ende zuneigen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_506_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_109_M;It seems nothing I do can prolong my reign here...;Anscheinend kann nichts, was ich tue, meine Herrschaft hier verlängern ...
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_109_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_024_M;Since [c:bR]you[c:] got involved.;Seit [c:bR]du[c:] beteiligt bist.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_024_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_597_M;Oh, you will see in time.;Oh, du wirst es mit der Zeit schon erkennen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_597_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_814_M;That you should have simply let things be.;Dass du die Dinge einfach so hättest lassen sollen.
PART_1_FINALE_VICTORYFEAST1_REPEAT_#3_814_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#4_403_M;Here we are once again...;Hier sind wir wieder ...
PART_1_FINALE_VICTORYFEAST1_REPEAT_#4_403_F;;
PART_1_FINALE_VICTORYFEAST1_REPEAT_#4_741_M;How many more do you have in you?;Wie viele hast du noch?
PART_1_FINALE_VICTORYFEAST1_REPEAT_#4_741_F;;
PART_1_FINALE_VICTORYFEAST2_471_M;I do not celebrate often and I seldom give gifts.;Ich feiere nicht oft und mache selten Geschenke.
PART_1_FINALE_VICTORYFEAST2_471_F;;
PART_1_FINALE_VICTORYFEAST2_232_M;But you, Challenger, you are worthy.;Doch du, Herausforderer, du bist würdig.
PART_1_FINALE_VICTORYFEAST2_232_F;But you, Challenger, you are worthy.;Doch du, Herausforderin, du bist würdig.
PART_1_FINALE_VICTORYFEAST2_774_M;Please, do not be polite. Dig in.;Keine falsche Höflichkeit, bitte. Hau rein.
PART_1_FINALE_VICTORYFEAST2_774_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#1_742_M;Surely this food will please you.;Dieses Essen wird dir sicherlich gefallen.
PART_1_FINALE_VICTORYFEAST2_REPEAT_#1_742_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#1_255_M;I took extra care in preparing it.;Ich habe es besonders sorgfältig zubereitet.
PART_1_FINALE_VICTORYFEAST2_REPEAT_#1_255_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#2_231_M;Are you pleased?;Bist du zufrieden?
PART_1_FINALE_VICTORYFEAST2_REPEAT_#2_231_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#2_464_M;Eat it.;Iss es.
PART_1_FINALE_VICTORYFEAST2_REPEAT_#2_464_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#3_235_M;Is there something wrong with it?;Stimmt etwas nicht damit?
PART_1_FINALE_VICTORYFEAST2_REPEAT_#3_235_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#3_480_M;Enlighten me. What would make it better?;Klär mich auf. Was würde es besser machen?
PART_1_FINALE_VICTORYFEAST2_REPEAT_#3_480_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#4_695_M;Is it not what you are used to?;Ist es nicht, was du gewohnt bist?
PART_1_FINALE_VICTORYFEAST2_REPEAT_#4_695_F;;
PART_1_FINALE_VICTORYFEAST2_REPEAT_#4_345_M;Around here this is considered a delicacy.;Hier in der Gegend gilt es als Delikatesse.
PART_1_FINALE_VICTORYFEAST2_REPEAT_#4_345_F;;
PART_1_FINALE_VICTORYFEAST3_059_M;Is there something wrong?;Stimmt etwas nicht?
PART_1_FINALE_VICTORYFEAST3_059_F;;
PART_1_FINALE_VICTORYFEAST3_821_M;Your prize awaits.;Dein Preis wartet.
PART_1_FINALE_VICTORYFEAST3_821_F;;
PART_1_FINALE_VICTORYFEAST3_986_M;Come with me.;Komm mit mir.
PART_1_FINALE_VICTORYFEAST3_986_F;;
PART_1_FINALE_VICTORYFEAST3_REPEAT_#1_550_M;Really? This does not meet your standards?;Wirklich? Es erfüllt nicht deine Ansprüche?
PART_1_FINALE_VICTORYFEAST3_REPEAT_#1_550_F;;
PART_1_FINALE_VICTORYFEAST3_REPEAT_#2_243_M;If you do not appreciate it, we can move on.;Wenn du es nicht zu schätzen weißt, können wir weitermachen.
PART_1_FINALE_VICTORYFEAST3_REPEAT_#2_243_F;;
PART_1_FINALE_VICTORYFEAST3_REPEAT_#2_448_M;I will not dwell on a rejected gift.;Über ein zurückgewiesenes Geschenk zerbreche ich mir nicht den Kopf.
PART_1_FINALE_VICTORYFEAST3_REPEAT_#2_448_F;;
PART_1_FINALE_VICTORYFEAST3_REPEAT_#3_347_M;I have come to expect nothing from your kind.;Inzwischen erwarte ich von Deinesgleichen nichts mehr.
PART_1_FINALE_VICTORYFEAST3_REPEAT_#3_347_F;;
PART_1_FINALE_VICTORYFEAST3_REPEAT_#3_992_M;If you do not want it, then come with me.;Wenn du es nicht willst, dann komm mit mir.
PART_1_FINALE_VICTORYFEAST3_REPEAT_#3_992_F;;
PART_1_FINALE_VICTORYFEAST3_REPEAT_#4_234_M;You've done me a great disrespect.;Das war eine große Respektlosigkeit mir gegenüber.
PART_1_FINALE_VICTORYFEAST3_REPEAT_#4_234_F;;
PART_3_GAME_FLOW_PART3INTRO1_970_M;You done gawking?;Bist du fertig mit Gaffen?
PART_3_GAME_FLOW_PART3INTRO1_970_F;;
PART_3_GAME_FLOW_PART3INTRO1_733_M;We can start?;Können wir anfangen?
PART_3_GAME_FLOW_PART3INTRO1_733_F;;
PART_3_GAME_FLOW_PART3INTRO1_395_M;Good.;Gut.
PART_3_GAME_FLOW_PART3INTRO1_395_F;;
PART_3_MAP_P03TRADER_859_M;Found any CYBER pelts around here?;Hast du hier irgendwelche CYBER-Felle gefunden?
PART_3_MAP_P03TRADER_859_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINTFIRSTTIME_158_M;You made it to the first waypoint.;Du hast es zur ersten Wegmarke geschafft.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINTFIRSTTIME_158_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINTFIRSTTIME_989_M;Cool.;Cool.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINTFIRSTTIME_989_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_720_M;Your items are recharged.;Deine Gegenstände sind wieder aufgeladen.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_720_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_768_M;Bots that you've destroyed in the area will stay that way.;Bots, die du in dem Gebiet zerstört hast, bleiben zerstört.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_768_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_524_M;If and when you do perish... You'll be brought back here.;Falls und wenn du stirbst ... wirst du hierher zurückgebracht.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_524_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_095_M;It's an elegant system.;Das ist ein elegantes System.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_095_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#1_843_M;Items 100% charged.;Gegenstände auf 100 % aufgeladen.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#1_843_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#1_108_M;Bot spawners 100% offline.;Bot-Erzeugung zu 100 % abgeschaltet.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#1_108_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#2_013_M;Your items are recharged.;Deine Gegenstände sind wieder aufgeladen.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#2_013_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#2_826_M;And those bots back there are permanently offline.;Und diese Bots da drüben sind dauerhaft abgeschaltet.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#2_826_F;;
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#3_462_M;Any items are back online. Bots spawners offline.;Alle Gegenstände wieder aktiviert. Bot-Erzeugung deaktiviert.
PART_3_MAP_HOLOMAPREACHEDCHECKPOINT_REPEAT_#3_462_F;;
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_509_M;Now. Do recommend an exemplary file to me.;So. Nun empfiehl mir eine beispielhafte Datei.
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_509_F;;
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_279_M;And do take into account its [c:bR]size.[c:];Und berücksichtige ihre [c:bR]Größe[c:].
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_279_F;;
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_838_M;Its [c:bR]magnitude[c:]... its- its [c:bR]bulk[c:].;Ihre [c:bR]Abmessungen[c:] ... ihre, ihre [c:bR]Masse[c:].
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_838_F;;
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#1_206_M;Again, do choose a file.;Wähle erneut eine Datei.
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#1_206_F;;
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#1_613_M;Its filesize will be paramount.;Ganz besonders kommt es auf die Dateigröße an.
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#1_613_F;;
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#2_443_M;Now, go along and select a file.;So, komm und such eine Datei aus.
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#2_443_F;;
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#2_060_M;Recall that its... [c:bR]vastness[c:]... is your object.;Denk daran, dass ihre ... [c:bR]Ausdehnung[c:] ... eine Rolle spielt.
PART_3_BOSS_DIALOGUE_ARCHIVISTCHOOSEDAMAGEFILE_REPEAT_#2_060_F;;
